date,country,YoY_pct_change_in_postings_trend_from_feb1
2020-02-01,AU,0
2020-02-02,AU,-0.32
2020-02-03,AU,-0.2
2020-02-04,AU,-0.399
2020-02-05,AU,-0.835
2020-02-06,AU,-1.021
2020-02-07,AU,-1.404
2020-02-08,AU,-1.799
2020-02-09,AU,-2.02
2020-02-10,AU,-2.133
2020-02-11,AU,-1.861
2020-02-12,AU,-1.725
2020-02-13,AU,-1.695
2020-02-14,AU,-1.587
2020-02-15,AU,-1.798
2020-02-16,AU,-1.653
2020-02-17,AU,-1.826
2020-02-18,AU,-2.335
2020-02-19,AU,-2.648
2020-02-20,AU,-2.875
2020-02-21,AU,-3.251
2020-02-22,AU,-3.589
2020-02-23,AU,-3.929
2020-02-24,AU,-4.166
2020-02-25,AU,-4.373
2020-02-26,AU,-4.478
2020-02-27,AU,-4.522
2020-02-28,AU,-4.504
2020-03-01,AU,-4.223
2020-03-02,AU,-4.213
2020-03-03,AU,-3.994
2020-03-04,AU,-3.961
2020-03-05,AU,-3.967
2020-03-06,AU,-3.941
2020-03-07,AU,-3.793
2020-03-08,AU,-3.631
2020-03-09,AU,-3.621
2020-03-10,AU,-3.729
2020-03-11,AU,-3.84
2020-03-12,AU,-4
2020-03-13,AU,-4.085
2020-03-14,AU,-3.881
2020-03-15,AU,-4.17
2020-03-16,AU,-4.587
2020-03-17,AU,-5.502
2020-03-18,AU,-6.572
2020-03-19,AU,-8.095
2020-03-20,AU,-9.959
2020-03-21,AU,-11.899
2020-03-22,AU,-13.789
2020-03-23,AU,-16.064
2020-03-24,AU,-18.262
2020-03-25,AU,-20.546
2020-03-26,AU,-22.951
2020-03-27,AU,-25.531
2020-03-28,AU,-28.05
2020-03-29,AU,-30.517
2020-03-30,AU,-32.76
2020-03-31,AU,-34.972
2020-04-01,AU,-37.092
2020-04-02,AU,-39.03
2020-04-03,AU,-40.547
2020-04-04,AU,-42.244
2020-04-05,AU,-43.82
2020-04-06,AU,-45.238
2020-04-07,AU,-46.54
2020-04-08,AU,-47.656
2020-04-09,AU,-48.563
2020-04-10,AU,-49.553
2020-04-11,AU,-50.265
2020-04-12,AU,-51
2020-04-13,AU,-51.616
2020-04-14,AU,-52.377
2020-04-15,AU,-53.039
2020-04-16,AU,-53.744
2020-04-17,AU,-54.342
2020-04-18,AU,-54.757
2020-04-19,AU,-55.306
2020-04-20,AU,-55.667
2020-04-21,AU,-55.626
2020-04-22,AU,-55.606
2020-04-23,AU,-55.44
2020-04-24,AU,-55.106
2020-04-25,AU,-54.989
2020-04-26,AU,-54.674
2020-04-27,AU,-54.368
2020-04-28,AU,-54.197
2020-04-29,AU,-53.905
2020-04-30,AU,-53.725
2020-05-01,AU,-53.664
2020-05-02,AU,-53.412
2020-05-03,AU,-53.399
2020-05-04,AU,-53.405
