date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,AU,100,total postings,Accounting
2020-02-02,AU,99.74,total postings,Accounting
2020-02-03,AU,99.39,total postings,Accounting
2020-02-04,AU,98.85,total postings,Accounting
2020-02-05,AU,97.76,total postings,Accounting
2020-02-06,AU,96.85,total postings,Accounting
2020-02-07,AU,94.4,total postings,Accounting
2020-02-08,AU,92.29,total postings,Accounting
2020-02-09,AU,90.25,total postings,Accounting
2020-02-10,AU,88.53,total postings,Accounting
2020-02-11,AU,87.02,total postings,Accounting
2020-02-12,AU,85.54,total postings,Accounting
2020-02-13,AU,83.89,total postings,Accounting
2020-02-14,AU,83.9,total postings,Accounting
2020-02-15,AU,83.85,total postings,Accounting
2020-02-16,AU,83.76,total postings,Accounting
2020-02-17,AU,83.86,total postings,Accounting
2020-02-18,AU,84.06,total postings,Accounting
2020-02-19,AU,84.32,total postings,Accounting
2020-02-20,AU,84.73,total postings,Accounting
2020-02-21,AU,85.12,total postings,Accounting
2020-02-22,AU,85.41,total postings,Accounting
2020-02-23,AU,85.93,total postings,Accounting
2020-02-24,AU,86,total postings,Accounting
2020-02-25,AU,85.97,total postings,Accounting
2020-02-26,AU,85.89,total postings,Accounting
2020-02-27,AU,85.98,total postings,Accounting
2020-02-28,AU,86.77,total postings,Accounting
2020-02-29,AU,87.49,total postings,Accounting
2020-03-01,AU,87.83,total postings,Accounting
2020-03-02,AU,88.31,total postings,Accounting
2020-03-03,AU,88.86,total postings,Accounting
2020-03-04,AU,89.45,total postings,Accounting
2020-03-05,AU,90.1,total postings,Accounting
2020-03-06,AU,90.1,total postings,Accounting
2020-03-07,AU,90.18,total postings,Accounting
2020-03-08,AU,90.7,total postings,Accounting
2020-03-09,AU,91.16,total postings,Accounting
2020-03-10,AU,91.57,total postings,Accounting
2020-03-11,AU,92.21,total postings,Accounting
2020-03-12,AU,92.62,total postings,Accounting
2020-03-13,AU,93.05,total postings,Accounting
2020-03-14,AU,93.64,total postings,Accounting
2020-03-15,AU,93.95,total postings,Accounting
2020-03-16,AU,93.86,total postings,Accounting
2020-03-17,AU,93.34,total postings,Accounting
2020-03-18,AU,92.24,total postings,Accounting
2020-03-19,AU,90.52,total postings,Accounting
2020-03-20,AU,88.46,total postings,Accounting
2020-03-21,AU,86.05,total postings,Accounting
2020-03-22,AU,83.88,total postings,Accounting
2020-03-23,AU,81.6,total postings,Accounting
2020-03-24,AU,79.59,total postings,Accounting
2020-03-25,AU,77.49,total postings,Accounting
2020-03-26,AU,75.54,total postings,Accounting
2020-03-27,AU,73.25,total postings,Accounting
2020-03-28,AU,71.43,total postings,Accounting
2020-03-29,AU,69.28,total postings,Accounting
2020-03-30,AU,67.31,total postings,Accounting
2020-03-31,AU,65.73,total postings,Accounting
2020-04-01,AU,65.04,total postings,Accounting
2020-04-02,AU,64.32,total postings,Accounting
2020-04-03,AU,63.95,total postings,Accounting
2020-04-04,AU,63.44,total postings,Accounting
2020-04-05,AU,62.98,total postings,Accounting
2020-04-06,AU,62.58,total postings,Accounting
2020-04-07,AU,61.61,total postings,Accounting
2020-04-08,AU,60.08,total postings,Accounting
2020-04-09,AU,58.81,total postings,Accounting
2020-04-10,AU,57.67,total postings,Accounting
2020-04-11,AU,56.81,total postings,Accounting
2020-04-12,AU,55.86,total postings,Accounting
2020-04-13,AU,55.1,total postings,Accounting
2020-04-14,AU,54.45,total postings,Accounting
2020-04-15,AU,53.92,total postings,Accounting
2020-04-16,AU,53.33,total postings,Accounting
2020-04-17,AU,52.76,total postings,Accounting
2020-04-18,AU,52.29,total postings,Accounting
2020-04-19,AU,51.64,total postings,Accounting
2020-04-20,AU,51.36,total postings,Accounting
2020-04-21,AU,51.18,total postings,Accounting
2020-04-22,AU,49.33,total postings,Accounting
2020-04-23,AU,47.45,total postings,Accounting
2020-04-24,AU,45.71,total postings,Accounting
2020-04-25,AU,44,total postings,Accounting
2020-04-26,AU,42.57,total postings,Accounting
2020-04-27,AU,40.81,total postings,Accounting
2020-04-28,AU,39.01,total postings,Accounting
2020-04-29,AU,38.82,total postings,Accounting
2020-04-30,AU,38.85,total postings,Accounting
2020-05-01,AU,38.89,total postings,Accounting
2020-05-02,AU,38.88,total postings,Accounting
2020-05-03,AU,38.73,total postings,Accounting
2020-05-04,AU,38.88,total postings,Accounting
2020-05-05,AU,39,total postings,Accounting
2020-05-06,AU,39.22,total postings,Accounting
2020-05-07,AU,39.41,total postings,Accounting
2020-05-08,AU,39.72,total postings,Accounting
2020-05-09,AU,39.97,total postings,Accounting
2020-05-10,AU,40.3,total postings,Accounting
2020-05-11,AU,40.45,total postings,Accounting
2020-05-12,AU,40.7,total postings,Accounting
2020-05-13,AU,40.94,total postings,Accounting
2020-05-14,AU,41.18,total postings,Accounting
2020-05-15,AU,41.46,total postings,Accounting
2020-05-16,AU,41.71,total postings,Accounting
2020-05-17,AU,41.83,total postings,Accounting
2020-05-18,AU,41.99,total postings,Accounting
2020-05-19,AU,42.03,total postings,Accounting
2020-05-20,AU,42.29,total postings,Accounting
2020-05-21,AU,42.56,total postings,Accounting
2020-05-22,AU,42.93,total postings,Accounting
2020-05-23,AU,43.46,total postings,Accounting
2020-05-24,AU,43.86,total postings,Accounting
2020-05-25,AU,44.17,total postings,Accounting
2020-05-26,AU,44.44,total postings,Accounting
2020-05-27,AU,44.51,total postings,Accounting
2020-05-28,AU,44.47,total postings,Accounting
2020-05-29,AU,44.25,total postings,Accounting
2020-05-30,AU,44.18,total postings,Accounting
2020-05-31,AU,44.08,total postings,Accounting
2020-06-01,AU,43.77,total postings,Accounting
2020-06-02,AU,43.68,total postings,Accounting
2020-06-03,AU,43.45,total postings,Accounting
2020-06-04,AU,43.35,total postings,Accounting
2020-06-05,AU,43.52,total postings,Accounting
2020-06-06,AU,43.44,total postings,Accounting
2020-06-07,AU,43.61,total postings,Accounting
2020-06-08,AU,44.14,total postings,Accounting
2020-06-09,AU,44.56,total postings,Accounting
2020-06-10,AU,45.09,total postings,Accounting
2020-06-11,AU,45.62,total postings,Accounting
2020-06-12,AU,46.08,total postings,Accounting
2020-06-13,AU,46.51,total postings,Accounting
2020-06-14,AU,46.95,total postings,Accounting
2020-06-15,AU,47.32,total postings,Accounting
2020-06-16,AU,47.74,total postings,Accounting
2020-06-17,AU,48.3,total postings,Accounting
2020-06-18,AU,48.86,total postings,Accounting
2020-06-19,AU,49.25,total postings,Accounting
2020-06-20,AU,49.79,total postings,Accounting
2020-06-21,AU,50.32,total postings,Accounting
2020-06-22,AU,50.82,total postings,Accounting
2020-06-23,AU,51.48,total postings,Accounting
2020-06-24,AU,52.01,total postings,Accounting
2020-06-25,AU,52.62,total postings,Accounting
2020-06-26,AU,53.15,total postings,Accounting
2020-06-27,AU,53.72,total postings,Accounting
2020-06-28,AU,54.26,total postings,Accounting
2020-06-29,AU,55.09,total postings,Accounting
2020-06-30,AU,55.64,total postings,Accounting
2020-07-01,AU,56.33,total postings,Accounting
2020-07-02,AU,56.99,total postings,Accounting
2020-07-03,AU,57.62,total postings,Accounting
2020-07-04,AU,58.06,total postings,Accounting
2020-07-05,AU,58.45,total postings,Accounting
2020-07-06,AU,58.61,total postings,Accounting
2020-07-07,AU,58.96,total postings,Accounting
