date,country,index_to_feb01
2018-02-01,AU,100
2018-02-02,AU,100.15
2018-02-03,AU,100.3
2018-02-04,AU,100.41
2018-02-05,AU,100.5
2018-02-06,AU,100.66
2018-02-07,AU,100.88
2018-02-08,AU,101.17
2018-02-09,AU,101.25
2018-02-10,AU,101.22
2018-02-11,AU,101.28
2018-02-12,AU,101.35
2018-02-13,AU,101.27
2018-02-14,AU,101.22
2018-02-15,AU,101.23
2018-02-16,AU,101.22
2018-02-17,AU,101.22
2018-02-18,AU,101.13
2018-02-19,AU,101.01
2018-02-20,AU,100.92
2018-02-21,AU,100.81
2018-02-22,AU,100.47
2018-02-23,AU,100.14
2018-02-24,AU,99.85
2018-02-25,AU,99.56
2018-02-26,AU,99.36
2018-02-27,AU,99.29
2018-02-28,AU,99.08
2018-03-01,AU,98.99
2018-03-02,AU,98.86
2018-03-03,AU,98.77
2018-03-04,AU,98.65
2018-03-05,AU,98.54
2018-03-06,AU,98.45
2018-03-07,AU,98.41
2018-03-08,AU,98.45
2018-03-09,AU,98.53
2018-03-10,AU,98.59
2018-03-11,AU,98.69
2018-03-12,AU,98.49
2018-03-13,AU,98.01
2018-03-14,AU,97.6
2018-03-15,AU,97.1
2018-03-16,AU,96.58
2018-03-17,AU,96.17
2018-03-18,AU,95.7
2018-03-19,AU,95.44
2018-03-20,AU,95.4
2018-03-21,AU,95.3
2018-03-22,AU,95.25
2018-03-23,AU,95.2
2018-03-24,AU,95.08
2018-03-25,AU,94.94
2018-03-26,AU,94.8
2018-03-27,AU,94.59
2018-03-28,AU,94.43
2018-03-29,AU,94.39
2018-03-30,AU,94
2018-03-31,AU,93.53
2018-04-01,AU,92.98
2018-04-02,AU,92.25
2018-04-03,AU,91.47
2018-04-04,AU,90.63
2018-04-05,AU,89.81
2018-04-06,AU,89.4
2018-04-07,AU,89.04
2018-04-08,AU,88.76
2018-04-09,AU,88.62
2018-04-10,AU,88.64
2018-04-11,AU,88.79
2018-04-12,AU,88.85
2018-04-13,AU,88.82
2018-04-14,AU,88.84
2018-04-15,AU,88.88
2018-04-16,AU,88.96
2018-04-17,AU,89.07
2018-04-18,AU,89.13
2018-04-19,AU,89.18
2018-04-20,AU,89.28
2018-04-21,AU,89.23
2018-04-22,AU,89.51
2018-04-23,AU,89.7
2018-04-24,AU,89.91
2018-04-25,AU,89.71
2018-04-26,AU,89.5
2018-04-27,AU,89.14
2018-04-28,AU,88.7
2018-04-29,AU,88.21
2018-04-30,AU,87.59
2018-05-01,AU,86.98
2018-05-02,AU,86.82
2018-05-03,AU,86.76
2018-05-04,AU,86.88
2018-05-05,AU,87.24
2018-05-06,AU,87.32
2018-05-07,AU,87.65
2018-05-08,AU,87.81
2018-05-09,AU,87.98
2018-05-10,AU,88.09
2018-05-11,AU,88.23
2018-05-12,AU,88.21
2018-05-13,AU,88.34
2018-05-14,AU,88.55
2018-05-15,AU,88.94
2018-05-16,AU,89.19
2018-05-17,AU,89.43
2018-05-18,AU,89.54
2018-05-19,AU,89.64
2018-05-20,AU,89.71
2018-05-21,AU,89.71
2018-05-22,AU,89.61
2018-05-23,AU,89.55
2018-05-24,AU,89.68
2018-05-25,AU,89.85
2018-05-26,AU,90.19
2018-05-27,AU,90.45
2018-05-28,AU,90.64
2018-05-29,AU,90.8
2018-05-30,AU,91
2018-05-31,AU,91.03
2018-06-01,AU,90.9
2018-06-02,AU,90.76
2018-06-03,AU,90.66
2018-06-04,AU,90.59
2018-06-05,AU,90.51
2018-06-06,AU,90.16
2018-06-07,AU,89.56
2018-06-08,AU,89.02
2018-06-09,AU,88.56
2018-06-10,AU,88.07
2018-06-11,AU,87.53
2018-06-12,AU,86.89
2018-06-13,AU,86.53
2018-06-14,AU,86.44
2018-06-15,AU,86.47
2018-06-16,AU,86.35
2018-06-17,AU,86.25
2018-06-18,AU,86.29
2018-06-19,AU,86.47
2018-06-20,AU,86.65
2018-06-21,AU,86.75
2018-06-22,AU,86.73
2018-06-23,AU,86.96
2018-06-24,AU,87.06
2018-06-25,AU,87.19
2018-06-26,AU,87.21
2018-06-27,AU,87.37
2018-06-28,AU,87.81
2018-06-29,AU,88.32
2018-06-30,AU,88.57
2018-07-01,AU,88.74
2018-07-02,AU,88.94
2018-07-03,AU,89.29
2018-07-04,AU,89.42
2018-07-05,AU,89.36
2018-07-06,AU,89.4
2018-07-07,AU,89.54
2018-07-08,AU,89.78
2018-07-09,AU,90.09
2018-07-10,AU,90.38
2018-07-11,AU,90.72
2018-07-12,AU,91.03
2018-07-13,AU,91.33
2018-07-14,AU,91.56
2018-07-15,AU,91.79
2018-07-16,AU,91.91
2018-07-17,AU,92.08
2018-07-18,AU,92.26
2018-07-19,AU,92.6
2018-07-20,AU,92.93
2018-07-21,AU,92.98
2018-07-22,AU,93.3
2018-07-23,AU,93.6
2018-07-24,AU,93.88
2018-07-25,AU,94.17
2018-07-26,AU,94.51
2018-07-27,AU,94.74
2018-07-28,AU,95.28
2018-07-29,AU,95.68
2018-07-30,AU,96.16
2018-07-31,AU,96.61
2018-08-01,AU,96.87
2018-08-02,AU,97.01
2018-08-03,AU,97.29
2018-08-04,AU,97.62
2018-08-05,AU,97.86
2018-08-06,AU,97.97
2018-08-07,AU,98.13
2018-08-08,AU,98.51
2018-08-09,AU,98.91
2018-08-10,AU,99.22
2018-08-11,AU,99.57
2018-08-12,AU,99.86
2018-08-13,AU,100.27
2018-08-14,AU,100.67
2018-08-15,AU,101
2018-08-16,AU,101.19
2018-08-17,AU,101.64
2018-08-18,AU,101.85
2018-08-19,AU,102.12
2018-08-20,AU,102.25
2018-08-21,AU,102.31
2018-08-22,AU,102.4
2018-08-23,AU,102.46
2018-08-24,AU,102.26
2018-08-25,AU,102.18
2018-08-26,AU,102.16
2018-08-27,AU,102.2
2018-08-28,AU,102.39
2018-08-29,AU,102.55
2018-08-30,AU,102.81
2018-08-31,AU,102.72
2018-09-01,AU,102.56
2018-09-02,AU,102.26
2018-09-03,AU,102.08
2018-09-04,AU,101.89
2018-09-05,AU,101.75
2018-09-06,AU,101.57
2018-09-07,AU,101.74
2018-09-08,AU,101.93
2018-09-09,AU,102.17
2018-09-10,AU,102.31
2018-09-11,AU,102.48
2018-09-12,AU,102.47
2018-09-13,AU,102.92
2018-09-14,AU,103.24
2018-09-15,AU,103.64
2018-09-16,AU,104.08
2018-09-17,AU,104.33
2018-09-18,AU,104.6
2018-09-19,AU,105.16
2018-09-20,AU,105.28
2018-09-21,AU,105.61
2018-09-22,AU,105.74
2018-09-23,AU,105.87
2018-09-24,AU,106.3
2018-09-25,AU,106.71
2018-09-26,AU,107.02
2018-09-27,AU,107.38
2018-09-28,AU,107.3
2018-09-29,AU,107.49
2018-09-30,AU,107.58
2018-10-01,AU,107.14
2018-10-02,AU,106.54
2018-10-03,AU,105.98
2018-10-04,AU,105.11
2018-10-05,AU,104.48
2018-10-06,AU,103.72
2018-10-07,AU,102.99
2018-10-08,AU,102.73
2018-10-09,AU,102.51
2018-10-10,AU,102.22
2018-10-11,AU,102.2
2018-10-12,AU,102.2
2018-10-13,AU,102.27
2018-10-14,AU,102.4
2018-10-15,AU,102.35
2018-10-16,AU,102.36
2018-10-17,AU,102.46
2018-10-18,AU,102.51
2018-10-19,AU,102.52
2018-10-20,AU,102.41
2018-10-21,AU,102.38
2018-10-22,AU,102.48
2018-10-23,AU,102.49
2018-10-24,AU,102.48
2018-10-25,AU,102.42
2018-10-26,AU,102.49
2018-10-27,AU,102.22
2018-10-28,AU,102.19
2018-10-29,AU,102.08
2018-10-30,AU,102.07
2018-10-31,AU,101.91
2018-11-01,AU,101.68
2018-11-02,AU,101.5
2018-11-03,AU,101.74
2018-11-04,AU,101.53
2018-11-05,AU,101.31
2018-11-06,AU,100.93
2018-11-07,AU,100.62
2018-11-08,AU,100.44
2018-11-09,AU,100.17
2018-11-10,AU,99.75
2018-11-11,AU,99.53
2018-11-12,AU,99.35
2018-11-13,AU,99.43
2018-11-14,AU,99.62
2018-11-15,AU,99.81
2018-11-16,AU,99.72
2018-11-17,AU,99.73
2018-11-18,AU,99.77
2018-11-19,AU,99.78
2018-11-20,AU,99.53
2018-11-21,AU,99.32
2018-11-22,AU,99.19
2018-11-23,AU,99.35
2018-11-24,AU,99.58
2018-11-25,AU,99.74
2018-11-26,AU,99.62
2018-11-27,AU,99.57
2018-11-28,AU,99.62
2018-11-29,AU,99.47
2018-11-30,AU,99.15
2018-12-01,AU,98.36
2018-12-02,AU,97.61
2018-12-03,AU,97.08
2018-12-04,AU,96.37
2018-12-05,AU,95.39
2018-12-06,AU,94.58
2018-12-07,AU,93.92
2018-12-08,AU,93.61
2018-12-09,AU,93.29
2018-12-10,AU,92.94
