date,country,category,YoY_pct_change_in_postings_trend_from_feb1
2020-02-01,AU,Human Resources,0
2020-02-01,AU,Architecture,0
2020-02-01,AU,Arts & Entertainment,0
2020-02-01,AU,Personal Care & Home Health,0
2020-02-01,AU,Food Preparation & Service,0
2020-02-01,AU,Mathematics,0
2020-02-01,AU,Administrative Assistance,0
2020-02-01,AU,Industrial Engineering,0
2020-02-01,AU,Legal,0
2020-02-01,AU,Physicians & Surgeons,0
2020-02-01,AU,Media & Communications,0
2020-02-01,AU,Sales,0
2020-02-01,AU,Driving,0
2020-02-01,AU,Mining,0
2020-02-01,AU,Retail,0
2020-02-01,AU,Sports,0
2020-02-01,AU,Chemical Engineering,0
2020-02-01,AU,Mechanical Engineering,0
2020-02-01,AU,Banking & Finance,0
2020-02-01,AU,Installation & Maintenance,0
2020-02-01,AU,Medical Information,0
2020-02-01,AU,Medical Technician,0
2020-02-01,AU,Project Management,0
2020-02-01,AU,Scientific Research & Development,0
2020-02-01,AU,Community & Social Service,0
2020-02-01,AU,Therapy,0
2020-02-01,AU,Aviation,0
2020-02-01,AU,Customer Service,0
2020-02-01,AU,Civil Engineering,0
2020-02-01,AU,Nursing,0
2020-02-01,AU,Military,0
2020-02-01,AU,Beauty & Wellness,0
2020-02-01,AU,Pharmacy,0
2020-02-01,AU,IT Operations & Helpdesk,0
2020-02-01,AU,Information Design & Documentation,0
2020-02-01,AU,Childcare,0
2020-02-01,AU,Education & Instruction,0
2020-02-01,AU,Insurance,0
2020-02-01,AU,Marketing,0
2020-02-01,AU,Dental,0
2020-02-01,AU,Logistic Support,0
2020-02-01,AU,Loading & Stocking,0
2020-02-01,AU,Accounting,0
2020-02-01,AU,Management,0
2020-02-01,AU,Security & Public Safety,0
2020-02-01,AU,Real Estate,0
2020-02-01,AU,Cleaning & Sanitation,0
2020-02-01,AU,Veterinary,0
2020-02-01,AU,Agriculture & Forestry,0
2020-02-01,AU,Electrical Engineering,0
2020-02-01,AU,Hospitality & Tourism,0
2020-02-01,AU,Construction,0
2020-02-01,AU,Software Development,0
2020-02-01,AU,Production & Manufacturing,0
2020-02-01,AU,Social Science,0
2020-02-01,AU,Uncategorized,0
2020-02-02,AU,Human Resources,-0.45022511255628
2020-02-02,AU,Architecture,-0.0995123892924665
2020-02-02,AU,Arts & Entertainment,0.08961465697499
2020-02-02,AU,Personal Care & Home Health,1.24317768344451
2020-02-02,AU,Food Preparation & Service,0.00998203234177097
2020-02-02,AU,Mathematics,-0.211971333400618
2020-02-02,AU,Administrative Assistance,-0.0601503759398492
2020-02-02,AU,Industrial Engineering,-1.1571072319202
2020-02-02,AU,Legal,-0.249775202317915
2020-02-02,AU,Physicians & Surgeons,-0.211672210462643
2020-02-02,AU,Media & Communications,-0.311463880237117
2020-02-02,AU,Sales,-0.618824233955484
2020-02-02,AU,Driving,0.0797050911627073
2020-02-02,AU,Mining,0.108203816643715
2020-02-02,AU,Retail,-0.060012002400478
2020-02-02,AU,Sports,-0.317965023847389
2020-02-02,AU,Chemical Engineering,-3.75085691900892
2020-02-02,AU,Mechanical Engineering,0.530000000000008
2020-02-02,AU,Banking & Finance,0.0100472219431325
2020-02-02,AU,Installation & Maintenance,-0.0895878956798657
2020-02-02,AU,Medical Information,-0.5515443241075
2020-02-02,AU,Medical Technician,0
2020-02-02,AU,Project Management,-0.0703305536019383
