date,country,YoY_pct_change_in_postings_trend_from_feb1
2020-02-01,AU,0
2020-02-02,AU,-0.319616460247707
2020-02-03,AU,-0.200040008001601
2020-02-04,AU,-0.399281293671394
2020-02-05,AU,-0.834990059642138
2020-02-06,AU,-1.02091386658737
2020-02-07,AU,-1.40371688414394
2020-02-08,AU,-1.79941002949853
2020-02-09,AU,-2.02020202020202
2020-02-10,AU,-2.13307240704501
2020-02-11,AU,-1.86110294837889
2020-02-12,AU,-1.72481379851039
2020-02-13,AU,-1.69541356330851
2020-02-14,AU,-1.58730158730159
2020-02-15,AU,-1.79845567393218
2020-02-16,AU,-1.65313508754769
2020-02-17,AU,-1.82599355531685
2020-02-18,AU,-2.33531186143815
2020-02-19,AU,-2.64842840512224
2020-02-20,AU,-2.87512100677638
2020-02-21,AU,-3.25069933442655
2020-02-22,AU,-3.58860881277661
2020-02-23,AU,-3.92908481073311
2020-02-24,AU,-4.16626851409459
2020-02-25,AU,-4.37267790797371
2020-02-26,AU,-4.4780376497433
2020-02-27,AU,-4.5221843003413
2020-02-28,AU,-4.50416351249054
2020-03-01,AU,-4.22348484848484
2020-03-02,AU,-4.21321719371331
2020-03-03,AU,-3.99354961107949
2020-03-04,AU,-3.96086626139818
2020-03-05,AU,-3.96689497716896
2020-03-06,AU,-3.94135567402895
2020-03-07,AU,-3.79336637438048
2020-03-08,AU,-3.63133816240946
2020-03-09,AU,-3.62077179609338
2020-03-10,AU,-3.72942631528874
2020-03-11,AU,-3.83957422543242
2020-03-12,AU,-4.00038008361839
2020-03-13,AU,-4.08454727220795
2020-03-14,AU,-3.8814531548757
2020-03-15,AU,-4.17025346724056
2020-03-16,AU,-4.58680455807718
2020-03-17,AU,-5.50239234449761
2020-03-18,AU,-6.57227590165503
2020-03-19,AU,-8.09469263077511
2020-03-20,AU,-9.9590593163858
2020-03-21,AU,-11.8988785402015
2020-03-22,AU,-13.7888551933283
2020-03-23,AU,-16.0641812175555
2020-03-24,AU,-18.2623445156427
2020-03-25,AU,-20.5458823529412
2020-03-26,AU,-22.9511278195489
2020-03-27,AU,-25.5305164319249
2020-03-28,AU,-28.0501497005988
2020-03-29,AU,-30.5165637282426
2020-03-30,AU,-32.7600710346761
2020-03-31,AU,-34.9715033168271
2020-04-01,AU,-37.0917937681295
2020-04-02,AU,-39.0298717108343
2020-04-03,AU,-40.547380260568
2020-04-04,AU,-42.2438841503421
2020-04-05,AU,-43.8196982475869
2020-04-06,AU,-45.2380952380952
2020-04-07,AU,-46.5399381964603
2020-04-08,AU,-47.65639589169
2020-04-09,AU,-48.5626283367556
2020-04-10,AU,-49.5529061102832
2020-04-11,AU,-50.2649930264993
2020-04-12,AU,-50.9995350999535
2020-04-13,AU,-51.6162086632511
2020-04-14,AU,-52.37651444548
2020-04-15,AU,-53.0393436509416
2020-04-16,AU,-53.7444113263785
2020-04-17,AU,-54.3421543048826
2020-04-18,AU,-54.757245363899
2020-04-19,AU,-55.3056462902473
2020-04-20,AU,-55.6666355227506
2020-04-21,AU,-55.6263468565539
2020-04-22,AU,-55.6057610844394
2020-04-23,AU,-55.4397270659591
2020-04-24,AU,-55.1055497182157
2020-04-25,AU,-54.9889348600019
2020-04-26,AU,-54.6738920069673
2020-04-27,AU,-54.3681747269891
2020-04-28,AU,-54.1965249828212
2020-04-29,AU,-53.9054775558632
2020-04-30,AU,-53.7246722288439
2020-05-01,AU,-53.6638789326961
2020-05-02,AU,-53.412047228337
2020-05-03,AU,-53.398836976138
2020-05-04,AU,-53.4047666733427
2020-05-05,AU,-53.297308115681
2020-05-06,AU,-53.3665835411471
2020-05-07,AU,-53.3194195984894
2020-05-08,AU,-53.1042677492821
2020-05-09,AU,-52.9985228951256
2020-05-10,AU,-52.7121137812653
2020-05-11,AU,-52.5374009973599
2020-05-12,AU,-52.4505505212901
2020-05-13,AU,-52.2967854714966
2020-05-14,AU,-52.1503293297172
2020-05-15,AU,-51.9594594594595
2020-05-16,AU,-51.9249278152069
2020-05-17,AU,-51.8916842711734
2020-05-18,AU,-51.7846862406448
2020-05-19,AU,-51.7416267942584
2020-05-20,AU,-51.5630956919558
2020-05-21,AU,-51.3623848855976
2020-05-22,AU,-51.2197428139183
2020-05-23,AU,-50.8998398190898
2020-05-24,AU,-50.7822014051522
2020-05-25,AU,-50.6515264333581
2020-05-26,AU,-50.4442798963347
2020-05-27,AU,-50.3819604233778
2020-05-28,AU,-50.3844745514463
2020-05-29,AU,-50.3557095950383
2020-05-30,AU,-50.099981821487
2020-05-31,AU,-49.9274442227462
2020-06-01,AU,-49.7870798224155
2020-06-02,AU,-49.6101541251133
2020-06-03,AU,-49.4005449591281
2020-06-04,AU,-48.9241429613421
2020-06-05,AU,-48.3246599105268
2020-06-06,AU,-47.9561042524005
2020-06-07,AU,-47.3997436366966
2020-06-08,AU,-46.895035720828
2020-06-09,AU,-46.4053484751351
2020-06-10,AU,-45.8207174970181
2020-06-11,AU,-45.427025043574
2020-06-12,AU,-45.1855935317898
2020-06-13,AU,-44.8945769266182
2020-06-14,AU,-44.5347119645495
2020-06-15,AU,-43.985171455051
2020-06-16,AU,-43.505709776251
2020-06-17,AU,-43.0762081784387
2020-06-18,AU,-42.7070744631403
2020-06-19,AU,-42.4651162790698
2020-06-20,AU,-42.2354472754324
2020-06-21,AU,-41.9351834606072
2020-06-22,AU,-42.1821225932472
2020-06-23,AU,-42.2557511409146
2020-06-24,AU,-42.3632466685304
2020-06-25,AU,-42.2010641276953
2020-06-26,AU,-42.047583364556
2020-06-27,AU,-41.6792027077849
2020-06-28,AU,-41.4776470588235
2020-06-29,AU,-40.8280675280581
2020-06-30,AU,-40.3422520563487
2020-07-01,AU,-39.7226443768997
2020-07-02,AU,-39.4014487228364
2020-07-03,AU,-38.8655462184874
