date,region,indeed_job_postings_index
2020-02-01,act,100
2020-02-02,act,100.36
2020-02-03,act,100.27
2020-02-04,act,100.49
2020-02-05,act,100.57
2020-02-06,act,100.58
2020-02-07,act,100.08
2020-02-08,act,99.74
2020-02-09,act,99.28
2020-02-10,act,98.98
2020-02-11,act,98.87
2020-02-12,act,98.54
2020-02-13,act,98.2
2020-02-14,act,98.1
2020-02-15,act,98.01
2020-02-16,act,97.9
2020-02-17,act,97.94
2020-02-18,act,97.7
2020-02-19,act,97.67
2020-02-20,act,97.56
2020-02-21,act,97.43
2020-02-22,act,97.03
2020-02-23,act,96.85
2020-02-24,act,96.66
2020-02-25,act,96.69
2020-02-26,act,96.77
2020-02-27,act,96.91
2020-02-28,act,97.32
2020-02-29,act,97.9
2020-03-01,act,98.37
2020-03-02,act,98.85
2020-03-03,act,99.44
2020-03-04,act,99.69
2020-03-05,act,99.78
2020-03-06,act,99.56
2020-03-07,act,99.36
2020-03-08,act,99.41
2020-03-09,act,99.3
2020-03-10,act,98.56
2020-03-11,act,98.04
2020-03-12,act,97.44
2020-03-13,act,97.06
2020-03-14,act,96.58
2020-03-15,act,95.88
2020-03-16,act,95.18
2020-03-17,act,94.72
2020-03-18,act,94.13
2020-03-19,act,93.4
2020-03-20,act,92.09
2020-03-21,act,90.52
2020-03-22,act,88.68
2020-03-23,act,86.73
2020-03-24,act,84.47
2020-03-25,act,81.9
2020-03-26,act,79.2
2020-03-27,act,76.33
2020-03-28,act,73.71
2020-03-29,act,71.39
2020-03-30,act,69.06
2020-03-31,act,67.05
2020-04-01,act,65.11
2020-04-02,act,63.19
2020-04-03,act,61.61
2020-04-04,act,59.86
2020-04-05,act,58.19
2020-04-06,act,56.85
2020-04-07,act,55.78
2020-04-08,act,54.87
2020-04-09,act,54.1
2020-04-10,act,53.66
2020-04-11,act,53.42
2020-04-12,act,53.05
2020-04-13,act,52.82
2020-04-14,act,52.02
2020-04-15,act,51.28
2020-04-16,act,50.68
2020-04-17,act,49.6
2020-04-18,act,48.85
2020-04-19,act,48.12
2020-04-20,act,47.5
2020-04-21,act,47.31
2020-04-22,act,47.08
2020-04-23,act,47.05
2020-04-24,act,47.52
2020-04-25,act,47.95
2020-04-26,act,48.54
2020-04-27,act,49.26
2020-04-28,act,49.88
2020-04-29,act,50.44
2020-04-30,act,50.98
2020-05-01,act,51.86
2020-05-02,act,52.37
2020-05-03,act,52.83
2020-05-04,act,53.07
2020-05-05,act,53.26
2020-05-06,act,53.31
2020-05-07,act,53.14
2020-05-08,act,52.56
2020-05-09,act,51.75
2020-05-10,act,51.1
2020-05-11,act,50.33
2020-05-12,act,49.69
2020-05-13,act,49.26
2020-05-14,act,49.09
2020-05-15,act,49.03
2020-05-16,act,49.28
2020-05-17,act,48.74
2020-05-18,act,49.18
2020-05-19,act,49.38
2020-05-20,act,49.63
2020-05-21,act,50.03
2020-05-22,act,50.8
2020-05-23,act,51.31
2020-05-24,act,52.73
2020-05-25,act,53.09
2020-05-26,act,53.77
2020-05-27,act,54.64
2020-05-28,act,55.46
2020-05-29,act,56.12
2020-05-30,act,57.31
2020-05-31,act,57.72
2020-06-01,act,58.74
2020-06-02,act,59.7
2020-06-03,act,60.72
2020-06-04,act,61.59
2020-06-05,act,62.28
2020-06-06,act,62.63
2020-06-07,act,63.36
2020-06-08,act,63.4
2020-06-09,act,63.1
2020-06-10,act,62.41
2020-06-11,act,61.9
2020-06-12,act,61.45
2020-06-13,act,61.24
2020-06-14,act,61.29
2020-06-15,act,61.63
2020-06-16,act,62.37
2020-06-17,act,63.21
2020-06-18,act,63.85
2020-06-19,act,64.25
2020-06-20,act,64.78
2020-06-21,act,65.08
2020-06-22,act,65.02
2020-06-23,act,64.92
2020-06-24,act,65.18
2020-06-25,act,65.43
2020-06-26,act,65.74
2020-06-27,act,65.85
2020-06-28,act,65.95
2020-06-29,act,66.4
2020-06-30,act,66.78
2020-07-01,act,66.83
2020-07-02,act,67.04
2020-07-03,act,67.15
2020-07-04,act,67.66
2020-07-05,act,68.31
2020-07-06,act,69.35
2020-07-07,act,69.85
2020-07-08,act,70.75
2020-07-09,act,71.54
2020-07-10,act,72.49
2020-07-11,act,72.98
2020-07-12,act,73.52
2020-07-13,act,73.31
2020-07-14,act,73.83
2020-07-15,act,74
2020-07-16,act,74.07
2020-07-17,act,74.32
2020-07-18,act,74.5
2020-07-19,act,74.64
2020-07-20,act,75.11
2020-07-21,act,75.11
2020-07-22,act,75.34
2020-07-23,act,75.57
2020-07-24,act,75.6
2020-07-25,act,75.63
2020-07-26,act,75.81
2020-07-27,act,75.89
2020-07-28,act,76.34
2020-07-29,act,75.85
2020-07-30,act,75.92
2020-07-31,act,75.74
2020-08-01,act,75.76
2020-08-02,act,75.51
2020-08-03,act,75.06
2020-08-04,act,74.79
2020-08-05,act,75.43
2020-08-06,act,75.28
2020-08-07,act,75.18
2020-08-08,act,75.07
2020-08-09,act,75.06
2020-08-10,act,75.08
2020-08-11,act,74.99
2020-08-12,act,74.69
2020-08-13,act,74.65
2020-08-14,act,74.89
2020-08-15,act,75.11
2020-08-16,act,75.13
2020-08-17,act,75.33
2020-08-18,act,75.32
2020-08-19,act,75.4
2020-08-20,act,75.77
2020-08-21,act,76.14
2020-08-22,act,76.78
2020-08-23,act,77.66
2020-08-24,act,78.68
2020-08-25,act,79.91
2020-08-26,act,81.15
2020-08-27,act,82.2
2020-08-28,act,83.01
2020-08-29,act,83.53
2020-08-30,act,83.84
2020-08-31,act,84.08
2020-09-01,act,84.14
2020-09-02,act,84.12
2020-09-03,act,84.02
2020-09-04,act,83.86
2020-09-05,act,83.68
2020-09-06,act,83.89
2020-09-07,act,84.05
2020-09-08,act,84.46
2020-09-09,act,84.72
2020-09-10,act,84.88
2020-09-11,act,85.27
2020-09-12,act,85.71
2020-09-13,act,85.71
2020-09-14,act,85.61
2020-09-15,act,85.48
2020-09-16,act,85.74
2020-09-17,act,85.99
2020-09-18,act,85.94
2020-09-19,act,85.81
2020-09-20,act,85.75
2020-09-21,act,85.66
2020-09-22,act,85.44
2020-09-23,act,84.94
2020-09-24,act,84.83
2020-09-25,act,84.96
2020-09-26,act,85.24
2020-09-27,act,85.73
2020-09-28,act,86.39
2020-09-29,act,86.76
2020-09-30,act,87.26
2020-10-01,act,87.05
2020-10-02,act,87.64
2020-10-03,act,87.78
