date,country,YoY_pct_change_in_new_postings_trend_from_feb1
2020-02-01,CA,0
2020-02-02,CA,1.481
2020-02-03,CA,3.318
2020-02-04,CA,4.833
2020-02-05,CA,7.269
2020-02-06,CA,9.173
2020-02-07,CA,11.372
2020-02-08,CA,13.225
2020-02-09,CA,14.588
2020-02-10,CA,15.446
2020-02-11,CA,16.506
2020-02-12,CA,17.608
2020-02-13,CA,16.9
2020-02-14,CA,15.757
2020-02-15,CA,14.293
2020-02-16,CA,13.061
2020-02-17,CA,11.529
2020-02-18,CA,8.431
2020-02-19,CA,6.878
2020-02-20,CA,6.608
2020-02-21,CA,6.31
2020-02-22,CA,6.296
2020-02-23,CA,6.113
2020-02-24,CA,6.239
2020-02-25,CA,9.814
2020-02-26,CA,10.2
2020-02-27,CA,9.723
2020-02-28,CA,9.161
2020-03-01,CA,10.206
2020-03-02,CA,9.571
2020-03-03,CA,7.636
2020-03-04,CA,5.54
2020-03-05,CA,4.951
2020-03-06,CA,4.76
2020-03-07,CA,4.03
2020-03-08,CA,3.252
2020-03-09,CA,2.292
2020-03-10,CA,1.276
2020-03-11,CA,0.338
2020-03-12,CA,-0.728
2020-03-13,CA,-2.47
2020-03-14,CA,-4.254
2020-03-15,CA,-5.968
2020-03-16,CA,-7.473
2020-03-17,CA,-10.666
2020-03-18,CA,-15.506
2020-03-19,CA,-21.016
2020-03-20,CA,-26.853
2020-03-21,CA,-32.666
2020-03-22,CA,-38.379
2020-03-23,CA,-44.343
2020-03-24,CA,-48.966
2020-03-25,CA,-52.328
2020-03-26,CA,-54.8
2020-03-27,CA,-56.653
2020-03-28,CA,-57.877
2020-03-29,CA,-59.329
2020-03-30,CA,-60.599
2020-03-31,CA,-61.743
2020-04-01,CA,-62.636
2020-04-02,CA,-63.307
2020-04-03,CA,-63.618
2020-04-04,CA,-63.805
2020-04-05,CA,-64.069
2020-04-06,CA,-64.559
2020-04-07,CA,-64.99
2020-04-08,CA,-65.345
2020-04-09,CA,-65.75
2020-04-10,CA,-66.177
2020-04-11,CA,-66.936
2020-04-12,CA,-67.608
2020-04-13,CA,-68.159
