date,jobcountry,pct_chng_feb_1,variable,display_name
2020-02-01,CA,0,total postings,Accounting
2020-02-02,CA,0.07,total postings,Accounting
2020-02-03,CA,0.4,total postings,Accounting
2020-02-04,CA,0.39,total postings,Accounting
2020-02-05,CA,0.4,total postings,Accounting
2020-02-06,CA,0.42,total postings,Accounting
2020-02-07,CA,0.52,total postings,Accounting
2020-02-08,CA,0.78,total postings,Accounting
2020-02-09,CA,0.84,total postings,Accounting
2020-02-10,CA,0.65,total postings,Accounting
2020-02-11,CA,0.61,total postings,Accounting
2020-02-12,CA,0.49,total postings,Accounting
2020-02-13,CA,0.27,total postings,Accounting
2020-02-14,CA,-0.02,total postings,Accounting
2020-02-15,CA,-0.5,total postings,Accounting
2020-02-16,CA,-0.74,total postings,Accounting
2020-02-17,CA,-0.98,total postings,Accounting
2020-02-18,CA,-1.09,total postings,Accounting
2020-02-19,CA,-1.3,total postings,Accounting
2020-02-20,CA,-1.35,total postings,Accounting
2020-02-21,CA,-1.41,total postings,Accounting
2020-02-22,CA,-1.41,total postings,Accounting
2020-02-23,CA,-1.38,total postings,Accounting
2020-02-24,CA,-1.36,total postings,Accounting
2020-02-25,CA,-1.29,total postings,Accounting
2020-02-26,CA,-0.99,total postings,Accounting
2020-02-27,CA,-0.8,total postings,Accounting
2020-02-28,CA,-0.6,total postings,Accounting
2020-02-29,CA,-0.31,total postings,Accounting
2020-03-01,CA,-0.23,total postings,Accounting
2020-03-02,CA,-0.23,total postings,Accounting
2020-03-03,CA,-0.25,total postings,Accounting
2020-03-04,CA,-0.43,total postings,Accounting
2020-03-05,CA,-0.56,total postings,Accounting
2020-03-06,CA,-0.77,total postings,Accounting
2020-03-07,CA,-1,total postings,Accounting
2020-03-08,CA,-1.16,total postings,Accounting
2020-03-09,CA,-1.27,total postings,Accounting
2020-03-10,CA,-1.24,total postings,Accounting
2020-03-11,CA,-1.25,total postings,Accounting
2020-03-12,CA,-1.32,total postings,Accounting
2020-03-13,CA,-1.49,total postings,Accounting
2020-03-14,CA,-1.54,total postings,Accounting
2020-03-15,CA,-1.88,total postings,Accounting
2020-03-16,CA,-2.31,total postings,Accounting
2020-03-17,CA,-3.08,total postings,Accounting
2020-03-18,CA,-4.17,total postings,Accounting
2020-03-19,CA,-5.72,total postings,Accounting
2020-03-20,CA,-7.65,total postings,Accounting
2020-03-21,CA,-10.13,total postings,Accounting
2020-03-22,CA,-12.43,total postings,Accounting
2020-03-23,CA,-14.74,total postings,Accounting
2020-03-24,CA,-17.66,total postings,Accounting
2020-03-25,CA,-20.39,total postings,Accounting
2020-03-26,CA,-22.9,total postings,Accounting
2020-03-27,CA,-25.46,total postings,Accounting
2020-03-28,CA,-27.52,total postings,Accounting
2020-03-29,CA,-29.71,total postings,Accounting
2020-03-30,CA,-31.76,total postings,Accounting
2020-03-31,CA,-33.22,total postings,Accounting
2020-04-01,CA,-34.73,total postings,Accounting
2020-04-02,CA,-36.1,total postings,Accounting
2020-04-03,CA,-37.14,total postings,Accounting
2020-04-04,CA,-38.31,total postings,Accounting
2020-04-05,CA,-39.51,total postings,Accounting
2020-04-06,CA,-40.81,total postings,Accounting
2020-04-07,CA,-42.3,total postings,Accounting
2020-04-08,CA,-43.72,total postings,Accounting
2020-04-09,CA,-45.2,total postings,Accounting
2020-04-10,CA,-46.65,total postings,Accounting
2020-04-11,CA,-47.85,total postings,Accounting
2020-04-12,CA,-49.08,total postings,Accounting
2020-04-13,CA,-50.21,total postings,Accounting
2020-04-14,CA,-51.01,total postings,Accounting
2020-04-15,CA,-51.74,total postings,Accounting
2020-04-16,CA,-52.26,total postings,Accounting
2020-04-17,CA,-52.62,total postings,Accounting
2020-04-18,CA,-52.95,total postings,Accounting
2020-04-19,CA,-53.43,total postings,Accounting
2020-04-20,CA,-53.58,total postings,Accounting
2020-04-21,CA,-53.69,total postings,Accounting
2020-04-22,CA,-53.81,total postings,Accounting
2020-04-23,CA,-53.97,total postings,Accounting
2020-04-24,CA,-54.12,total postings,Accounting
2020-04-25,CA,-54.22,total postings,Accounting
2020-04-26,CA,-54.04,total postings,Accounting
2020-04-27,CA,-54.12,total postings,Accounting
2020-04-28,CA,-54.1,total postings,Accounting
2020-04-29,CA,-54.02,total postings,Accounting
2020-04-30,CA,-53.93,total postings,Accounting
2020-05-01,CA,-53.98,total postings,Accounting
2020-05-02,CA,-53.87,total postings,Accounting
2020-05-03,CA,-53.98,total postings,Accounting
