date,country,index_to_feb01
2018-02-01,CA,100
2018-02-02,CA,100.09
2018-02-03,CA,100.08
2018-02-04,CA,100.1
2018-02-05,CA,100.1
2018-02-06,CA,100.14
2018-02-07,CA,100.18
2018-02-08,CA,100.4
2018-02-09,CA,100.6
2018-02-10,CA,100.84
2018-02-11,CA,101.09
2018-02-12,CA,101.38
2018-02-13,CA,101.49
2018-02-14,CA,101.61
2018-02-15,CA,101.63
2018-02-16,CA,101.58
2018-02-17,CA,101.42
2018-03-01,CA,100.59
2018-03-02,CA,100.48
2018-03-03,CA,100.38
2018-03-04,CA,100.32
2018-03-05,CA,100.25
2018-03-06,CA,100.24
2018-03-07,CA,100.09
2018-03-08,CA,100.34
2018-03-09,CA,100.53
2018-03-10,CA,100.65
2018-03-11,CA,100.84
2018-03-12,CA,100.99
2018-03-13,CA,101.12
2018-03-14,CA,101.29
2018-03-15,CA,101.44
2018-03-16,CA,101.64
2018-03-17,CA,101.7
2018-04-01,CA,104.15
2018-04-02,CA,103.35
2018-04-03,CA,102.48
2018-04-04,CA,102.07
2018-04-05,CA,101.68
2018-04-06,CA,101.35
2018-04-07,CA,101.24
2018-04-08,CA,101.32
2018-04-09,CA,101.42
2018-04-10,CA,101.63
2018-04-11,CA,101.85
2018-04-12,CA,101.84
2018-04-13,CA,101.92
2018-04-14,CA,101.99
2018-04-15,CA,102.05
2018-04-16,CA,102.05
2018-04-17,CA,102.03
2018-05-01,CA,104.23
2018-05-02,CA,104.18
2018-05-03,CA,104.19
2018-05-04,CA,104.22
2018-05-05,CA,104.29
2018-05-06,CA,104.22
2018-05-07,CA,104.25
2018-05-08,CA,104.39
2018-05-09,CA,104.59
2018-05-10,CA,104.76
2018-05-11,CA,104.86
2018-05-12,CA,104.8
2018-05-13,CA,104.98
2018-05-14,CA,105.19
2018-05-15,CA,105.43
2018-05-16,CA,105.64
2018-05-17,CA,105.82
2018-06-01,CA,106.92
2018-06-02,CA,106.83
2018-06-03,CA,106.8
2018-06-04,CA,106.63
2018-06-05,CA,106.54
2018-06-06,CA,106.39
2018-06-07,CA,106.4
2018-06-08,CA,106.69
2018-06-09,CA,107.06
2018-06-10,CA,107.35
2018-06-11,CA,107.73
2018-06-12,CA,108.04
2018-06-13,CA,108.46
2018-06-14,CA,108.75
2018-06-15,CA,108.94
2018-06-16,CA,108.89
2018-06-17,CA,108.95
2018-07-01,CA,110
2018-07-02,CA,109.98
2018-07-03,CA,109.82
2018-07-04,CA,109.4
2018-07-05,CA,108.86
2018-07-06,CA,108.44
2018-07-07,CA,108.05
2018-07-08,CA,107.81
2018-07-09,CA,107.6
2018-07-10,CA,107.62
2018-07-11,CA,107.73
2018-07-12,CA,107.89
2018-07-13,CA,108.14
2018-07-14,CA,108.38
2018-07-15,CA,108.56
2018-07-16,CA,108.73
2018-07-17,CA,108.9
2019-02-01,CA,100
2019-02-02,CA,100.12
2019-02-03,CA,100.09
2019-02-04,CA,100.21
2019-02-05,CA,100.25
2019-02-06,CA,100.28
2019-02-07,CA,100.36
2019-02-08,CA,100.58
2019-02-09,CA,100.71
2019-02-10,CA,100.92
2019-02-11,CA,101.07
2019-02-12,CA,101.29
2019-02-13,CA,101.46
2019-02-14,CA,101.62
2019-02-15,CA,101.84
2019-02-16,CA,101.87
2019-02-17,CA,102.06
2019-03-01,CA,102.81
2019-03-02,CA,102.88
2019-03-03,CA,102.96
2019-03-04,CA,103
2019-03-05,CA,103.04
2019-03-06,CA,102.55
2019-03-07,CA,102.66
2019-03-08,CA,102.99
2019-03-09,CA,103.43
2019-03-10,CA,103.87
2019-03-11,CA,104.34
2019-03-12,CA,104.79
2019-03-13,CA,105.71
2019-03-14,CA,106.05
2019-03-15,CA,106.51
2019-03-16,CA,106.81
2019-03-17,CA,107.18
2019-04-01,CA,110.74
2019-04-02,CA,110.64
2019-04-03,CA,110.54
2019-04-04,CA,110.55
2019-04-05,CA,110.5
2019-04-06,CA,110.5
2019-04-07,CA,110.64
2019-04-08,CA,110.98
2019-04-09,CA,111.28
2019-04-10,CA,111.6
2019-04-11,CA,111.85
2019-04-12,CA,111.95
2019-04-13,CA,111.92
2019-04-14,CA,112.03
2019-04-15,CA,112.13
2019-04-16,CA,112.17
2019-04-17,CA,112.12
2019-05-01,CA,111.37
2019-05-02,CA,111.12
2019-05-03,CA,110.73
2019-05-04,CA,110.81
2019-05-05,CA,110.83
2019-05-06,CA,110.81
2019-05-07,CA,110.93
2019-05-08,CA,111.05
2019-05-09,CA,111.17
2019-05-10,CA,111.19
2019-05-11,CA,110.99
2019-05-12,CA,110.98
2019-05-13,CA,111.03
2019-05-14,CA,111.09
2019-05-15,CA,111.18
2019-05-16,CA,111.26
2019-05-17,CA,111.41
2019-06-01,CA,111.8
2019-06-02,CA,111.63
2019-06-03,CA,111.4
2019-06-04,CA,111.19
2019-06-05,CA,110.93
2019-06-06,CA,110.66
2019-06-07,CA,110.45
2019-06-08,CA,110.34
2019-06-09,CA,110.39
2019-06-10,CA,110.47
2019-06-11,CA,110.52
2019-06-12,CA,110.65
2019-06-13,CA,110.82
2019-06-14,CA,110.97
2019-06-15,CA,110.6
2019-06-16,CA,110.67
2019-06-17,CA,110.7
2019-07-01,CA,109.8
2019-07-02,CA,109.37
2019-07-03,CA,108.93
2019-07-04,CA,108.49
2019-07-05,CA,108.06
2019-07-06,CA,107.66
2019-07-07,CA,107.31
2019-07-08,CA,107.07
2019-07-09,CA,107.07
2019-07-10,CA,107.13
2019-07-11,CA,107.26
