date,province,indeed_job_postings_index
2020-02-01,ab,100
2020-02-02,ab,99.78
2020-02-03,ab,99.57
2020-02-04,ab,99.2
2020-02-05,ab,99.03
2020-02-06,ab,98.96
2020-02-07,ab,99.02
2020-02-08,ab,99.19
2020-02-09,ab,99.36
2020-02-10,ab,99.42
2020-02-11,ab,99.55
2020-02-12,ab,99.66
2020-02-13,ab,99.85
2020-02-14,ab,99.91
2020-02-15,ab,99.75
2020-02-16,ab,99.73
2020-02-17,ab,99.79
2020-02-18,ab,99.76
2020-02-19,ab,99.63
2020-02-20,ab,99.46
2020-02-21,ab,99.33
2020-02-22,ab,99.36
2020-02-23,ab,99.42
2020-02-24,ab,99.45
2020-02-25,ab,99.55
2020-02-26,ab,99.75
2020-02-27,ab,99.98
2020-02-28,ab,100.15
2020-02-29,ab,100.25
2020-03-01,ab,100.25
2020-03-02,ab,100.28
2020-03-03,ab,100.27
2020-03-04,ab,100.13
2020-03-05,ab,99.96
2020-03-06,ab,99.88
2020-03-07,ab,99.81
2020-03-08,ab,99.77
2020-03-09,ab,99.6
2020-03-10,ab,99.6
2020-03-11,ab,99.61
2020-03-12,ab,99.71
2020-03-13,ab,99.57
2020-03-14,ab,99.26
2020-03-15,ab,98.72
2020-03-16,ab,98.18
2020-03-17,ab,96.98
2020-03-18,ab,95.33
2020-03-19,ab,92.91
2020-03-20,ab,89.95
2020-03-21,ab,86.64
2020-03-22,ab,83.54
2020-03-23,ab,80.4
2020-03-24,ab,77.29
2020-03-25,ab,74.51
2020-03-26,ab,72.06
2020-03-27,ab,69.85
2020-03-28,ab,68.13
2020-03-29,ab,66.3
2020-03-30,ab,64.54
2020-03-31,ab,63.26
2020-04-01,ab,62.05
2020-04-02,ab,60.91
2020-04-03,ab,60.12
2020-04-04,ab,59.14
2020-04-05,ab,58.06
2020-04-06,ab,56.9
2020-04-07,ab,55.5
2020-04-08,ab,54.41
2020-04-09,ab,53.32
2020-04-10,ab,52.24
2020-04-11,ab,51.39
2020-04-12,ab,50.75
2020-04-13,ab,50.2
2020-04-14,ab,49.78
2020-04-15,ab,49.11
2020-04-16,ab,48.57
