date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,DE,100,total postings,Accounting
2020-02-02,DE,100.03,total postings,Accounting
2020-02-03,DE,100.09,total postings,Accounting
2020-02-04,DE,99.7,total postings,Accounting
2020-02-05,DE,99.78,total postings,Accounting
2020-02-06,DE,99.89,total postings,Accounting
2020-02-07,DE,99.96,total postings,Accounting
2020-02-08,DE,99.89,total postings,Accounting
2020-02-09,DE,99.85,total postings,Accounting
2020-02-10,DE,99.82,total postings,Accounting
2020-02-11,DE,100.08,total postings,Accounting
2020-02-12,DE,99.98,total postings,Accounting
2020-02-13,DE,99.87,total postings,Accounting
2020-02-14,DE,99.78,total postings,Accounting
2020-02-15,DE,99.82,total postings,Accounting
2020-02-16,DE,99.91,total postings,Accounting
2020-02-17,DE,100.02,total postings,Accounting
2020-02-18,DE,100.14,total postings,Accounting
2020-02-19,DE,100.29,total postings,Accounting
2020-02-20,DE,100.41,total postings,Accounting
2020-02-21,DE,100.47,total postings,Accounting
2020-02-22,DE,100.37,total postings,Accounting
2020-02-23,DE,100.34,total postings,Accounting
2020-02-24,DE,100.34,total postings,Accounting
2020-02-25,DE,100.38,total postings,Accounting
2020-02-26,DE,100.41,total postings,Accounting
2020-02-27,DE,100.47,total postings,Accounting
2020-02-28,DE,100.54,total postings,Accounting
2020-02-29,DE,100.67,total postings,Accounting
2020-03-01,DE,100.79,total postings,Accounting
2020-03-02,DE,100.88,total postings,Accounting
2020-03-03,DE,100.94,total postings,Accounting
2020-03-04,DE,100.95,total postings,Accounting
2020-03-05,DE,101.05,total postings,Accounting
2020-03-06,DE,101.21,total postings,Accounting
2020-03-07,DE,101.39,total postings,Accounting
2020-03-08,DE,101.44,total postings,Accounting
2020-03-09,DE,101.37,total postings,Accounting
2020-03-10,DE,101.42,total postings,Accounting
2020-03-11,DE,101.51,total postings,Accounting
2020-03-12,DE,101.54,total postings,Accounting
2020-03-13,DE,101.25,total postings,Accounting
2020-03-14,DE,100.93,total postings,Accounting
2020-03-15,DE,100.64,total postings,Accounting
2020-03-16,DE,100.31,total postings,Accounting
2020-03-17,DE,99.83,total postings,Accounting
2020-03-18,DE,99.19,total postings,Accounting
2020-03-19,DE,98.39,total postings,Accounting
2020-03-20,DE,97.75,total postings,Accounting
2020-03-21,DE,97.02,total postings,Accounting
2020-03-22,DE,96.24,total postings,Accounting
2020-03-23,DE,95.53,total postings,Accounting
2020-03-24,DE,94.75,total postings,Accounting
2020-03-25,DE,93.8,total postings,Accounting
2020-03-26,DE,92.75,total postings,Accounting
2020-03-27,DE,91.67,total postings,Accounting
2020-03-28,DE,90.57,total postings,Accounting
2020-03-29,DE,89.55,total postings,Accounting
2020-03-30,DE,88.46,total postings,Accounting
2020-03-31,DE,87.43,total postings,Accounting
2020-04-01,DE,86.65,total postings,Accounting
2020-04-02,DE,86.06,total postings,Accounting
2020-04-03,DE,85.52,total postings,Accounting
2020-04-04,DE,85.17,total postings,Accounting
2020-04-05,DE,84.68,total postings,Accounting
2020-04-06,DE,84.18,total postings,Accounting
2020-04-07,DE,83.75,total postings,Accounting
2020-04-08,DE,83.38,total postings,Accounting
2020-04-09,DE,82.94,total postings,Accounting
2020-04-10,DE,82.45,total postings,Accounting
2020-04-11,DE,82.01,total postings,Accounting
2020-04-12,DE,81.7,total postings,Accounting
2020-04-13,DE,81.42,total postings,Accounting
2020-04-14,DE,81.26,total postings,Accounting
2020-04-15,DE,81.15,total postings,Accounting
2020-04-16,DE,80.96,total postings,Accounting
2020-04-17,DE,80.95,total postings,Accounting
2020-04-18,DE,80.88,total postings,Accounting
2020-04-19,DE,80.56,total postings,Accounting
2020-04-20,DE,80.55,total postings,Accounting
2020-04-21,DE,80.43,total postings,Accounting
2020-04-22,DE,80.18,total postings,Accounting
2020-04-23,DE,80.13,total postings,Accounting
2020-04-24,DE,80.01,total postings,Accounting
2020-04-25,DE,79.88,total postings,Accounting
2020-04-26,DE,80.02,total postings,Accounting
2020-04-27,DE,79.93,total postings,Accounting
2020-04-28,DE,79.79,total postings,Accounting
2020-04-29,DE,79.81,total postings,Accounting
2020-04-30,DE,79.81,total postings,Accounting
2020-05-01,DE,79.74,total postings,Accounting
2020-05-02,DE,79.75,total postings,Accounting
2020-05-03,DE,79.71,total postings,Accounting
2020-05-04,DE,79.66,total postings,Accounting
2020-05-05,DE,79.75,total postings,Accounting
2020-05-06,DE,79.71,total postings,Accounting
2020-05-07,DE,79.75,total postings,Accounting
2020-05-08,DE,79.82,total postings,Accounting
2020-05-09,DE,79.87,total postings,Accounting
2020-05-10,DE,80,total postings,Accounting
2020-05-11,DE,80,total postings,Accounting
2020-05-12,DE,79.96,total postings,Accounting
2020-05-13,DE,79.86,total postings,Accounting
2020-05-14,DE,79.76,total postings,Accounting
2020-05-15,DE,79.75,total postings,Accounting
2020-05-16,DE,79.66,total postings,Accounting
2020-05-17,DE,79.56,total postings,Accounting
2020-05-18,DE,79.56,total postings,Accounting
2020-05-19,DE,79.57,total postings,Accounting
2020-05-20,DE,79.67,total postings,Accounting
2020-05-21,DE,79.8,total postings,Accounting
2020-05-22,DE,80.09,total postings,Accounting
2020-05-23,DE,80.37,total postings,Accounting
2020-05-24,DE,80.6,total postings,Accounting
2020-05-25,DE,80.82,total postings,Accounting
2020-05-26,DE,80.96,total postings,Accounting
2020-05-27,DE,81.15,total postings,Accounting
2020-05-28,DE,81.26,total postings,Accounting
2020-05-29,DE,81.17,total postings,Accounting
2020-05-30,DE,81.12,total postings,Accounting
2020-05-31,DE,81.12,total postings,Accounting
2020-06-01,DE,81.14,total postings,Accounting
2020-06-02,DE,81.17,total postings,Accounting
