date,country,index_to_feb01
2018-02-01,DE,100
2018-02-02,DE,100.07
2018-02-03,DE,100.09
2018-02-04,DE,100.07
2018-02-05,DE,100.1
2018-02-06,DE,100.07
2018-02-07,DE,100.11
2018-02-08,DE,100.29
2018-02-09,DE,100.47
2018-02-10,DE,100.65
2018-02-11,DE,100.8
2018-02-12,DE,100.95
2018-02-13,DE,101.07
2018-02-14,DE,101.04
2018-02-15,DE,101.03
2018-02-16,DE,101.03
2018-02-17,DE,100.96
2018-02-18,DE,101.03
2018-02-19,DE,101.02
2018-02-20,DE,101.04
2018-02-21,DE,101.1
2018-02-22,DE,101.07
2018-02-23,DE,101.07
2018-02-24,DE,101.15
2018-02-25,DE,101.15
2018-02-26,DE,101.12
2018-02-27,DE,101.15
2018-02-28,DE,101.21
2018-03-01,DE,101.25
2018-03-02,DE,100.51
2018-03-03,DE,100.57
2018-03-04,DE,100.63
2018-03-05,DE,100.74
2018-03-06,DE,100.82
2018-03-07,DE,100.9
2018-03-08,DE,101.09
2018-03-09,DE,102.04
2018-03-10,DE,102.18
2018-03-11,DE,102.33
2018-03-12,DE,102.51
2018-03-13,DE,102.48
2018-03-14,DE,102.68
2018-03-15,DE,102.78
2018-03-16,DE,102.92
2018-03-17,DE,103.02
2018-03-18,DE,103.06
2018-03-19,DE,103.11
2018-03-20,DE,103.37
2018-03-21,DE,103.41
2018-03-22,DE,103.49
2018-03-23,DE,103.47
2018-03-24,DE,103.52
2018-03-25,DE,103.57
2018-03-26,DE,103.58
2018-03-27,DE,102.5
2018-03-28,DE,102.54
2018-03-29,DE,102.6
2018-03-30,DE,102.84
2018-03-31,DE,102.88
2018-04-01,DE,102.84
2018-04-02,DE,102.78
2018-04-03,DE,103.72
2018-04-04,DE,103.57
2018-04-05,DE,103.48
2018-04-06,DE,103.33
2018-04-07,DE,103.36
2018-04-08,DE,103.47
2018-04-09,DE,103.62
2018-04-10,DE,103.83
2018-04-11,DE,104.09
2018-04-12,DE,104.28
2018-04-13,DE,104.41
2018-04-14,DE,104.6
2018-04-15,DE,104.76
2018-04-16,DE,104.93
2018-04-17,DE,105.14
2018-04-18,DE,105.34
2018-04-19,DE,105.37
2018-04-20,DE,105.45
2018-04-21,DE,105.38
2018-04-22,DE,105.38
2018-04-23,DE,105.31
2018-04-24,DE,105.2
2018-04-25,DE,105.16
2018-04-26,DE,105.27
2018-04-27,DE,105.27
2018-04-28,DE,105.39
2018-04-29,DE,105.45
2018-04-30,DE,105.58
2018-05-01,DE,105.64
2018-05-02,DE,105.42
2018-05-03,DE,105.21
2018-05-04,DE,105.23
2018-05-05,DE,105.27
2018-05-06,DE,105.33
2018-05-07,DE,105.42
2018-05-08,DE,105.55
2018-05-09,DE,105.95
2018-05-10,DE,106.38
2018-05-11,DE,106.45
2018-05-12,DE,106.45
2018-05-13,DE,106.43
2018-05-14,DE,106.38
2018-05-15,DE,106.42
2018-05-16,DE,106.59
2018-05-17,DE,107.09
2018-05-18,DE,108.02
2018-05-19,DE,109.3
2018-05-20,DE,110.8
2018-05-21,DE,112.66
2018-05-22,DE,114.67
2018-05-23,DE,116.64
2018-05-24,DE,118.39
2018-05-25,DE,119.88
2018-05-26,DE,121.01
2018-05-27,DE,119.87
2018-05-28,DE,118.37
2018-05-29,DE,116.51
2018-05-30,DE,114.61
2018-05-31,DE,112.05
2018-06-01,DE,109.37
2018-06-02,DE,106.73
2018-06-03,DE,106.16
2018-06-04,DE,105.63
2018-06-05,DE,105.31
2018-06-06,DE,104.69
2018-06-07,DE,104.81
2018-06-08,DE,105.06
2018-06-09,DE,105.27
2018-06-10,DE,105.6
2018-06-11,DE,105.95
2018-06-12,DE,106.24
2018-06-13,DE,106.71
2018-06-14,DE,106.98
2018-06-15,DE,107.26
2018-06-16,DE,107.59
2018-06-17,DE,107.71
2018-06-18,DE,107.79
2018-06-19,DE,107.97
2018-06-20,DE,108.17
2018-06-21,DE,108.46
2018-06-22,DE,108.71
2018-06-23,DE,108.81
2018-06-24,DE,109.01
2018-06-25,DE,108.74
2018-06-26,DE,108.64
2018-06-27,DE,108.69
2018-06-28,DE,108.67
2018-06-29,DE,108.67
2018-06-30,DE,108.71
2018-07-01,DE,108.63
2018-07-02,DE,109.08
2018-07-03,DE,109.22
2018-07-04,DE,109.19
2018-07-05,DE,109.17
2018-07-06,DE,109.11
2018-07-07,DE,108.45
2018-07-08,DE,107.8
2018-07-09,DE,107.13
2018-07-10,DE,106.57
2018-07-11,DE,106.07
2018-07-12,DE,105.5
2018-07-13,DE,104.93
2018-07-14,DE,105.28
2018-07-15,DE,105.62
2018-07-16,DE,105.88
2018-07-17,DE,106.03
2018-07-18,DE,106.09
2018-07-19,DE,106.18
2018-07-20,DE,106.59
2018-07-21,DE,106.73
2018-07-22,DE,106.96
2018-07-23,DE,107.32
2018-07-24,DE,107.48
2018-07-25,DE,107.97
2018-07-26,DE,108.34
2018-07-27,DE,108.46
2018-07-28,DE,108.66
