date,country,YoY_pct_change_in_new_postings_trend_from_feb1
2020-02-01,FR,0
2020-02-02,FR,0.61647296614451
2020-02-03,FR,1.32625994694959
2020-02-04,FR,1.92147901952637
2020-02-05,FR,4.74663245670301
2020-02-06,FR,5.47366139171905
2020-02-07,FR,6.82466535001096
2020-02-08,FR,6.7298268539693
2020-02-09,FR,6.43003560254614
2020-02-10,FR,6.05963449823661
2020-02-11,FR,5.97141344626786
2020-02-12,FR,5.86501000315891
2020-02-13,FR,5.98933835058013
2020-02-14,FR,5.95399188092018
2020-02-15,FR,6.27536684358414
2020-02-16,FR,5.53640447090775
2020-02-17,FR,4.70588235294118
2020-02-18,FR,4.80294272201787
2020-02-19,FR,5.318588730911
2020-02-20,FR,5.37815126050418
2020-02-21,FR,5.83148792576189
2020-02-22,FR,6.41473483645603
2020-02-23,FR,8.28911059223094
2020-02-24,FR,10.5459189102905
2020-02-25,FR,11.2229599485971
2020-02-26,FR,11.6201358197693
2020-02-27,FR,12.3242889833279
2020-02-28,FR,11.9699934768428
2020-03-01,FR,10.5326086956522
2020-03-02,FR,8.89899317960376
2020-03-03,FR,9.11946279649085
2020-03-04,FR,9.15096382932641
2020-03-05,FR,8.85748192901068
2020-03-06,FR,8.7805925289824
2020-03-07,FR,9.00160170848905
2020-03-08,FR,8.30873049346268
2020-03-09,FR,8.39966485127774
2020-03-10,FR,7.88627166130538
2020-03-11,FR,7.41998559226098
2020-03-12,FR,7.51255508865432
2020-03-13,FR,7.05918304981155
2020-03-14,FR,6.47950361102636
2020-03-15,FR,6.22126877106957
2020-03-16,FR,5.33210520929281
2020-03-17,FR,1.74882389036612
2020-03-18,FR,-3.29255861365952
2020-03-19,FR,-10.16210739615
2020-03-20,FR,-17.8163821836178
2020-03-21,FR,-26.5783398574726
2020-03-22,FR,-35.6552890834909
2020-03-23,FR,-43.0844188127672
2020-03-24,FR,-48.6978131212724
2020-03-25,FR,-53.4117879746835
2020-03-26,FR,-56.5328610783156
2020-03-27,FR,-57.9732914375491
2020-03-28,FR,-58.0622973371327
2020-03-29,FR,-57.4443026793601
2020-03-30,FR,-57.7627583504751
2020-03-31,FR,-57.832502687384
2020-04-01,FR,-57.530622243998
2020-04-02,FR,-58.4632185049141
2020-04-03,FR,-59.5329969328188
2020-04-04,FR,-59.4127634075702
2020-04-05,FR,-59.1234164282795
2020-04-06,FR,-59.064388414253
2020-04-07,FR,-58.8040929439352
2020-04-08,FR,-59.6965839168258
2020-04-09,FR,-59.3336858804865
2020-04-10,FR,-58.593918481777
2020-04-11,FR,-58.7897191194014
2020-04-12,FR,-59.2917478882391
2020-04-13,FR,-60.0043615745284
2020-04-14,FR,-61.1209570225964
2020-04-15,FR,-60.5217391304348
2020-04-16,FR,-59.6653827636014
2020-04-17,FR,-59.4811612106238
2020-04-18,FR,-60.9256357719658
2020-04-19,FR,-62.3914574043652
2020-04-20,FR,-63.3598183881952
2020-04-21,FR,-62.796260056534
2020-04-22,FR,-62.6465661641541
2020-04-23,FR,-61.9277355779101
2020-04-24,FR,-60.9773371104816
2020-04-25,FR,-61.3623075423894
2020-04-26,FR,-59.0465654229106
2020-04-27,FR,-57.4832387828778
2020-04-28,FR,-56.4697162219399
2020-04-29,FR,-55.7546966098035
2020-04-30,FR,-56.7739204064352
2020-05-01,FR,-57.6951206770452
2020-05-02,FR,-55.2735476593345
2020-05-03,FR,-56.4122738001574
2020-05-04,FR,-56.2172625825552
2020-05-05,FR,-56.9079698561315
2020-05-06,FR,-57.3435358611238
2020-05-07,FR,-57.5786015954951
2020-05-08,FR,-56.879752851711
2020-05-09,FR,-56.3621437785857
2020-05-10,FR,-55.6935577481138
2020-05-11,FR,-55.5568143197009
2020-05-12,FR,-54.9630293524535
2020-05-13,FR,-53.0810448760884
2020-05-14,FR,-50.7641561297416
2020-05-15,FR,-48.7076017013851
2020-05-16,FR,-45.7645408438545
2020-05-17,FR,-44.4503395585738
2020-05-18,FR,-41.9719489219175
2020-05-19,FR,-39.4216917061124
2020-05-20,FR,-38.5922330097087
2020-05-21,FR,-37.6884920634921
2020-05-22,FR,-38.6103781882146
2020-05-23,FR,-40.6286379511059
2020-05-24,FR,-41.3400270322456
2020-05-25,FR,-42.9812705155435
2020-05-26,FR,-45.5218855218855
2020-05-27,FR,-46.8101386896222
2020-05-28,FR,-48.1997119539126
2020-05-29,FR,-47.3238351944551
2020-05-30,FR,-46.634382566586
2020-05-31,FR,-43.3316757831924
2020-06-01,FR,-39.6489787539772
2020-06-02,FR,-35.5747678514249
2020-06-03,FR,-32.1607480797061
2020-06-04,FR,-27.3023255813953
2020-06-05,FR,-23.0160662122687
2020-06-06,FR,-18.4263959390863
2020-06-07,FR,-21.2977562158884
2020-06-08,FR,-25.486865942029
2020-06-09,FR,-27.1957671957672
2020-06-10,FR,-28.6140979689367
2020-06-11,FR,-29.5204700530705
2020-06-12,FR,-30.7110711071107
2020-06-13,FR,-31.4925628312532
2020-06-14,FR,-28.6136462407649
2020-06-15,FR,-24.1164241164241
2020-06-16,FR,-22.1750369276219
2020-06-17,FR,-20.0206786352101
2020-06-18,FR,-20.2632070188538
2020-06-19,FR,-21.3500784929356
2020-06-20,FR,-20.4924913720735
2020-06-21,FR,-20.6720504966119
2020-06-22,FR,-22.333000997009
2020-06-23,FR,-22.2924758377744
2020-06-24,FR,-22.2071705951413
2020-06-25,FR,-20.6236776745469
2020-06-26,FR,-18.3451536643026
2020-06-27,FR,-18.552380952381
2020-06-28,FR,-18.2147625405302
2020-06-29,FR,-17.3113933795227
2020-06-30,FR,-16.4416820433136
2020-07-01,FR,-15.4592686991472
2020-07-02,FR,-14.00318028225
2020-07-03,FR,-12.7066840364766
2020-07-04,FR,-10.9710597963094
2020-07-05,FR,-10.5049685662137
2020-07-06,FR,-9.71924451250637
2020-07-07,FR,-9.16436534724352
2020-07-08,FR,-8.86956521739131
2020-07-09,FR,-9.6728307254623
2020-07-10,FR,-10.5273731793069
2020-07-11,FR,-13.8602065131056
2020-07-12,FR,-14.5317545748116
2020-07-13,FR,-15.9640569735207
2020-07-14,FR,-18.0727409073866
2020-07-15,FR,-21.8836056544887
2020-07-16,FR,-24.6592767581319
2020-07-17,FR,-28.6116919719975
2020-07-18,FR,-28.1513374862587
2020-07-19,FR,-29.9777736617892
2020-07-20,FR,-31.2358490566038
2020-07-21,FR,-31.6143282435417
2020-07-22,FR,-29.1021368359145
2020-07-23,FR,-28.000792942809
2020-07-24,FR,-24.894641782059
2020-07-25,FR,-22.2120750887874
2020-07-26,FR,-17.5578947368421
2020-07-27,FR,-12.8993566677571
2020-07-28,FR,-8.71178057553957
2020-07-29,FR,-6.99884125144843
2020-07-30,FR,-5.79003685649745
2020-07-31,FR,-3.95133116491989
2020-08-01,FR,-4.36958379104114
2020-08-02,FR,-8.29077087540089
2020-08-03,FR,-10.9585826586883
2020-08-04,FR,-14.5307068366164
2020-08-05,FR,-16.370310886773
2020-08-06,FR,-15.6723267553924
2020-08-07,FR,-16.7966062829626
2020-08-08,FR,-17.1445020149683
2020-08-09,FR,-16.5379213483146
2020-08-10,FR,-16.3709486633546
2020-08-11,FR,-15.1968409716405
2020-08-12,FR,-14.1092406443018
2020-08-13,FR,-14.5365853658537
2020-08-14,FR,-14.4058365277606
2020-08-15,FR,-14.407416687547
2020-08-16,FR,-14.2894056847545
2020-08-17,FR,-13.027128659683
2020-08-18,FR,-10.1235607975288
2020-08-19,FR,-7.47554387501824
2020-08-20,FR,-4.33272946859903
2020-08-21,FR,-1.83059261557554
2020-08-22,FR,1.06738888003823
2020-08-23,FR,0.571252122896415
2020-08-24,FR,-3.04922317409614
2020-08-25,FR,-6.68228162028106
2020-08-26,FR,-9.22874093605801
2020-08-27,FR,-11.5978728792099
2020-08-28,FR,-13.2522796352584
2020-08-29,FR,-15.2098708487085
2020-08-30,FR,-15.5488147399169
2020-08-31,FR,-15.3931339977851
2020-09-01,FR,-15.4399738305528
2020-09-02,FR,-15.9656652360515
2020-09-03,FR,-15.6740144128868
2020-09-04,FR,-15.6990148815762
2020-09-05,FR,-16.3818257607336
2020-09-06,FR,-16.244965403284102
2020-09-07,FR,-17.0253612205719
2020-09-08,FR,-16.4124040283179
2020-09-09,FR,-15.5660377358491
2020-09-10,FR,-17.1213000580383
2020-09-11,FR,-16.1435406698565
2020-09-12,FR,-14.6392537597563
2020-09-13,FR,-13.7396595987449
2020-09-14,FR,-11.7562102830734
2020-09-15,FR,-11.7115384615385
2020-09-16,FR,-12.4783695443184
2020-09-17,FR,-9.89447187530256
2020-09-18,FR,-9.50019447685726
2020-09-19,FR,-8.85792243227441
2020-09-20,FR,-8.28616045285965
2020-09-21,FR,-7.30678697528442
2020-09-22,FR,-6.08181370133071
2020-09-23,FR,-4.01821060965954
2020-09-24,FR,-3.16436861422478
2020-09-25,FR,-2.24696758798967
2020-09-26,FR,-2.06339712918659
2020-09-27,FR,-2.01959608078384
2020-09-28,FR,-3.30602980361195
2020-09-29,FR,-3.65035516969219
2020-09-30,FR,-4.27612087695042
2020-10-01,FR,-5.56984566679857
2020-10-02,FR,-6.41891891891891
2020-10-03,FR,-6.30432610650414
2020-10-04,FR,-6.38255302120848
2020-10-05,FR,-5.94109340326811
2020-10-06,FR,-5.72669427330573
2020-10-07,FR,-6.65460394049056
2020-10-08,FR,-6.36010749477456
2020-10-09,FR,-6.50806134486827
2020-10-10,FR,-7.2111631537861
2020-10-11,FR,-7.23043985986765
2020-10-12,FR,-6.76427525622255
2020-10-13,FR,-8.07144251415186
2020-10-14,FR,-8.15585435273334
2020-10-15,FR,-6.019124308002
2020-10-16,FR,-6.74803308452693
