date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,FR,100,total postings,Accounting
2020-02-02,FR,99.8,total postings,Accounting
2020-02-03,FR,99.46,total postings,Accounting
2020-02-04,FR,99.09,total postings,Accounting
2020-02-05,FR,99.33,total postings,Accounting
2020-02-06,FR,99.26,total postings,Accounting
2020-02-07,FR,99.22,total postings,Accounting
2020-02-08,FR,99.1,total postings,Accounting
2020-02-09,FR,98.94,total postings,Accounting
2020-02-10,FR,98.88,total postings,Accounting
2020-02-11,FR,98.56,total postings,Accounting
2020-02-12,FR,98.28,total postings,Accounting
2020-02-13,FR,98.02,total postings,Accounting
2020-02-14,FR,97.82,total postings,Accounting
2020-02-15,FR,97.21,total postings,Accounting
2020-02-16,FR,96.52,total postings,Accounting
2020-02-17,FR,96.06,total postings,Accounting
2020-02-18,FR,95.58,total postings,Accounting
2020-02-19,FR,95.18,total postings,Accounting
2020-02-20,FR,95.07,total postings,Accounting
2020-02-21,FR,94.78,total postings,Accounting
2020-02-22,FR,95.31,total postings,Accounting
2020-02-23,FR,95.87,total postings,Accounting
2020-02-24,FR,96.2,total postings,Accounting
2020-02-25,FR,96.62,total postings,Accounting
2020-02-26,FR,96.95,total postings,Accounting
2020-02-27,FR,97.24,total postings,Accounting
2020-02-28,FR,97.57,total postings,Accounting
2020-02-29,FR,97.6,total postings,Accounting
2020-03-01,FR,97.55,total postings,Accounting
2020-03-02,FR,97.54,total postings,Accounting
2020-03-03,FR,97.59,total postings,Accounting
2020-03-04,FR,97.63,total postings,Accounting
2020-03-05,FR,97.7,total postings,Accounting
2020-03-06,FR,97.91,total postings,Accounting
2020-03-07,FR,98.09,total postings,Accounting
2020-03-08,FR,98.28,total postings,Accounting
2020-03-09,FR,98.46,total postings,Accounting
2020-03-10,FR,98.61,total postings,Accounting
2020-03-11,FR,98.77,total postings,Accounting
2020-03-12,FR,99.03,total postings,Accounting
2020-03-13,FR,98.62,total postings,Accounting
2020-03-14,FR,98.15,total postings,Accounting
