date,country,YoY_pct_change_in_new_postings_trend_from_feb1
2020-02-01,FR,0
2020-02-02,FR,0.61647296614451
2020-02-03,FR,1.33659830629527
2020-02-04,FR,1.92147901952637
2020-02-05,FR,4.74663245670301
2020-02-06,FR,5.47366139171905
2020-02-07,FR,6.82466535001096
2020-02-08,FR,6.7298268539693
2020-02-09,FR,6.43003560254614
2020-02-10,FR,6.05963449823661
2020-02-11,FR,5.97141344626786
2020-02-12,FR,5.86501000315891
2020-02-13,FR,5.98933835058013
2020-02-14,FR,5.95399188092018
2020-02-15,FR,6.27536684358414
2020-02-16,FR,5.53640447090775
2020-02-17,FR,4.71688202542284
2020-02-18,FR,4.81395837712844
2020-02-19,FR,5.32968190436065
2020-02-20,FR,5.37815126050418
2020-02-21,FR,5.83148792576189
2020-02-22,FR,6.41473483645603
2020-02-23,FR,8.28911059223094
2020-02-24,FR,10.5459189102905
2020-02-25,FR,11.2229599485971
2020-02-26,FR,11.6201358197693
2020-02-27,FR,12.3242889833279
2020-02-28,FR,11.9699934768428
2020-03-01,FR,10.5326086956522
2020-03-02,FR,8.89899317960376
2020-03-03,FR,9.11946279649085
2020-03-04,FR,9.15096382932641
2020-03-05,FR,8.85748192901068
2020-03-06,FR,8.7805925289824
2020-03-07,FR,9.00160170848905
2020-03-08,FR,8.30873049346268
2020-03-09,FR,8.39966485127774
2020-03-10,FR,7.88627166130538
2020-03-11,FR,7.41998559226098
2020-03-12,FR,7.51255508865432
2020-03-13,FR,7.05918304981155
2020-03-14,FR,6.47950361102636
2020-03-15,FR,6.22126877106957
2020-03-16,FR,5.33210520929281
2020-03-17,FR,1.74882389036612
2020-03-18,FR,-3.29255861365952
2020-03-19,FR,-10.16210739615
2020-03-20,FR,-17.8080808080808
2020-03-21,FR,-26.5783398574726
2020-03-22,FR,-35.6552890834909
2020-03-23,FR,-43.0844188127672
2020-03-24,FR,-48.6978131212724
2020-03-25,FR,-53.4210005932371
2020-03-26,FR,-56.5499606608969
2020-03-27,FR,-57.9980372914622
2020-03-28,FR,-58.0952380952381
2020-03-29,FR,-57.4860280419649
2020-03-30,FR,-57.812347128461
2020-03-31,FR,-57.8901141797599
2020-04-01,FR,-57.5929549902153
2020-04-02,FR,-58.5167558992663
2020-04-03,FR,-59.5729959474152
2020-04-04,FR,-59.4492117341848
2020-04-05,FR,-59.1484582397386
2020-04-06,FR,-59.0857023846715
2020-04-07,FR,-58.8128729752771
2020-04-08,FR,-59.6965839168258
2020-04-09,FR,-59.3336858804865
2020-04-10,FR,-58.593918481777
2020-04-11,FR,-58.7897191194014
2020-04-12,FR,-59.2917478882391
2020-04-13,FR,-60.0043615745284
2020-04-14,FR,-61.1209570225964
2020-04-15,FR,-60.5217391304348
2020-04-16,FR,-59.6653827636014
2020-04-17,FR,-59.4811612106238
2020-04-18,FR,-60.9256357719658
2020-04-19,FR,-62.3914574043652
2020-04-20,FR,-63.3598183881952
2020-04-21,FR,-62.796260056534
2020-04-22,FR,-62.6465661641541
2020-04-23,FR,-61.9277355779101
2020-04-24,FR,-60.9773371104816
2020-04-25,FR,-61.3623075423894
2020-04-26,FR,-59.0465654229106
2020-04-27,FR,-57.4832387828778
2020-04-28,FR,-56.4697162219399
2020-04-29,FR,-55.7546966098035
2020-04-30,FR,-56.7739204064352
2020-05-01,FR,-57.6907001044932
2020-05-02,FR,-55.2735476593345
2020-05-03,FR,-56.4122738001574
2020-05-04,FR,-56.2172625825552
2020-05-05,FR,-56.9079698561315
2020-05-06,FR,-57.3435358611238
2020-05-07,FR,-57.5786015954951
2020-05-08,FR,-56.879752851711
2020-05-09,FR,-56.3621437785857
2020-05-10,FR,-55.6935577481138
2020-05-11,FR,-55.5568143197009
2020-05-12,FR,-54.9630293524535
2020-05-13,FR,-53.0810448760884
2020-05-14,FR,-50.7641561297416
2020-05-15,FR,-48.7076017013851
2020-05-16,FR,-45.7645408438545
2020-05-17,FR,-44.4503395585738
2020-05-18,FR,-41.9719489219175
2020-05-19,FR,-39.4216917061124
2020-05-20,FR,-38.5922330097087
2020-05-21,FR,-37.6884920634921
2020-05-22,FR,-38.6141516810008
2020-05-23,FR,-40.6480403570043
2020-05-24,FR,-41.3786445259703
2020-05-25,FR,-43.0391967561305
2020-05-26,FR,-45.5796055796056
2020-05-27,FR,-46.8866571018651
2020-05-28,FR,-48.2861257801248
2020-05-29,FR,-47.4104736234116
2020-05-30,FR,-46.7215496368039
2020-05-31,FR,-43.4311287916459
2020-06-01,FR,-39.7618803243354
2020-06-02,FR,-35.6921763261821
2020-06-03,FR,-32.2943337415117
2020-06-04,FR,-27.4186046511628
2020-06-05,FR,-23.1377799415774
2020-06-06,FR,-18.5406091370558
2020-06-07,FR,-21.3826561552456
2020-06-08,FR,-25.5434782608696
2020-06-09,FR,-27.2275132275132
2020-06-10,FR,-28.6439665471923
2020-06-11,FR,-29.529946929492
2020-06-12,FR,-30.7110711071107
2020-06-13,FR,-31.4925628312532
2020-06-14,FR,-28.6136462407649
2020-06-15,FR,-24.1164241164241
2020-06-16,FR,-22.1678515372542
2020-06-17,FR,-20.0131603684903
2020-06-18,FR,-20.2632070188538
2020-06-19,FR,-21.3428149242704
2020-06-20,FR,-20.4850746268657
2020-06-21,FR,-20.6720504966119
2020-06-22,FR,-22.333000997009
2020-06-23,FR,-22.2924758377744
2020-06-24,FR,-22.2001445086705
2020-06-25,FR,-20.6236776745469
2020-06-26,FR,-18.3451536643026
2020-06-27,FR,-18.552380952381
2020-06-28,FR,-18.2147625405302
2020-06-29,FR,-17.3113933795227
2020-06-30,FR,-16.4416820433136
2020-07-01,FR,-15.4592686991472
2020-07-02,FR,-14.00318028225
2020-07-03,FR,-12.7066840364766
