date,country,index_to_feb01
2018-02-01,FR,100
2018-02-02,FR,100.24
2018-02-03,FR,100.43
2018-02-04,FR,100.62
2018-02-05,FR,100.81
2018-02-06,FR,100.93
2018-02-07,FR,101.21
2018-02-08,FR,101.51
2018-02-09,FR,101.78
2018-02-10,FR,102.05
2018-02-11,FR,102.31
2018-02-12,FR,102.62
2018-02-13,FR,102.92
2018-02-14,FR,103.14
2018-02-15,FR,103.22
2018-02-16,FR,103.3
2018-02-17,FR,103.35
2018-02-18,FR,103.36
2018-02-19,FR,103.27
2018-02-20,FR,103.32
2018-02-21,FR,103.35
2018-02-22,FR,103.37
2018-02-23,FR,103.39
2018-02-24,FR,103.47
2018-02-25,FR,103.56
2018-02-26,FR,103.7
2018-02-27,FR,103.76
2018-02-28,FR,103.82
2018-03-01,FR,103.78
2018-03-02,FR,103.68
2018-03-03,FR,103.53
2018-03-04,FR,103.42
2018-03-05,FR,103.3
2018-03-06,FR,103.09
2018-03-07,FR,102.94
2018-03-08,FR,102.96
2018-03-09,FR,102.85
2018-03-10,FR,102.92
2018-03-11,FR,102.99
2018-03-12,FR,103.01
2018-03-13,FR,103.08
2018-03-14,FR,103.24
2018-03-15,FR,103.39
2018-03-16,FR,103.77
2018-03-17,FR,103.9
2018-03-18,FR,104.08
2018-03-19,FR,104.32
2018-03-20,FR,104.55
2018-03-21,FR,104.68
2018-03-22,FR,104.74
2018-03-23,FR,104.79
2018-03-24,FR,105.02
2018-03-25,FR,105.16
2018-03-26,FR,105.32
2018-03-27,FR,105.38
2018-03-28,FR,105.55
2018-03-29,FR,105.84
2018-03-30,FR,106.02
2018-03-31,FR,106.03
2018-04-01,FR,106
2018-04-02,FR,106
2018-04-03,FR,105.69
2018-04-04,FR,105.28
2018-04-05,FR,104.88
2018-04-06,FR,104.71
2018-04-07,FR,104.59
2018-04-08,FR,104.56
2018-04-09,FR,104.49
2018-04-10,FR,104.9
2018-04-11,FR,105.44
2018-04-12,FR,105.95
2018-04-13,FR,106.3
2018-04-14,FR,106.67
2018-04-15,FR,106.94
2018-04-16,FR,107.21
2018-04-17,FR,107.45
2018-04-18,FR,107.6
2018-04-19,FR,107.66
2018-04-20,FR,107.87
2018-04-21,FR,108.12
2018-04-22,FR,108.4
2018-04-23,FR,108.69
2018-04-24,FR,108.91
2018-04-25,FR,109.08
2018-04-26,FR,109.41
2018-04-27,FR,109.58
2018-04-28,FR,109.7
2018-04-29,FR,109.84
2018-04-30,FR,109.85
2018-05-01,FR,109.85
2018-05-02,FR,109.58
2018-05-03,FR,109.33
2018-05-04,FR,109.18
2018-05-05,FR,108.97
2018-05-06,FR,108.73
2018-05-07,FR,108.71
2018-05-08,FR,108.67
2018-05-09,FR,108.69
2018-05-10,FR,108.58
2018-05-11,FR,108.25
2018-05-12,FR,107.86
2018-05-13,FR,107.5
2018-05-14,FR,107.04
2018-05-15,FR,106.68
2018-05-16,FR,106.52
2018-05-17,FR,106.48
2018-05-18,FR,106.68
2018-05-19,FR,106.94
2018-05-20,FR,107.22
2018-05-21,FR,107.55
2018-05-22,FR,107.65
2018-05-23,FR,107.72
2018-05-24,FR,107.85
2018-05-25,FR,107.93
2018-05-26,FR,108.02
2018-05-27,FR,108.16
2018-05-28,FR,108.29
2018-05-29,FR,108.68
2018-05-30,FR,109.2
2018-05-31,FR,109.69
2018-06-01,FR,110.22
2018-06-02,FR,110.77
2018-06-03,FR,111.25
2018-06-04,FR,111.68
2018-06-05,FR,112.05
2018-06-06,FR,112.37
2018-06-07,FR,112.68
2018-06-08,FR,112.93
2018-06-09,FR,113.38
2018-06-10,FR,113.94
2018-06-11,FR,114.58
2018-06-12,FR,115.24
2018-06-13,FR,115.92
2018-06-14,FR,116.47
2018-06-15,FR,117.09
2018-06-16,FR,117.55
2018-06-17,FR,117.87
2018-06-18,FR,118.12
2018-06-19,FR,118.35
2018-06-20,FR,118.72
2018-06-21,FR,119.15
2018-06-22,FR,119.48
2018-06-23,FR,119.93
2018-06-24,FR,120.34
2018-06-25,FR,120.73
2018-06-26,FR,120.99
2018-06-27,FR,121.47
2018-06-28,FR,122.16
2018-06-29,FR,122.84
2018-06-30,FR,123.12
2018-07-01,FR,123.35
2018-07-02,FR,123.6
2018-07-03,FR,123.61
2018-07-04,FR,123.31
2018-07-05,FR,122.74
2018-07-06,FR,122.01
2018-07-07,FR,121.54
2018-07-08,FR,121.13
2018-07-09,FR,120.74
2018-07-10,FR,120.81
2018-07-11,FR,120.82
2018-07-12,FR,120.7
2018-07-13,FR,120.42
2018-07-14,FR,120.41
2018-07-15,FR,120.36
2018-07-16,FR,120.37
2018-07-17,FR,120.18
2018-07-18,FR,119.88
2018-07-19,FR,119.63
2018-07-20,FR,119.75
2018-07-21,FR,119.63
2018-07-22,FR,119.55
2018-07-23,FR,119.33
2018-07-24,FR,119.09
2018-07-25,FR,118.99
2018-07-26,FR,118.93
2018-07-27,FR,118.85
2018-07-28,FR,118.65
2018-07-29,FR,118.46
