date,country,YoY_pct_change_in_postings_trend_from_feb1
2020-02-01,FR,0
2020-02-02,FR,-0.13959517399541
2020-02-03,FR,-0.149194350507265
2020-02-04,FR,-0.268362985786696
2020-02-05,FR,-0.0199064397332527
2020-02-06,FR,-0.109507217521154
2020-02-07,FR,-0.0697419547673661
2020-02-08,FR,-0.476143239757965
2020-02-09,FR,-0.751433656317979
2020-02-10,FR,-1.13311656320819
2020-02-11,FR,-1.4441497200118
2020-02-12,FR,-1.64722031571722
2020-02-13,FR,-1.76073559620463
2020-02-14,FR,-1.83611680828205
2020-02-15,FR,-2.11624731811976
2020-02-16,FR,-2.61081344374088
2020-02-17,FR,-2.81402142161636
2020-02-18,FR,-3.20668545330871
2020-02-19,FR,-3.51914687348522
2020-02-20,FR,-3.85358315626811
2020-02-21,FR,-4.18873375060183
2020-02-22,FR,-4.08222072807607
2020-02-23,FR,-3.5426267281106
2020-02-24,FR,-3.21466270031666
2020-02-25,FR,-2.81190019193859
2020-02-26,FR,-2.48655913978495
2020-02-27,FR,-2.13420496058451
2020-02-28,FR,-2.00556568467517
2020-03-01,FR,-1.88045668233715
2020-03-02,FR,-2.18181818181818
2020-03-03,FR,-2.35069278547541
2020-03-04,FR,-2.56752887276892
2020-03-05,FR,-2.86775914634145
2020-03-06,FR,-3.01674914350971
2020-03-07,FR,-3.24817171621237
2020-03-08,FR,-3.7159606656581
2020-03-09,FR,-4.10546139359699
2020-03-10,FR,-4.39385422522016
2020-03-11,FR,-4.56114168454436
2020-03-12,FR,-4.61767165288488
2020-03-13,FR,-5.21449704142012
2020-03-14,FR,-5.61652679147837
2020-03-15,FR,-6.18793674144906
2020-03-16,FR,-6.79736167094174
2020-03-17,FR,-7.8594249201278
2020-03-18,FR,-9.21315646011267
2020-03-19,FR,-11.0569105691057
2020-03-20,FR,-12.807837497753
2020-03-21,FR,-14.6725046912698
2020-03-22,FR,-16.4431020698232
2020-03-23,FR,-17.9623242239321
2020-03-24,FR,-19.5104771966896
2020-03-25,FR,-21.2001752080596
2020-03-26,FR,-22.77279456588
2020-03-27,FR,-23.8148984198646
2020-03-28,FR,-24.8528393351801
2020-03-29,FR,-25.9102674719586
2020-03-30,FR,-27.0765262252795
2020-03-31,FR,-28.1450990481091
2020-04-01,FR,-29.0046256638684
2020-04-02,FR,-29.7294976384714
2020-04-03,FR,-30.8008565310492
2020-04-04,FR,-31.4273430782459
2020-04-05,FR,-31.8583304468306
2020-04-06,FR,-32.4006276150628
2020-04-07,FR,-32.8392246294185
2020-04-08,FR,-33.6084284460053
2020-04-09,FR,-34.2392260334213
2020-04-10,FR,-34.733398178442
2020-04-11,FR,-35.7855691954429
2020-04-12,FR,-36.9312169312169
2020-04-13,FR,-37.7932615981655
2020-04-14,FR,-38.5783664459161
2020-04-15,FR,-38.7472234562417
2020-04-16,FR,-38.8631090487239
2020-04-17,FR,-38.9872964752192
2020-04-18,FR,-39.3324432576769
2020-04-19,FR,-39.671174754707
2020-04-20,FR,-40.2788739805315
2020-04-21,FR,-40.7629475147723
2020-04-22,FR,-41.5318416523236
2020-04-23,FR,-42.3076923076923
2020-04-24,FR,-42.8619756427605
2020-04-25,FR,-43.9434276206323
2020-04-26,FR,-44.3192177011685
2020-04-27,FR,-44.3514297554911
2020-04-28,FR,-44.3873746996935
2020-04-29,FR,-44.3984433220171
2020-04-30,FR,-44.4582196875775
2020-05-01,FR,-44.6309002231958
2020-05-02,FR,-43.8262772493898
2020-05-03,FR,-43.6817604739738
2020-05-04,FR,-43.8088771959603
2020-05-05,FR,-44.1186469488356
2020-05-06,FR,-44.2392784206943
2020-05-07,FR,-44.5277233625756
2020-05-08,FR,-44.7144799456152
2020-05-09,FR,-44.8694029850746
2020-05-10,FR,-44.9648513593631
2020-05-11,FR,-45.0831434118342
2020-05-12,FR,-45.0712538999916
2020-05-13,FR,-45.0729157885864
2020-05-14,FR,-45.1301427371956
2020-05-15,FR,-45.0423267119269
2020-05-16,FR,-44.5397947164732
2020-05-17,FR,-44.243906553091
2020-05-18,FR,-43.8054968287526
2020-05-19,FR,-43.2819383259912
2020-05-20,FR,-42.9310930074678
2020-05-21,FR,-42.3083475298126
2020-05-22,FR,-42.0773895959682
2020-05-23,FR,-42.3384353741497
2020-05-24,FR,-42.5355450236967
2020-05-25,FR,-42.8655809636318
2020-05-26,FR,-43.4120911460523
2020-05-27,FR,-43.6082042695689
2020-05-28,FR,-43.8162839248434
2020-05-29,FR,-43.8738138838022
2020-05-30,FR,-43.9360026527398
2020-05-31,FR,-43.9016311998013
2020-06-01,FR,-43.8384507158818
2020-06-02,FR,-43.5455825122133
2020-06-03,FR,-43.5935687054533
2020-06-04,FR,-43.536342515765
2020-06-05,FR,-43.3998337489609
2020-06-06,FR,-43.2844525912348
2020-06-07,FR,-43.384666335486
2020-06-08,FR,-43.5478574946643
2020-06-09,FR,-43.6518910126067
2020-06-10,FR,-43.7061527296186
2020-06-11,FR,-43.7694828550875
2020-06-12,FR,-43.8628444726006
