date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,GB,100,total postings,Accounting
2020-02-02,GB,100.02,total postings,Accounting
2020-02-03,GB,100.14,total postings,Accounting
2020-02-04,GB,100.23,total postings,Accounting
2020-02-05,GB,100.43,total postings,Accounting
2020-02-06,GB,100.39,total postings,Accounting
2020-02-07,GB,100.45,total postings,Accounting
2020-02-08,GB,100.48,total postings,Accounting
2020-02-09,GB,100.4,total postings,Accounting
2020-02-10,GB,100.25,total postings,Accounting
2020-02-11,GB,100.11,total postings,Accounting
2020-02-12,GB,99.92,total postings,Accounting
2020-02-13,GB,99.96,total postings,Accounting
2020-02-14,GB,100,total postings,Accounting
2020-02-15,GB,99.76,total postings,Accounting
2020-02-16,GB,99.59,total postings,Accounting
2020-02-17,GB,99.81,total postings,Accounting
2020-02-18,GB,100.26,total postings,Accounting
2020-02-19,GB,100.59,total postings,Accounting
2020-02-20,GB,100.94,total postings,Accounting
2020-02-21,GB,101.32,total postings,Accounting
2020-02-22,GB,101.98,total postings,Accounting
2020-02-23,GB,102.74,total postings,Accounting
2020-02-24,GB,103.17,total postings,Accounting
2020-02-25,GB,103.33,total postings,Accounting
2020-02-26,GB,103.43,total postings,Accounting
2020-02-27,GB,103.4,total postings,Accounting
2020-02-28,GB,103.22,total postings,Accounting
2020-02-29,GB,103.29,total postings,Accounting
2020-03-01,GB,103.16,total postings,Accounting
2020-03-02,GB,103.08,total postings,Accounting
2020-03-03,GB,103.26,total postings,Accounting
2020-03-04,GB,103.53,total postings,Accounting
2020-03-05,GB,103.88,total postings,Accounting
2020-03-06,GB,104.18,total postings,Accounting
2020-03-07,GB,104.35,total postings,Accounting
2020-03-08,GB,104.52,total postings,Accounting
2020-03-09,GB,104.59,total postings,Accounting
2020-03-10,GB,104.61,total postings,Accounting
2020-03-11,GB,104.87,total postings,Accounting
2020-03-12,GB,104.88,total postings,Accounting
2020-03-13,GB,104.86,total postings,Accounting
2020-03-14,GB,104.82,total postings,Accounting
2020-03-15,GB,104.6,total postings,Accounting
2020-03-16,GB,104.5,total postings,Accounting
2020-03-17,GB,103.92,total postings,Accounting
2020-03-18,GB,103.01,total postings,Accounting
2020-03-19,GB,101.82,total postings,Accounting
2020-03-20,GB,100.28,total postings,Accounting
2020-03-21,GB,98.34,total postings,Accounting
2020-03-22,GB,96.64,total postings,Accounting
2020-03-23,GB,94.84,total postings,Accounting
2020-03-24,GB,93.14,total postings,Accounting
2020-03-25,GB,91.42,total postings,Accounting
