date,country,index_to_feb01
2018-02-01,GB,100
2018-02-02,GB,99.92
2018-02-03,GB,99.75
2018-02-04,GB,99.57
2018-02-05,GB,99.33
2018-02-06,GB,99.11
2018-02-07,GB,98.95
2018-02-08,GB,99.02
2018-02-09,GB,99.19
2018-02-10,GB,99.34
2018-02-11,GB,99.55
2018-02-12,GB,99.76
2018-02-13,GB,99.94
2018-02-14,GB,100.09
2018-02-15,GB,100.12
2018-02-16,GB,100.15
2018-02-17,GB,100.08
2018-03-01,GB,99.27
2018-03-02,GB,99.07
2018-03-03,GB,98.8
2018-03-04,GB,98.48
2018-03-05,GB,98.18
2018-03-06,GB,97.89
2018-03-07,GB,97.61
2018-03-08,GB,97.51
2018-03-09,GB,97.45
2018-03-10,GB,97.47
2018-03-11,GB,97.52
2018-03-12,GB,97.52
2018-03-13,GB,97.53
2018-03-14,GB,97.64
2018-03-15,GB,97.74
2018-03-16,GB,97.89
2018-03-17,GB,97.88
2018-04-01,GB,99.34
2018-04-02,GB,99.22
2018-04-03,GB,98.83
2018-04-04,GB,98.39
2018-04-05,GB,97.93
2018-04-06,GB,97.48
2018-04-07,GB,97.16
2018-04-08,GB,96.92
2018-04-09,GB,96.7
2018-04-10,GB,96.76
2018-04-11,GB,96.77
2018-04-12,GB,96.85
2018-04-13,GB,96.72
2018-04-14,GB,96.73
2018-04-15,GB,96.76
2018-04-16,GB,96.79
2018-04-17,GB,96.86
2018-05-01,GB,99.1
2018-05-02,GB,99.12
2018-05-03,GB,99.17
2018-05-04,GB,99.28
2018-05-05,GB,99.36
2018-05-06,GB,99.38
2018-05-07,GB,99.41
2018-05-08,GB,99.17
2018-05-09,GB,98.99
2018-05-10,GB,98.91
2018-05-11,GB,98.99
2018-05-12,GB,99.05
2018-05-13,GB,99.19
2018-05-14,GB,99.35
2018-05-15,GB,99.71
2018-05-16,GB,99.94
2018-05-17,GB,100.03
2018-06-01,GB,99.89
2018-06-02,GB,99.36
2018-06-03,GB,98.85
2018-06-04,GB,98.41
2018-06-05,GB,98.33
2018-06-06,GB,98.3
2018-06-07,GB,98.35
2018-06-08,GB,98.6
2018-06-09,GB,98.86
2018-06-10,GB,99.12
2018-06-11,GB,99.39
2018-06-12,GB,99.65
2018-06-13,GB,99.95
2018-06-14,GB,100.15
2018-06-15,GB,100.34
2018-06-16,GB,100.54
2018-06-17,GB,100.73
2018-07-01,GB,103.68
2018-07-02,GB,104.08
2018-07-03,GB,104.4
2018-07-04,GB,104.36
2018-07-05,GB,104.01
2018-07-06,GB,103.7
2018-07-07,GB,103.5
2018-07-08,GB,103.4
2018-07-09,GB,103.38
2018-07-10,GB,103.35
2018-07-11,GB,103.43
2018-07-12,GB,103.38
2018-07-13,GB,103.37
2018-07-14,GB,103.39
2018-07-15,GB,103.34
2018-07-16,GB,103.31
2018-07-17,GB,103.36
2019-02-01,GB,100
2019-02-02,GB,100.15
2019-02-03,GB,100.18
2019-02-04,GB,100.15
2019-02-05,GB,99.81
2019-02-06,GB,99.69
2019-02-07,GB,99.56
2019-02-08,GB,99.66
2019-02-09,GB,99.64
2019-02-10,GB,99.66
2019-02-11,GB,99.66
2019-02-12,GB,99.72
2019-02-13,GB,99.79
2019-02-14,GB,99.91
2019-02-15,GB,100.01
2019-02-16,GB,100.14
2019-02-17,GB,100.27
2019-03-01,GB,101.35
2019-03-02,GB,101.38
2019-03-03,GB,101.44
2019-03-04,GB,101.51
2019-03-05,GB,101.52
2019-03-06,GB,100.91
2019-03-07,GB,100.92
2019-03-08,GB,101.17
2019-03-09,GB,101.44
2019-03-10,GB,101.64
2019-03-11,GB,101.9
2019-03-12,GB,102.12
2019-03-13,GB,102.86
2019-03-14,GB,102.95
2019-03-15,GB,103.14
2019-03-16,GB,103.27
2019-03-17,GB,103.47
2019-04-01,GB,104.65
2019-04-02,GB,104.48
2019-04-03,GB,104.46
2019-04-04,GB,104.45
2019-04-05,GB,104.37
2019-04-06,GB,104.38
2019-04-07,GB,104.38
2019-04-08,GB,104.73
2019-04-09,GB,105.03
2019-04-10,GB,105.19
2019-04-11,GB,105.3
2019-04-12,GB,105.41
2019-04-13,GB,105.42
2019-04-14,GB,105.43
2019-04-15,GB,105.19
2019-04-16,GB,104.97
2019-04-17,GB,104.72
2019-05-01,GB,104.94
2019-05-02,GB,104.65
2019-05-03,GB,104.38
2019-05-04,GB,104.43
2019-05-05,GB,104.51
2019-05-06,GB,104.66
2019-05-07,GB,104.59
2019-05-08,GB,104.67
2019-05-09,GB,104.81
2019-05-10,GB,104.87
2019-05-11,GB,105.06
2019-05-12,GB,105.2
2019-05-13,GB,105.24
2019-05-14,GB,105.62
2019-05-15,GB,105.92
2019-05-16,GB,106.09
2019-05-17,GB,106.26
2019-06-01,GB,109.4
2019-06-02,GB,109.06
2019-06-03,GB,108.66
2019-06-04,GB,108.67
2019-06-05,GB,108.61
2019-06-06,GB,108.57
2019-06-07,GB,108.66
2019-06-08,GB,108.95
2019-06-09,GB,109.28
2019-06-10,GB,109.59
2019-06-11,GB,109.89
2019-06-12,GB,110.27
2019-06-13,GB,110.58
2019-06-14,GB,110.73
2019-06-15,GB,110.66
2019-06-16,GB,110.81
2019-06-17,GB,110.98
2019-07-01,GB,109.47
2019-07-02,GB,109.31
2019-07-03,GB,109.11
2019-07-04,GB,108.74
2019-07-05,GB,108.46
2019-07-06,GB,108.19
2019-07-07,GB,108.02
2019-07-08,GB,107.94
2019-07-09,GB,107.82
2019-07-10,GB,107.79
2019-07-11,GB,107.79
2019-07-12,GB,107.85
2019-07-13,GB,107.86
2019-07-14,GB,107.92
2019-07-15,GB,108.02
2019-07-16,GB,108.13
2019-07-17,GB,108.1
2020-02-01,GB,100
2020-02-02,GB,100.06
2020-02-03,GB,100.18
2020-02-04,GB,100.09
2020-02-05,GB,100.03
2020-02-06,GB,99.9
2020-02-07,GB,99.84
2020-02-08,GB,99.9
2020-02-09,GB,99.92
2020-02-10,GB,99.88
2020-02-11,GB,99.82
2020-02-12,GB,99.82
2020-02-13,GB,99.88
2020-02-14,GB,99.98
2020-02-15,GB,99.69
2020-02-16,GB,99.44
2020-02-17,GB,99.36
2020-03-01,GB,99.75
2020-03-02,GB,99.54
2020-03-03,GB,99.42
2020-03-04,GB,99.27
2020-03-05,GB,99.11
2020-03-06,GB,98.93
2020-03-07,GB,98.86
2020-03-08,GB,98.84
2020-03-09,GB,98.81
2020-03-10,GB,98.82
2020-03-11,GB,98.88
2020-03-12,GB,98.94
2020-03-13,GB,98.93
2020-03-14,GB,98.8
2020-03-15,GB,98.58
2020-03-16,GB,98.29
2020-03-17,GB,97.6
2020-04-01,GB,69.36
2020-04-02,GB,67.8
2020-04-03,GB,66.43
2020-04-04,GB,65.26
2020-04-05,GB,64.07
2020-04-06,GB,62.86
2020-04-07,GB,61.71
2020-04-08,GB,60.88
2020-04-09,GB,60
2020-04-10,GB,59.17
2020-04-11,GB,58.33
2020-04-12,GB,57.46
2020-04-13,GB,56.69
2020-04-14,GB,55.88
2020-04-15,GB,55.14
2020-04-16,GB,54.45
2020-04-17,GB,53.74
2020-05-01,GB,47.95
2020-05-02,GB,47.61
2020-05-03,GB,47.38
2020-05-04,GB,47.15
2020-05-05,GB,46.69
2020-05-06,GB,46.35
2020-05-07,GB,46.07
2020-05-08,GB,45.96
2020-05-09,GB,45.91
2020-05-10,GB,45.73
2020-05-11,GB,45.58
2020-05-12,GB,45.63
2020-05-13,GB,45.61
2020-05-14,GB,45.51
2020-05-15,GB,45.13
2020-05-16,GB,44.83
2020-05-17,GB,44.56
2020-06-01,GB,42.61
2020-06-02,GB,42.49
2020-06-03,GB,42.34
