date,region,indeed_job_postings_index
2020-02-01,East Midlands,100
2020-02-02,East Midlands,99.71
2020-02-03,East Midlands,99.52
2020-02-04,East Midlands,99.34
2020-02-05,East Midlands,99.27
2020-02-06,East Midlands,99.18
2020-02-07,East Midlands,99.19
2020-02-08,East Midlands,99.25
2020-02-09,East Midlands,99.23
2020-02-10,East Midlands,99.14
2020-02-11,East Midlands,99.15
2020-02-12,East Midlands,99.16
2020-02-13,East Midlands,99.37
2020-02-14,East Midlands,99.43
2020-02-15,East Midlands,99.36
2020-02-16,East Midlands,99.32
2020-02-17,East Midlands,99.23
2020-02-18,East Midlands,99.24
2020-02-19,East Midlands,99.19
2020-02-20,East Midlands,99.06
2020-02-21,East Midlands,99.04
2020-02-22,East Midlands,99.05
2020-02-23,East Midlands,99.13
2020-02-24,East Midlands,99.13
2020-02-25,East Midlands,98.85
2020-02-26,East Midlands,98.69
2020-02-27,East Midlands,98.45
2020-02-28,East Midlands,98.08
2020-02-29,East Midlands,97.62
2020-03-01,East Midlands,96.99
2020-03-02,East Midlands,96.45
2020-03-03,East Midlands,96.17
2020-03-04,East Midlands,95.71
2020-03-05,East Midlands,95.35
2020-03-06,East Midlands,95.14
2020-03-07,East Midlands,95.15
2020-03-08,East Midlands,95.32
2020-03-09,East Midlands,95.56
2020-03-10,East Midlands,95.75
2020-03-11,East Midlands,95.98
2020-03-12,East Midlands,96.08
2020-03-13,East Midlands,96.12
2020-03-14,East Midlands,95.93
2020-03-15,East Midlands,95.77
2020-03-16,East Midlands,95.49
2020-03-17,East Midlands,94.69
2020-03-18,East Midlands,93.39
2020-03-19,East Midlands,91.54
2020-03-20,East Midlands,89.35
2020-03-21,East Midlands,86.75
2020-03-22,East Midlands,83.95
2020-03-23,East Midlands,81.08
2020-03-24,East Midlands,78.14
2020-03-25,East Midlands,75.28
2020-03-26,East Midlands,72.51
2020-03-27,East Midlands,69.68
2020-03-28,East Midlands,67.19
2020-03-29,East Midlands,64.8
2020-03-30,East Midlands,62.55
2020-03-31,East Midlands,60.57
2020-04-01,East Midlands,58.52
2020-04-02,East Midlands,56.8
2020-04-03,East Midlands,55.3
2020-04-04,East Midlands,53.91
2020-04-05,East Midlands,52.48
2020-04-06,East Midlands,51.07
2020-04-07,East Midlands,49.73
2020-04-08,East Midlands,48.73
2020-04-09,East Midlands,47.69
2020-04-10,East Midlands,46.76
2020-04-11,East Midlands,45.87
2020-04-12,East Midlands,45.02
2020-04-13,East Midlands,44.29
2020-04-14,East Midlands,43.44
2020-04-15,East Midlands,42.67
2020-04-16,East Midlands,42.01
2020-04-17,East Midlands,41.39
2020-04-18,East Midlands,40.85
2020-04-19,East Midlands,40.33
2020-04-20,East Midlands,39.8
2020-04-21,East Midlands,39.41
2020-04-22,East Midlands,38.98
2020-04-23,East Midlands,38.93
2020-04-24,East Midlands,38.94
2020-04-25,East Midlands,39.04
2020-04-26,East Midlands,39.18
2020-04-27,East Midlands,39.4
2020-04-28,East Midlands,39.66
2020-04-29,East Midlands,40.01
2020-04-30,East Midlands,40.04
2020-05-01,East Midlands,39.88
2020-05-02,East Midlands,39.71
2020-05-03,East Midlands,39.5
2020-05-04,East Midlands,39.35
2020-05-05,East Midlands,39.18
2020-05-06,East Midlands,38.96
2020-05-07,East Midlands,38.76
2020-05-08,East Midlands,38.73
2020-05-09,East Midlands,38.59
2020-05-10,East Midlands,38.53
2020-05-11,East Midlands,38.37
2020-05-12,East Midlands,38.3
2020-05-13,East Midlands,38.24
2020-05-14,East Midlands,38.13
2020-05-15,East Midlands,38.1
2020-05-16,East Midlands,38.14
2020-05-17,East Midlands,38.16
2020-05-18,East Midlands,38.12
2020-05-19,East Midlands,38.11
2020-05-20,East Midlands,38.19
2020-05-21,East Midlands,38.42
2020-05-22,East Midlands,38.19
2020-05-23,East Midlands,37.99
2020-05-24,East Midlands,37.76
2020-05-25,East Midlands,37.55
2020-05-26,East Midlands,37.22
2020-05-27,East Midlands,36.75
2020-05-28,East Midlands,36.14
2020-05-29,East Midlands,35.98
2020-05-30,East Midlands,35.85
2020-05-31,East Midlands,35.75
2020-06-01,East Midlands,35.65
2020-06-02,East Midlands,35.64
2020-06-03,East Midlands,35.74
2020-06-04,East Midlands,35.93
2020-06-05,East Midlands,36.19
2020-06-06,East Midlands,36.44
2020-06-07,East Midlands,36.7
2020-06-08,East Midlands,37.06
2020-06-09,East Midlands,37.46
2020-06-10,East Midlands,37.89
2020-06-11,East Midlands,38.27
2020-06-12,East Midlands,38.56
2020-06-13,East Midlands,38.77
2020-06-14,East Midlands,39.04
2020-06-15,East Midlands,39.29
2020-06-16,East Midlands,39.52
2020-06-17,East Midlands,39.67
2020-06-18,East Midlands,39.83
2020-06-19,East Midlands,39.94
2020-06-20,East Midlands,40.16
2020-06-21,East Midlands,40.32
2020-06-22,East Midlands,40.45
2020-06-23,East Midlands,40.56
2020-06-24,East Midlands,40.68
2020-06-25,East Midlands,40.88
2020-06-26,East Midlands,41.09
2020-06-27,East Midlands,41.29
2020-06-28,East Midlands,41.5
2020-06-29,East Midlands,41.66
2020-06-30,East Midlands,41.84
2020-07-01,East Midlands,41.91
2020-07-02,East Midlands,41.94
2020-07-03,East Midlands,42.12
2020-07-04,East Midlands,42.34
2020-07-05,East Midlands,42.57
2020-07-06,East Midlands,42.76
2020-07-07,East Midlands,43
2020-07-08,East Midlands,43.4
2020-07-09,East Midlands,43.83
2020-07-10,East Midlands,44.22
2020-07-11,East Midlands,44.36
2020-07-12,East Midlands,44.55
2020-07-13,East Midlands,44.79
2020-07-14,East Midlands,45.03
2020-07-15,East Midlands,45.35
2020-07-16,East Midlands,45.57
2020-07-17,East Midlands,45.76
2020-07-18,East Midlands,46.12
2020-07-19,East Midlands,46.45
2020-07-20,East Midlands,46.84
2020-07-21,East Midlands,47.18
2020-07-22,East Midlands,47.46
2020-07-23,East Midlands,47.84
2020-07-24,East Midlands,48.35
2020-07-25,East Midlands,48.88
2020-07-26,East Midlands,49.35
2020-07-27,East Midlands,49.73
2020-07-28,East Midlands,50.11
2020-07-29,East Midlands,50.51
2020-07-30,East Midlands,50.84
2020-07-31,East Midlands,51.05
2020-08-01,East Midlands,51.12
2020-08-02,East Midlands,51.15
2020-08-03,East Midlands,51.18
2020-08-04,East Midlands,51.28
2020-08-05,East Midlands,51.44
2020-08-06,East Midlands,51.7
2020-08-07,East Midlands,51.96
2020-08-08,East Midlands,52.38
2020-08-09,East Midlands,52.85
2020-08-10,East Midlands,53.39
2020-08-11,East Midlands,53.92
2020-08-12,East Midlands,54.4
2020-08-13,East Midlands,54.81
2020-08-14,East Midlands,55.26
2020-08-15,East Midlands,55.68
2020-08-16,East Midlands,56.16
2020-08-17,East Midlands,56.63
2020-08-18,East Midlands,57.05
2020-08-19,East Midlands,57.46
2020-08-20,East Midlands,57.93
2020-08-21,East Midlands,58.32
2020-08-22,East Midlands,58.72
2020-08-23,East Midlands,59.1
2020-08-24,East Midlands,59.41
2020-08-25,East Midlands,59.71
2020-08-26,East Midlands,60.08
2020-08-27,East Midlands,60.45
2020-08-28,East Midlands,60.95
2020-08-29,East Midlands,61.35
2020-08-30,East Midlands,61.79
2020-08-31,East Midlands,62.25
2020-09-01,East Midlands,62.46
2020-09-02,East Midlands,62.55
2020-09-03,East Midlands,62.71
2020-09-04,East Midlands,62.86
2020-09-05,East Midlands,63.05
2020-09-06,East Midlands,63.15
2020-09-07,East Midlands,63.19
2020-09-08,East Midlands,63.57
2020-09-09,East Midlands,64.07
2020-09-10,East Midlands,64.54
2020-09-11,East Midlands,64.93
2020-09-12,East Midlands,65.21
2020-09-13,East Midlands,65.47
2020-09-14,East Midlands,65.75
2020-09-15,East Midlands,66.05
2020-09-16,East Midlands,66.3
2020-09-17,East Midlands,66.5
2020-09-18,East Midlands,66.65
2020-09-19,East Midlands,66.9
2020-09-20,East Midlands,67.14
2020-09-21,East Midlands,67.33
2020-09-22,East Midlands,67.42
2020-09-23,East Midlands,67.48
2020-09-24,East Midlands,67.44
2020-09-25,East Midlands,67.28
2020-09-26,East Midlands,67.24
2020-09-27,East Midlands,67.24
2020-09-28,East Midlands,67.35
2020-09-29,East Midlands,67.58
2020-09-30,East Midlands,67.73
2020-10-01,East Midlands,67.9
2020-10-02,East Midlands,68.25
2020-10-03,East Midlands,68.61
2020-10-04,East Midlands,68.92
2020-10-05,East Midlands,69.17
2020-10-06,East Midlands,69.36
2020-10-07,East Midlands,69.62
2020-10-08,East Midlands,69.93
2020-10-09,East Midlands,70.26
2020-10-10,East Midlands,70.45
2020-10-11,East Midlands,70.71
2020-10-12,East Midlands,70.94
2020-10-13,East Midlands,71.2
2020-10-14,East Midlands,71.44
2020-10-15,East Midlands,71.67
2020-10-16,East Midlands,71.66
2020-10-17,East Midlands,71.81
2020-10-18,East Midlands,71.92
2020-10-19,East Midlands,71.97
2020-10-20,East Midlands,72.08
2020-10-21,East Midlands,72.12
2020-10-22,East Midlands,72.06
2020-10-23,East Midlands,72.09
2020-10-24,East Midlands,72.02
2020-10-25,East Midlands,71.99
2020-10-26,East Midlands,71.91
2020-10-27,East Midlands,71.84
2020-10-28,East Midlands,71.73
2020-10-29,East Midlands,71.86
2020-10-30,East Midlands,72.06
2020-10-31,East Midlands,72.04
2020-11-01,East Midlands,71.89
2020-11-02,East Midlands,71.62
2020-11-03,East Midlands,71.26
2020-11-04,East Midlands,70.95
2020-11-05,East Midlands,70.5
2020-11-06,East Midlands,70.08
2020-11-07,East Midlands,69.89
2020-11-08,East Midlands,69.8
2020-11-09,East Midlands,69.8
2020-11-10,East Midlands,69.87
2020-11-11,East Midlands,69.98
2020-11-12,East Midlands,70.16
2020-11-13,East Midlands,70.36
2020-11-14,East Midlands,70.44
2020-11-15,East Midlands,70.79
2020-11-16,East Midlands,71.18
2020-11-17,East Midlands,71.63
2020-11-18,East Midlands,72.11
2020-11-19,East Midlands,72.62
2020-11-20,East Midlands,73.11
2020-11-21,East Midlands,73.62
2020-11-22,East Midlands,73.92
2020-11-23,East Midlands,74.27
2020-11-24,East Midlands,74.53
2020-11-25,East Midlands,74.8
2020-11-26,East Midlands,75.11
2020-11-27,East Midlands,75.32
2020-11-28,East Midlands,75.76
2020-11-29,East Midlands,76.11
2020-11-30,East Midlands,76.38
2020-12-01,East Midlands,76.38
2020-12-02,East Midlands,76.53
2020-12-03,East Midlands,76.57
2020-12-04,East Midlands,76.8
2020-12-05,East Midlands,76.78
2020-12-06,East Midlands,76.98
2020-12-07,East Midlands,77.28
2020-12-08,East Midlands,77.79
2020-12-09,East Midlands,78.18
2020-12-10,East Midlands,78.6
2020-12-11,East Midlands,78.81
2020-12-12,East Midlands,79.21
2020-12-13,East Midlands,79.5
2020-12-14,East Midlands,79.76
2020-12-15,East Midlands,80.1
2020-12-16,East Midlands,80.35
2020-12-17,East Midlands,80.57
2020-12-18,East Midlands,80.88
2020-12-19,East Midlands,80.99
2020-12-20,East Midlands,81.06
2020-12-21,East Midlands,81.18
2020-12-22,East Midlands,81.24
2020-12-23,East Midlands,81.38
2020-12-24,East Midlands,81.58
2020-12-25,East Midlands,81.81
2020-12-26,East Midlands,82.04
2020-12-27,East Midlands,82.33
2020-12-28,East Midlands,82.73
2020-12-29,East Midlands,82.98
2020-12-30,East Midlands,83.01
2020-12-31,East Midlands,82.72
2021-01-01,East Midlands,82.01
2021-01-02,East Midlands,81.02
2021-01-03,East Midlands,79.72
2021-01-04,East Midlands,77.92
2021-01-05,East Midlands,76.32
2021-01-06,East Midlands,75.02
2021-01-07,East Midlands,73.96
2021-01-08,East Midlands,73.21
2021-01-09,East Midlands,72.78
2021-01-10,East Midlands,72.51
2021-01-11,East Midlands,72.44
2021-01-12,East Midlands,72.31
2021-01-13,East Midlands,71.88
2021-01-14,East Midlands,71.49
2021-01-15,East Midlands,71.02
2021-01-16,East Midlands,70.8
2021-01-17,East Midlands,70.58
2021-01-18,East Midlands,70.44
2021-01-19,East Midlands,70.41
2021-01-20,East Midlands,70.49
2021-01-21,East Midlands,70.45
2021-01-22,East Midlands,70.6
2021-01-23,East Midlands,70.51
2021-01-24,East Midlands,70.54
2021-01-25,East Midlands,70.59
2021-01-26,East Midlands,70.61
2021-01-27,East Midlands,70.61
2021-01-28,East Midlands,70.54
2021-01-29,East Midlands,70.65
2021-01-30,East Midlands,70.79
2021-01-31,East Midlands,70.84
2021-02-01,East Midlands,70.8
2021-02-02,East Midlands,70.87
2021-02-03,East Midlands,70.94
2021-02-04,East Midlands,71.17
2021-02-05,East Midlands,71.31
2021-02-06,East Midlands,71.37
2021-02-07,East Midlands,71.52
2021-02-08,East Midlands,71.75
2021-02-09,East Midlands,71.89
2021-02-10,East Midlands,72.14
2021-02-11,East Midlands,72.33
2021-02-12,East Midlands,72.48
2021-02-13,East Midlands,72.64
2021-02-14,East Midlands,72.67
2021-02-15,East Midlands,72.71
2021-02-16,East Midlands,72.97
2021-02-17,East Midlands,72.9
2021-02-18,East Midlands,72.92
2021-02-19,East Midlands,72.96
2021-02-20,East Midlands,73.03
