date,country,index_to_feb01
2018-02-01,IE,100
2018-02-02,IE,100
2018-02-03,IE,99.72
2018-02-04,IE,100
2018-02-05,IE,100.09
2018-02-06,IE,100.07
2018-02-07,IE,99.85
2018-02-08,IE,99.83
2018-02-09,IE,99.9
2018-02-10,IE,99.98
2018-02-11,IE,99.95
2018-02-12,IE,99.46
2018-02-13,IE,99.53
2018-02-14,IE,99.42
2018-02-15,IE,99.35
2018-02-16,IE,99.23
2018-02-17,IE,99.22
2018-02-18,IE,98.82
2018-02-19,IE,99.04
2018-02-20,IE,98.8
2018-02-21,IE,98.72
2018-02-22,IE,98.9
2018-02-23,IE,99.1
2018-02-24,IE,99.16
2018-02-25,IE,99.57
2018-02-26,IE,99.85
2018-02-27,IE,100.17
2018-02-28,IE,100.53
2018-03-01,IE,100.49
2018-03-02,IE,100.41
2018-03-03,IE,100.33
2018-03-04,IE,100
2018-03-05,IE,99.59
2018-03-06,IE,99.16
2018-03-07,IE,98.82
2018-03-08,IE,98.48
2018-03-09,IE,98.23
2018-03-10,IE,98.15
2018-03-11,IE,98.12
2018-03-12,IE,98.17
2018-03-13,IE,98.22
2018-03-14,IE,98.27
2018-03-15,IE,98.36
2018-03-16,IE,98.35
2018-03-17,IE,98.35
2018-03-18,IE,98.33
2018-03-19,IE,98.29
2018-03-20,IE,98.08
2018-03-21,IE,97.91
2018-03-22,IE,97.75
2018-03-23,IE,97.81
2018-03-24,IE,97.53
2018-03-25,IE,97.27
2018-03-26,IE,97.01
2018-03-27,IE,96.77
2018-03-28,IE,96.97
2018-03-29,IE,97.34
2018-03-30,IE,97.64
2018-03-31,IE,98.07
2018-04-01,IE,98.42
2018-04-02,IE,98.85
2018-04-03,IE,99.21
2018-04-04,IE,98.84
2018-04-05,IE,98.51
2018-04-06,IE,98.36
2018-04-07,IE,98.23
2018-04-08,IE,98.03
2018-04-09,IE,97.87
2018-04-10,IE,97.96
2018-04-11,IE,98.41
2018-04-12,IE,98.7
2018-04-13,IE,98.54
2018-04-14,IE,98.57
2018-04-15,IE,99
2018-04-16,IE,98.94
2018-04-17,IE,99.41
2018-04-18,IE,99.59
2018-04-19,IE,99.88
2018-04-20,IE,100.58
2018-04-21,IE,101.34
2018-04-22,IE,101.84
2018-04-23,IE,102.74
2018-04-24,IE,103.05
2018-04-25,IE,103.85
2018-04-26,IE,104.44
