date,country,category,YoY_pct_change_in_postings_trend_from_feb1
2020-02-01,IE,Human Resources,0
2020-02-01,IE,Architecture,0
2020-02-01,IE,Arts & Entertainment,0
2020-02-01,IE,Personal Care & Home Health,0
2020-02-01,IE,Food Preparation & Service,0
2020-02-01,IE,Mathematics,0
2020-02-01,IE,Administrative Assistance,0
2020-02-01,IE,Industrial Engineering,0
2020-02-01,IE,Legal,0
2020-02-01,IE,Physicians & Surgeons,0
2020-02-01,IE,Media & Communications,0
2020-02-01,IE,Sales,0
2020-02-01,IE,Driving,0
2020-02-01,IE,Mining,0
2020-02-01,IE,Retail,0
2020-02-01,IE,Sports,0
2020-02-01,IE,Chemical Engineering,0
2020-02-01,IE,Mechanical Engineering,0
2020-02-01,IE,Banking & Finance,0
2020-02-01,IE,Installation & Maintenance,0
2020-02-01,IE,Medical Information,0
2020-02-01,IE,Medical Technician,0
2020-02-01,IE,Project Management,0
2020-02-01,IE,Scientific Research & Development,0
2020-02-01,IE,Community & Social Service,0
2020-02-01,IE,Therapy,0
2020-02-01,IE,Aviation,0
2020-02-01,IE,Customer Service,0
2020-02-01,IE,Civil Engineering,0
2020-02-01,IE,Nursing,0
2020-02-01,IE,Military,0
2020-02-01,IE,Beauty & Wellness,0
2020-02-01,IE,Pharmacy,0
2020-02-01,IE,IT Operations & Helpdesk,0
2020-02-01,IE,Information Design & Documentation,0
2020-02-01,IE,Childcare,0
2020-02-01,IE,Education & Instruction,0
2020-02-01,IE,Insurance,0
2020-02-01,IE,Marketing,0
2020-02-01,IE,Dental,0
2020-02-01,IE,Logistic Support,0
2020-02-01,IE,Loading & Stocking,0
2020-02-01,IE,Accounting,0
2020-02-01,IE,Management,0
2020-02-01,IE,Security & Public Safety,0
2020-02-01,IE,Real Estate,0
2020-02-01,IE,Cleaning & Sanitation,0
2020-02-01,IE,Veterinary,0
2020-02-01,IE,Agriculture & Forestry,0
2020-02-01,IE,Electrical Engineering,0
2020-02-01,IE,Hospitality & Tourism,0
2020-02-01,IE,Construction,0
2020-02-01,IE,Software Development,0
2020-02-01,IE,Production & Manufacturing,0
2020-02-01,IE,Social Science,0
2020-02-01,IE,Uncategorized,0
2020-02-02,IE,Human Resources,-0.258654994031027
2020-02-02,IE,Architecture,0.459862041387571
2020-02-02,IE,Arts & Entertainment,-0.455942115174934
2020-02-02,IE,Personal Care & Home Health,-0.479137552405673
2020-02-02,IE,Food Preparation & Service,0.369187786868896
2020-02-02,IE,Mathematics,-0.0402576489533124
