date,jobcountry,indeed_job_postings_index_SA,indeed_job_postings_index_NSA,variable
2020-02-01,IT,100,100,total postings
2020-02-02,IT,99.85,100.08,total postings
2020-02-03,IT,99.8,100.21,total postings
2020-02-04,IT,99.88,100.41,total postings
2020-02-05,IT,100.02,100.66,total postings
2020-02-06,IT,100.19,100.99,total postings
2020-02-07,IT,100.34,101.35,total postings
2020-02-08,IT,100.37,101.73,total postings
2020-02-09,IT,100.36,102.07,total postings
2020-02-10,IT,100.4,102.32,total postings
2020-02-11,IT,100.23,102.37,total postings
2020-02-12,IT,100.02,102.41,total postings
2020-02-13,IT,99.85,102.44,total postings
2020-02-14,IT,99.59,102.36,total postings
2020-02-15,IT,99.37,102.29,total postings
2020-02-16,IT,99.18,102.18,total postings
2020-02-17,IT,98.92,102.02,total postings
2020-02-18,IT,98.79,101.99,total postings
2020-02-19,IT,98.59,101.9,total postings
2020-02-20,IT,98.4,101.82,total postings
2020-02-21,IT,98.26,101.8,total postings
2020-02-22,IT,98.04,101.75,total postings
2020-02-23,IT,97.93,101.78,total postings
2020-02-24,IT,97.81,101.87,total postings
2020-02-25,IT,97.6,101.91,total postings
2020-02-26,IT,97.41,101.92,total postings
2020-02-27,IT,97.21,101.85,total postings
2020-02-28,IT,96.99,101.77,total postings
2020-02-29,IT,96.94,101.72,total postings
2020-03-01,IT,96.83,101.57,total postings
2020-03-02,IT,96.74,101.45,total postings
2020-03-03,IT,96.69,101.36,total postings
2020-03-04,IT,96.62,101.21,total postings
2020-03-05,IT,96.52,101.06,total postings
2020-03-06,IT,96.4,100.88,total postings
2020-03-07,IT,96.04,100.66,total postings
2020-03-08,IT,95.63,100.48,total postings
2020-03-09,IT,95.2,100.2,total postings
2020-03-10,IT,94.79,99.89,total postings
2020-03-11,IT,94.38,99.5,total postings
2020-03-12,IT,93.86,99.02,total postings
2020-03-13,IT,93.27,98.44,total postings
2020-03-14,IT,92.86,97.9,total postings
2020-03-15,IT,92.38,97.33,total postings
2020-03-16,IT,91.96,96.8,total postings
2020-03-17,IT,91.44,96.15,total postings
2020-03-18,IT,90.88,95.42,total postings
2020-03-19,IT,90.29,94.7,total postings
2020-03-20,IT,89.65,93.95,total postings
2020-03-21,IT,88.77,93,total postings
2020-03-22,IT,87.84,91.91,total postings
2020-03-23,IT,86.59,90.71,total postings
2020-03-24,IT,85.53,89.71,total postings
2020-03-25,IT,84.49,88.8,total postings
2020-03-26,IT,83.34,87.83,total postings
2020-03-27,IT,82.25,86.88,total postings
2020-03-28,IT,81.3,86.16,total postings
2020-03-29,IT,80.23,85.54,total postings
2020-03-30,IT,79.44,85.02,total postings
2020-03-31,IT,78.41,84.2,total postings
2020-04-01,IT,77.27,83.26,total postings
2020-04-02,IT,76.22,82.36,total postings
2020-04-03,IT,74.48,80.83,total postings
2020-04-04,IT,72.74,79.08,total postings
2020-04-05,IT,71.35,77.6,total postings
2020-04-06,IT,69.86,76.11,total postings
2020-04-07,IT,68.44,74.73,total postings
2020-04-08,IT,67.13,73.49,total postings
2020-04-09,IT,65.88,72.29,total postings
2020-04-10,IT,65.21,71.73,total postings
2020-04-11,IT,64.59,71.34,total postings
2020-04-12,IT,63.98,70.83,total postings
2020-04-13,IT,63.53,70.38,total postings
2020-04-14,IT,63.24,69.96,total postings
2020-04-15,IT,62.99,69.51,total postings
2020-04-16,IT,62.53,69.09,total postings
2020-04-17,IT,62.22,68.79,total postings
2020-04-18,IT,61.91,68.51,total postings
2020-04-19,IT,61.52,68.19,total postings
2020-04-20,IT,61.22,67.98,total postings
2020-04-21,IT,60.84,67.81,total postings
2020-04-22,IT,60.34,67.67,total postings
2020-04-23,IT,59.98,67.53,total postings
2020-04-24,IT,59.89,67.6,total postings
2020-04-25,IT,59.79,67.72,total postings
2020-04-26,IT,59.97,67.9,total postings
2020-04-27,IT,60.16,68.01,total postings
2020-04-28,IT,60.23,68.1,total postings
2020-04-29,IT,60.45,68.3,total postings
2020-04-30,IT,60.81,68.37,total postings
2020-05-01,IT,60.74,67.89,total postings
2020-05-02,IT,60.88,67.42,total postings
2020-05-03,IT,60.69,66.84,total postings
2020-05-04,IT,60.4,66.31,total postings
2020-05-05,IT,60.13,65.8,total postings
2020-05-06,IT,59.83,65.18,total postings
2020-05-07,IT,59.43,64.69,total postings
2020-05-08,IT,59.26,64.55,total postings
2020-05-09,IT,59.09,64.46,total postings
2020-05-10,IT,58.89,64.28,total postings
2020-05-11,IT,58.63,64.04,total postings
2020-05-12,IT,58.42,63.8,total postings
2020-05-13,IT,58.16,63.53,total postings
2020-05-14,IT,57.97,63.32,total postings
2020-05-15,IT,57.72,63.14,total postings
2020-05-16,IT,57.3,62.89,total postings
2020-05-17,IT,56.98,62.76,total postings
2020-05-18,IT,56.74,62.68,total postings
2020-05-19,IT,56.62,62.69,total postings
2020-05-20,IT,56.54,62.8,total postings
2020-05-21,IT,56.3,62.74,total postings
2020-05-22,IT,55.97,62.56,total postings
2020-05-23,IT,55.75,62.45,total postings
2020-05-24,IT,55.41,62.3,total postings
2020-05-25,IT,54.93,62.13,total postings
2020-05-26,IT,54.29,61.87,total postings
2020-05-27,IT,53.58,61.58,total postings
2020-05-28,IT,53.12,61.45,total postings
2020-05-29,IT,52.9,61.48,total postings
2020-05-30,IT,52.68,61.56,total postings
2020-05-31,IT,52.53,61.59,total postings
2020-06-01,IT,52.53,61.56,total postings
2020-06-02,IT,52.58,61.54,total postings
2020-06-03,IT,52.81,61.45,total postings
2020-06-04,IT,52.98,61.42,total postings
2020-06-05,IT,53.12,61.45,total postings
2020-06-06,IT,53.45,61.61,total postings
2020-06-07,IT,53.82,61.87,total postings
2020-06-08,IT,54.06,62.17,total postings
2020-06-09,IT,54.28,62.49,total postings
2020-06-10,IT,54.44,62.9,total postings
2020-06-11,IT,54.54,63.24,total postings
2020-06-12,IT,54.63,63.52,total postings
2020-06-13,IT,54.5,63.63,total postings
2020-06-14,IT,54.33,63.74,total postings
2020-06-15,IT,54.31,63.89,total postings
2020-06-16,IT,54.21,64.03,total postings
2020-06-17,IT,54.19,64.22,total postings
2020-06-18,IT,54.18,64.4,total postings
2020-06-19,IT,54.11,64.54,total postings
2020-06-20,IT,54.17,64.72,total postings
2020-06-21,IT,54.27,64.86,total postings
2020-06-22,IT,54.31,64.97,total postings
2020-06-23,IT,54.45,65.1,total postings
2020-06-24,IT,54.6,65.2,total postings
2020-06-25,IT,54.78,65.25,total postings
2020-06-26,IT,55,65.32,total postings
2020-06-27,IT,55.12,65.36,total postings
2020-06-28,IT,55.29,65.43,total postings
2020-06-29,IT,55.49,65.52,total postings
2020-06-30,IT,55.8,65.54,total postings
2020-07-01,IT,56.07,65.41,total postings
2020-07-02,IT,56.37,65.37,total postings
2020-07-03,IT,56.85,65.4,total postings
2020-07-04,IT,57.37,65.48,total postings
2020-07-05,IT,57.7,65.46,total postings
2020-07-06,IT,58.02,65.43,total postings
2020-07-07,IT,58.4,65.41,total postings
2020-07-08,IT,58.91,65.7,total postings
2020-07-09,IT,59.45,66.05,total postings
2020-07-10,IT,59.86,66.34,total postings
2020-07-11,IT,60.26,66.55,total postings
2020-07-12,IT,60.88,66.88,total postings
2020-07-13,IT,61.45,67.18,total postings
2020-07-14,IT,61.89,67.53,total postings
2020-07-15,IT,62.07,67.64,total postings
2020-07-16,IT,62.31,67.74,total postings
2020-07-17,IT,62.4,67.73,total postings
2020-07-18,IT,62.63,67.75,total postings
2020-07-19,IT,62.8,67.8,total postings
2020-07-20,IT,63.03,67.86,total postings
2020-07-21,IT,63.14,67.82,total postings
2020-07-22,IT,63.58,67.96,total postings
2020-07-23,IT,63.97,68.04,total postings
2020-07-24,IT,64.46,68.16,total postings
2020-07-25,IT,64.85,68.32,total postings
2020-07-26,IT,65.29,68.43,total postings
2020-07-27,IT,65.76,68.56,total postings
2020-07-28,IT,66.22,68.68,total postings
2020-07-29,IT,66.43,68.63,total postings
2020-07-30,IT,66.56,68.58,total postings
2020-07-31,IT,66.8,68.51,total postings
2020-08-01,IT,66.93,68.32,total postings
2020-08-02,IT,67.07,68.16,total postings
2020-08-03,IT,67.22,67.9,total postings
2020-08-04,IT,67.59,67.79,total postings
2020-08-05,IT,69.15,68.82,total postings
2020-08-06,IT,70.77,69.85,total postings
2020-08-07,IT,72.31,70.92,total postings
2020-08-08,IT,73.92,72.09,total postings
2020-08-09,IT,75.57,73.36,total postings
2020-08-10,IT,77.18,74.62,total postings
2020-08-11,IT,78.78,75.86,total postings
2020-08-12,IT,79.21,75.87,total postings
2020-08-13,IT,79.65,75.86,total postings
2020-08-14,IT,80.01,75.79,total postings
2020-08-15,IT,80.18,75.49,total postings
2020-08-16,IT,80.41,75.13,total postings
2020-08-17,IT,80.75,74.83,total postings
2020-08-18,IT,81.04,74.54,total postings
2020-08-19,IT,81.19,74.13,total postings
2020-08-20,IT,81.27,73.72,total postings
2020-08-21,IT,81.37,73.34,total postings
2020-08-22,IT,81.59,73.14,total postings
2020-08-23,IT,81.61,72.87,total postings
2020-08-24,IT,81.47,72.58,total postings
2020-08-25,IT,81.28,72.36,total postings
