date,country,YoY_pct_change_in_postings_trend_from_feb1
2020-02-01,US,0
2020-02-02,US,0.03
2020-02-03,US,0.25
2020-02-04,US,0.27
2020-02-05,US,0.29
2020-02-06,US,0.51
2020-02-07,US,0.511
2020-02-08,US,0.55
2020-02-09,US,0.56
2020-02-10,US,0.359
2020-02-11,US,0.369
2020-02-12,US,0.449
2020-02-13,US,0.428
2020-02-14,US,0.388
2020-02-15,US,0.04
2020-02-16,US,-0.03
2020-02-17,US,-0.248
2020-02-18,US,-0.397
2020-02-19,US,-0.644
2020-02-20,US,-0.92
2020-02-21,US,-1.107
2020-02-22,US,-1.096
2020-02-23,US,-1.184
2020-02-24,US,-1.125
2020-02-25,US,-1.144
2020-02-26,US,-1.084
2020-02-27,US,-1.043
2020-02-28,US,-0.953
2020-03-01,US,-0.491
2020-03-02,US,-0.48
2020-03-03,US,-0.528
2020-03-04,US,-0.596
2020-03-05,US,-0.683
2020-03-06,US,-0.538
2020-03-07,US,-0.625
2020-03-08,US,-0.731
2020-03-09,US,-0.981
2020-03-10,US,-1.202
2020-03-11,US,-1.478
2020-03-12,US,-1.743
2020-03-13,US,-2.168
2020-03-14,US,-2.499
2020-03-15,US,-2.924
2020-03-16,US,-3.067
2020-03-17,US,-3.552
2020-03-18,US,-4.152
2020-03-19,US,-4.875
2020-03-20,US,-5.806
2020-03-21,US,-7.129
2020-03-22,US,-8.254
2020-03-23,US,-9.63
2020-03-24,US,-10.854
2020-03-25,US,-12.134
2020-03-26,US,-13.52
2020-03-27,US,-15.121
2020-03-28,US,-16.334
2020-03-29,US,-17.686
2020-03-30,US,-18.909
2020-03-31,US,-20.125
2020-04-01,US,-21.284
2020-04-02,US,-22.599
2020-04-03,US,-23.564
2020-04-04,US,-24.781
2020-04-05,US,-26.028
2020-04-06,US,-27.197
2020-04-07,US,-28.35
2020-04-08,US,-29.321
2020-04-09,US,-30.068
2020-04-10,US,-30.844
2020-04-11,US,-31.306
2020-04-12,US,-31.767
2020-04-13,US,-32.242
2020-04-14,US,-32.701
2020-04-15,US,-33.206
2020-04-16,US,-33.702
2020-04-17,US,-34.089
2020-04-18,US,-34.44
2020-04-19,US,-34.827
2020-04-20,US,-35.142
2020-04-21,US,-35.59
2020-04-22,US,-36.014
2020-04-23,US,-36.325
2020-04-24,US,-36.699
2020-04-25,US,-37.405
2020-04-26,US,-38.09
2020-04-27,US,-38.55
2020-04-28,US,-38.865
2020-04-29,US,-39.012
2020-04-30,US,-39.157
2020-05-01,US,-39.31
2020-05-02,US,-39.149
2020-05-03,US,-38.954
2020-05-04,US,-39.048
2020-05-05,US,-39.015
2020-05-06,US,-39.021
2020-05-07,US,-39.039
2020-05-08,US,-38.981
2020-05-09,US,-38.664
2020-05-10,US,-38.311
2020-05-11,US,-37.959
2020-05-12,US,-37.715
2020-05-13,US,-37.817
2020-05-14,US,-37.628
2020-05-15,US,-37.181
2020-05-16,US,-37.059
2020-05-17,US,-36.884
2020-05-18,US,-36.632
2020-05-19,US,-36.343
2020-05-20,US,-35.726
2020-05-21,US,-35.292
2020-05-22,US,-35.091
2020-05-23,US,-34.685
2020-05-24,US,-34.44
2020-05-25,US,-34.352
2020-05-26,US,-34.274
2020-05-27,US,-34.285
2020-05-28,US,-34.343
2020-05-29,US,-34.221
2020-05-30,US,-34.023
2020-05-31,US,-33.873
2020-06-01,US,-33.688
2020-06-02,US,-33.41
2020-06-03,US,-33.091
2020-06-04,US,-32.763
2020-06-05,US,-32.566
2020-06-06,US,-32.471
2020-06-07,US,-32.29
2020-06-08,US,-32.06
2020-06-09,US,-31.869
2020-06-10,US,-31.602
2020-06-11,US,-31.373
2020-06-12,US,-31.262
2020-06-13,US,-31.215
2020-06-14,US,-30.963
2020-06-15,US,-30.445
2020-06-16,US,-30.223
2020-06-17,US,-30.05
2020-06-18,US,-29.803
2020-06-19,US,-29.449
2020-06-20,US,-28.954
2020-06-21,US,-28.486
2020-06-22,US,-28.333
2020-06-23,US,-28.115
2020-06-24,US,-27.875
2020-06-25,US,-27.673
2020-06-26,US,-27.462
2020-06-27,US,-27.348
2020-06-28,US,-27.371
2020-06-29,US,-26.91
2020-06-30,US,-26.185
2020-07-01,US,-25.478
2020-07-02,US,-25.152
2020-07-03,US,-24.749
2020-07-04,US,-24.332
2020-07-05,US,-23.868
2020-07-06,US,-23.869
2020-07-07,US,-23.92
2020-07-08,US,-23.937
2020-07-09,US,-23.513
2020-07-10,US,-23.264
2020-07-11,US,-22.958
2020-07-12,US,-22.73
2020-07-13,US,-22.473
2020-07-14,US,-22.286
2020-07-15,US,-22.166
2020-07-16,US,-22.132
2020-07-17,US,-22
2020-07-18,US,-22.179
2020-07-19,US,-22.096
2020-07-20,US,-21.993
2020-07-21,US,-21.879
2020-07-22,US,-21.67
2020-07-23,US,-21.399
2020-07-24,US,-20.994
2020-07-25,US,-20.346
2020-07-26,US,-19.868
2020-07-27,US,-19.535
2020-07-28,US,-19.113
2020-07-29,US,-18.806
2020-07-30,US,-18.611
2020-07-31,US,-18.467
2020-08-01,US,-18.308
2020-08-02,US,-18.184
2020-08-03,US,-18.042
2020-08-04,US,-18.083
2020-08-05,US,-18.069
2020-08-06,US,-18.049
2020-08-07,US,-18.128
2020-08-08,US,-18.414
2020-08-09,US,-18.738
2020-08-10,US,-19.092
2020-08-11,US,-19.243
2020-08-12,US,-19.491
2020-08-13,US,-19.884
2020-08-14,US,-20.278
2020-08-15,US,-20.639
2020-08-16,US,-20.806
2020-08-17,US,-20.76
2020-08-18,US,-20.992
2020-08-19,US,-21.091
2020-08-20,US,-20.943
2020-08-21,US,-20.794
2020-08-22,US,-20.571
2020-08-23,US,-20.54
2020-08-24,US,-20.639
2020-08-25,US,-20.459
2020-08-26,US,-20.337
2020-08-27,US,-20.292
2020-08-28,US,-20.247
2020-08-29,US,-20.13
2020-08-30,US,-19.945
2020-08-31,US,-19.779
