date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Accounting
2020-02-02,US,99.84,total postings,Accounting
2020-02-03,US,99.68,total postings,Accounting
2020-02-04,US,99.51,total postings,Accounting
2020-02-05,US,99.47,total postings,Accounting
2020-02-06,US,99.54,total postings,Accounting
2020-02-07,US,99.41,total postings,Accounting
2020-02-08,US,100.09,total postings,Accounting
2020-02-09,US,100.28,total postings,Accounting
2020-02-10,US,100.56,total postings,Accounting
2020-02-11,US,100.75,total postings,Accounting
2020-02-12,US,100.81,total postings,Accounting
2020-02-13,US,100.75,total postings,Accounting
2020-02-14,US,100.9,total postings,Accounting
2020-02-15,US,100.48,total postings,Accounting
2020-02-16,US,100.4,total postings,Accounting
2020-02-17,US,100.26,total postings,Accounting
2020-02-18,US,100.14,total postings,Accounting
2020-02-19,US,100.03,total postings,Accounting
2020-02-20,US,99.67,total postings,Accounting
2020-02-21,US,99.25,total postings,Accounting
2020-02-22,US,98.91,total postings,Accounting
2020-02-23,US,98.52,total postings,Accounting
2020-02-24,US,98.38,total postings,Accounting
2020-02-25,US,98.01,total postings,Accounting
2020-02-26,US,98.04,total postings,Accounting
2020-02-27,US,98.36,total postings,Accounting
2020-02-28,US,98.76,total postings,Accounting
2020-02-29,US,99.3,total postings,Accounting
2020-03-01,US,99.71,total postings,Accounting
2020-03-02,US,99.88,total postings,Accounting
2020-03-03,US,100.28,total postings,Accounting
2020-03-04,US,100.33,total postings,Accounting
2020-03-05,US,100.32,total postings,Accounting
2020-03-06,US,100.26,total postings,Accounting
2020-03-07,US,100.22,total postings,Accounting
2020-03-08,US,100.1,total postings,Accounting
2020-03-09,US,99.89,total postings,Accounting
2020-03-10,US,99.67,total postings,Accounting
2020-03-11,US,99.26,total postings,Accounting
2020-03-12,US,98,total postings,Accounting
2020-03-13,US,96.65,total postings,Accounting
2020-03-14,US,95.31,total postings,Accounting
2020-03-15,US,93.94,total postings,Accounting
2020-03-16,US,92.64,total postings,Accounting
2020-03-17,US,91.21,total postings,Accounting
2020-03-18,US,89.83,total postings,Accounting
2020-03-19,US,89.02,total postings,Accounting
2020-03-20,US,87.97,total postings,Accounting
2020-03-21,US,86.42,total postings,Accounting
2020-03-22,US,85.03,total postings,Accounting
2020-03-23,US,83.59,total postings,Accounting
2020-03-24,US,82.17,total postings,Accounting
2020-03-25,US,80.58,total postings,Accounting
2020-03-26,US,78.97,total postings,Accounting
2020-03-27,US,77.14,total postings,Accounting
2020-03-28,US,75.71,total postings,Accounting
2020-03-29,US,74.08,total postings,Accounting
2020-03-30,US,72.52,total postings,Accounting
2020-03-31,US,70.85,total postings,Accounting
2020-04-01,US,69.17,total postings,Accounting
2020-04-02,US,67.54,total postings,Accounting
2020-04-03,US,66.41,total postings,Accounting
2020-04-04,US,65.22,total postings,Accounting
2020-04-05,US,63.98,total postings,Accounting
2020-04-06,US,62.65,total postings,Accounting
2020-04-07,US,61.42,total postings,Accounting
2020-04-08,US,60.56,total postings,Accounting
2020-04-09,US,59.79,total postings,Accounting
2020-04-10,US,58.92,total postings,Accounting
2020-04-11,US,58.3,total postings,Accounting
2020-04-12,US,57.68,total postings,Accounting
2020-04-13,US,57.2,total postings,Accounting
2020-04-14,US,56.78,total postings,Accounting
2020-04-15,US,56.22,total postings,Accounting
2020-04-16,US,55.74,total postings,Accounting
2020-04-17,US,55.38,total postings,Accounting
2020-04-18,US,54.99,total postings,Accounting
2020-04-19,US,54.61,total postings,Accounting
2020-04-20,US,54.34,total postings,Accounting
2020-04-21,US,54.13,total postings,Accounting
2020-04-22,US,54.02,total postings,Accounting
2020-04-23,US,54.05,total postings,Accounting
2020-04-24,US,54.12,total postings,Accounting
2020-04-25,US,54.32,total postings,Accounting
2020-04-26,US,54.59,total postings,Accounting
2020-04-27,US,54.82,total postings,Accounting
2020-04-28,US,55.14,total postings,Accounting
2020-04-29,US,55.44,total postings,Accounting
2020-04-30,US,55.64,total postings,Accounting
2020-05-01,US,55.77,total postings,Accounting
2020-05-02,US,55.86,total postings,Accounting
2020-05-03,US,55.83,total postings,Accounting
2020-05-04,US,55.79,total postings,Accounting
2020-05-05,US,55.69,total postings,Accounting
2020-05-06,US,55.61,total postings,Accounting
2020-05-07,US,55.57,total postings,Accounting
2020-05-08,US,55.61,total postings,Accounting
2020-05-09,US,55.67,total postings,Accounting
2020-05-10,US,55.82,total postings,Accounting
2020-05-11,US,55.92,total postings,Accounting
2020-05-12,US,56,total postings,Accounting
2020-05-13,US,55.73,total postings,Accounting
2020-05-14,US,55.59,total postings,Accounting
2020-05-15,US,55.7,total postings,Accounting
2020-05-16,US,55.57,total postings,Accounting
2020-05-17,US,55.51,total postings,Accounting
2020-05-18,US,55.43,total postings,Accounting
2020-05-19,US,55.35,total postings,Accounting
2020-05-20,US,55.74,total postings,Accounting
2020-05-21,US,56.06,total postings,Accounting
2020-05-22,US,56.13,total postings,Accounting
2020-05-23,US,56.41,total postings,Accounting
2020-05-24,US,56.53,total postings,Accounting
2020-05-25,US,56.63,total postings,Accounting
2020-05-26,US,56.7,total postings,Accounting
2020-05-27,US,56.64,total postings,Accounting
2020-05-28,US,56.5,total postings,Accounting
2020-05-29,US,56.5,total postings,Accounting
2020-05-30,US,56.68,total postings,Accounting
2020-05-31,US,56.77,total postings,Accounting
2020-06-01,US,56.83,total postings,Accounting
2020-06-02,US,56.99,total postings,Accounting
2020-06-03,US,57.23,total postings,Accounting
2020-06-04,US,57.48,total postings,Accounting
2020-06-05,US,57.71,total postings,Accounting
2020-06-06,US,57.85,total postings,Accounting
2020-06-07,US,58.08,total postings,Accounting
2020-06-08,US,58.32,total postings,Accounting
2020-06-09,US,58.57,total postings,Accounting
2020-06-10,US,58.79,total postings,Accounting
2020-06-11,US,59.02,total postings,Accounting
2020-06-12,US,59.17,total postings,Accounting
2020-06-13,US,59.29,total postings,Accounting
2020-06-14,US,59.53,total postings,Accounting
2020-06-15,US,59.79,total postings,Accounting
2020-06-16,US,60.01,total postings,Accounting
2020-06-17,US,60.21,total postings,Accounting
2020-06-18,US,60.44,total postings,Accounting
2020-06-19,US,60.67,total postings,Accounting
2020-06-20,US,60.86,total postings,Accounting
2020-06-21,US,61.03,total postings,Accounting
2020-06-22,US,61.21,total postings,Accounting
2020-06-23,US,61.37,total postings,Accounting
2020-06-24,US,61.56,total postings,Accounting
2020-06-25,US,61.75,total postings,Accounting
2020-06-26,US,61.97,total postings,Accounting
2020-06-27,US,62.21,total postings,Accounting
2020-06-28,US,62.42,total postings,Accounting
2020-06-29,US,62.62,total postings,Accounting
2020-06-30,US,62.87,total postings,Accounting
2020-07-01,US,63.03,total postings,Accounting
2020-07-02,US,63.18,total postings,Accounting
2020-07-03,US,63.35,total postings,Accounting
2020-07-04,US,63.48,total postings,Accounting
2020-07-05,US,63.58,total postings,Accounting
2020-07-06,US,63.7,total postings,Accounting
2020-07-07,US,63.83,total postings,Accounting
2020-07-08,US,64.19,total postings,Accounting
2020-07-09,US,64.58,total postings,Accounting
2020-07-10,US,64.98,total postings,Accounting
2020-07-11,US,65.41,total postings,Accounting
2020-07-12,US,65.83,total postings,Accounting
2020-07-13,US,66.22,total postings,Accounting
2020-07-14,US,66.61,total postings,Accounting
2020-07-15,US,66.75,total postings,Accounting
2020-07-16,US,66.74,total postings,Accounting
