date,CBSA Title,cbsa_code,pct_chng_feb_1
2020-02-01,"Providence-Warwick, RI-MA",39300,0
2020-02-01,"Scranton--Wilkes-Barre, PA",42540,0
2020-02-01,"Hartford-East Hartford-Middletown, CT",25540,0
2020-02-01,"Fayetteville-Springdale-Rogers, AR",22220,0
2020-02-01,"Youngstown-Warren-Boardman, OH-PA",49660,0
2020-02-01,"Detroit-Warren-Dearborn, MI",19820,0
2020-02-01,"Springfield, MA",44140,0
2020-02-01,"Modesto, CA",33700,0
2020-02-01,"Buffalo-Cheektowaga, NY",15380,0
2020-02-01,"Indianapolis-Carmel-Anderson, IN",26900,0
2020-02-01,"Jacksonville, FL",27260,0
2020-02-01,"Boston-Cambridge-Newton, MA-NH",14460,0
2020-02-01,"Palm Bay-Melbourne-Titusville, FL",37340,0
2020-02-01,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,0
2020-02-01,"Harrisburg-Carlisle, PA",25420,0
2020-02-01,"Syracuse, NY",45060,0
2020-02-01,"Denver-Aurora-Lakewood, CO",19740,0
2020-02-01,"Worcester, MA-CT",49340,0
2020-02-01,"Tulsa, OK",46140,0
2020-02-01,"El Paso, TX",21340,0
2020-02-01,"Las Vegas-Henderson-Paradise, NV",29820,0
2020-02-01,"Durham-Chapel Hill, NC",20500,0
2020-02-01,"Charlotte-Concord-Gastonia, NC-SC",16740,0
2020-02-01,"Birmingham-Hoover, AL",13820,0
2020-02-01,"Memphis, TN-MS-AR",32820,0
2020-02-01,"San Francisco-Oakland-Berkeley, CA",41860,0
2020-02-01,"Lancaster, PA",29540,0
2020-02-01,"Cleveland-Elyria, OH",17460,0
2020-02-01,"Charleston-North Charleston, SC",16700,0
2020-02-01,"Urban Honolulu, HI",46520,0
2020-02-01,"Raleigh-Cary, NC",39580,0
2020-02-01,"Tucson, AZ",46060,0
2020-02-01,"Colorado Springs, CO",17820,0
2020-02-01,"Oxnard-Thousand Oaks-Ventura, CA",37100,0
2020-02-01,"Pensacola-Ferry Pass-Brent, FL",37860,0
2020-02-01,"Milwaukee-Waukesha, WI",33340,0
2020-02-01,"Baltimore-Columbia-Towson, MD",12580,0
2020-02-01,"Spokane-Spokane Valley, WA",44060,0
2020-02-01,"Columbus, OH",18140,0
2020-02-01,"Bridgeport-Stamford-Norwalk, CT",14860,0
2020-02-01,"Fayetteville, NC",22180,0
2020-02-01,"Houston-The Woodlands-Sugar Land, TX",26420,0
2020-02-01,"Albany-Schenectady-Troy, NY",10580,0
2020-02-01,"Dallas-Fort Worth-Arlington, TX",19100,0
2020-02-01,"New Orleans-Metairie, LA",35380,0
2020-02-01,"Greensboro-High Point, NC",24660,0
2020-02-01,"San Diego-Chula Vista-Carlsbad, CA",41740,0
2020-02-01,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,0
2020-02-01,"Wichita, KS",48620,0
2020-02-01,"Knoxville, TN",28940,0
2020-02-01,"Salt Lake City, UT",41620,0
2020-02-01,"Fresno, CA",23420,0
2020-02-01,"Dayton-Kettering, OH",19430,0
2020-02-01,"Stockton, CA",44700,0
2020-02-01,"Cape Coral-Fort Myers, FL",15980,0
2020-02-01,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,0
2020-02-01,"Portland-Vancouver-Hillsboro, OR-WA",38900,0
2020-02-01,"Bakersfield, CA",12540,0
2020-02-01,"Lexington-Fayette, KY",30460,0
2020-02-01,"Little Rock-North Little Rock-Conway, AR",30780,0
2020-02-01,"New Haven-Milford, CT",35300,0
2020-02-01,"Winston-Salem, NC",49180,0
2020-02-01,"Seattle-Tacoma-Bellevue, WA",42660,0
2020-02-01,"Greenville-Anderson, SC",24860,0
2020-02-01,"Tampa-St. Petersburg-Clearwater, FL",45300,0
2020-02-01,"Portland-South Portland, ME",38860,0
2020-02-01,"Louisville/Jefferson County, KY-IN",31140,0
2020-02-01,"San Jose-Sunnyvale-Santa Clara, CA",41940,0
2020-02-01,"Deltona-Daytona Beach-Ormond Beach, FL",19660,0
2020-02-01,"St. Louis, MO-IL",41180,0
2020-02-01,"Oklahoma City, OK",36420,0
2020-02-01,"Chattanooga, TN-GA",16860,0
2020-02-01,"Cincinnati, OH-KY-IN",17140,0
2020-02-01,"North Port-Sarasota-Bradenton, FL",35840,0
2020-02-01,"Orlando-Kissimmee-Sanford, FL",36740,0
2020-02-01,"Lakeland-Winter Haven, FL",29460,0
2020-02-01,"Atlanta-Sandy Springs-Alpharetta, GA",12060,0
