date,CBSA_Code,CBSA_Title,% gap in trend over last year
2020-02-01,12060,"Atlanta-Sandy Springs-Roswell, GA",0
2020-02-02,12060,"Atlanta-Sandy Springs-Roswell, GA",0.002
2020-02-03,12060,"Atlanta-Sandy Springs-Roswell, GA",0.005
2020-02-04,12060,"Atlanta-Sandy Springs-Roswell, GA",0.006
2020-02-05,12060,"Atlanta-Sandy Springs-Roswell, GA",0.008
2020-02-06,12060,"Atlanta-Sandy Springs-Roswell, GA",0.009
2020-02-07,12060,"Atlanta-Sandy Springs-Roswell, GA",0.006
2020-02-08,12060,"Atlanta-Sandy Springs-Roswell, GA",0.005
2020-02-09,12060,"Atlanta-Sandy Springs-Roswell, GA",0.004
2020-02-10,12060,"Atlanta-Sandy Springs-Roswell, GA",0.001
2020-02-11,12060,"Atlanta-Sandy Springs-Roswell, GA",0.002
2020-02-12,12060,"Atlanta-Sandy Springs-Roswell, GA",0.003
2020-02-13,12060,"Atlanta-Sandy Springs-Roswell, GA",0.003
2020-02-14,12060,"Atlanta-Sandy Springs-Roswell, GA",0.004
2020-02-15,12060,"Atlanta-Sandy Springs-Roswell, GA",0.002
2020-02-16,12060,"Atlanta-Sandy Springs-Roswell, GA",-0
2020-02-17,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.002
2020-02-18,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.004
2020-02-19,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.006
2020-02-20,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.008
2020-02-21,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.01
2020-02-22,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.01
2020-02-23,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.009
2020-02-24,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.008
2020-02-25,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.007
2020-02-26,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.009
2020-02-27,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.008
2020-02-28,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.008
2020-02-29,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.006
2020-03-01,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.006
2020-03-02,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.005
2020-03-03,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.005
2020-03-04,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.003
2020-03-05,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.005
2020-03-06,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.008
2020-03-07,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.012
2020-03-08,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.015
2020-03-09,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.02
2020-03-10,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.023
2020-03-11,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.028
2020-03-12,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.03
2020-03-13,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.034
2020-03-14,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.037
2020-03-15,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.04
2020-03-16,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.044
2020-03-17,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.049
2020-03-18,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.054
2020-03-19,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.062
2020-03-20,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.071
2020-03-21,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.085
2020-03-22,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.098
2020-03-23,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.111
2020-03-24,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.127
2020-03-25,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.144
2020-03-26,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.16
2020-03-27,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.178
2020-03-28,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.191
2020-03-29,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.206
2020-03-30,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.22
2020-03-31,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.232
2020-04-01,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.243
2020-04-02,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.255
2020-04-03,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.264
2020-04-04,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.278
2020-04-05,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.291
2020-04-06,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.304
2020-04-07,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.317
2020-04-08,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.327
2020-04-09,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.337
2020-04-10,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.346
2020-04-11,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.352
2020-04-12,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.358
2020-04-13,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.364
2020-04-14,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.369
2020-04-15,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.375
2020-04-16,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.381
2020-04-17,12060,"Atlanta-Sandy Springs-Roswell, GA",-0.387
