date,country,index_to_feb01
2018-02-01,US,100
2018-02-02,US,100.17
2018-02-03,US,100.3
2018-02-04,US,100.51
2018-02-05,US,100.6
2018-02-06,US,100.58
2018-02-07,US,100.63
2018-02-08,US,100.66
2018-02-09,US,100.88
2018-02-10,US,101.07
2018-02-11,US,101.26
2018-02-12,US,102.36
2018-02-13,US,102.57
2018-02-14,US,102.75
2018-02-15,US,102.94
2018-02-16,US,103
2018-02-17,US,103.03
2018-03-01,US,104.67
2018-03-02,US,104.86
2018-03-03,US,105.3
2018-03-04,US,105.69
2018-03-05,US,106.23
2018-03-06,US,106.51
2018-03-07,US,106.73
2018-03-08,US,106.95
2018-03-09,US,107.08
2018-03-10,US,107.05
2018-03-11,US,106.98
2018-03-12,US,106.91
2018-03-13,US,106.93
2018-03-14,US,106.93
2018-03-15,US,107.01
2018-03-16,US,107.16
2018-03-17,US,107.24
2018-04-01,US,109.63
2018-04-02,US,109.55
2018-04-03,US,109.44
2018-04-04,US,109.42
2018-04-05,US,109.32
2018-04-06,US,109.53
2018-04-07,US,109.75
2018-04-08,US,110.06
2018-04-09,US,110.35
2018-04-10,US,110.7
2018-04-11,US,111
2018-04-12,US,111.28
2018-04-13,US,111.44
2018-04-14,US,111.64
2018-04-15,US,111.81
2018-04-16,US,111.97
2018-04-17,US,111.96
2018-05-01,US,112.22
2018-05-02,US,112.22
2018-05-03,US,112.27
2018-05-04,US,112.32
2018-05-05,US,112.42
2018-05-06,US,112.49
2018-05-07,US,112.5
2018-05-08,US,112.69
2018-05-09,US,112.83
2018-05-10,US,112.93
2018-05-11,US,113.06
2018-05-12,US,113.08
2018-05-13,US,113.28
2018-05-14,US,113.43
2018-05-15,US,113.46
2018-05-16,US,113.54
2018-05-17,US,113.57
2018-06-01,US,114.41
2018-06-02,US,114.23
2018-06-03,US,113.95
2018-06-04,US,113.69
2018-06-05,US,113.55
2018-06-06,US,113.46
2018-06-07,US,113.46
2018-06-08,US,113.58
2018-06-09,US,113.73
2018-06-10,US,113.85
2018-06-11,US,113.93
2018-06-12,US,113.99
2018-06-13,US,114.16
2018-06-14,US,114.19
2018-06-15,US,114.19
2018-06-16,US,114.11
2018-06-17,US,114.13
2018-07-01,US,115.12
2018-07-02,US,115.28
2018-07-03,US,115.38
2018-07-04,US,115.37
2018-07-05,US,115.07
2018-07-06,US,115
2018-07-07,US,114.91
2018-07-08,US,114.85
2018-07-09,US,114.72
2018-07-10,US,114.6
2018-07-11,US,114.51
2018-07-12,US,114.51
2018-07-13,US,114.48
2018-07-14,US,114.47
2018-07-15,US,114.49
2018-07-16,US,114.54
2018-07-17,US,114.64
2019-02-01,US,100
2019-02-02,US,100.05
2019-02-03,US,100.05
2019-02-04,US,100.08
2019-02-05,US,100.1
2019-02-06,US,99.97
2019-02-07,US,99.89
2019-02-08,US,99.97
2019-02-09,US,100.07
2019-02-10,US,100.2
2019-02-11,US,100.3
2019-02-12,US,100.33
2019-02-13,US,100.37
2019-02-14,US,100.45
2019-02-15,US,100.57
