date,country,category,YoY_pct_change_in_postings_trend_from_feb1
2020-02-01,US,Human Resources,0
2020-02-01,US,Architecture,0
2020-02-01,US,Arts & Entertainment,0
2020-02-01,US,Personal Care & Home Health,0
2020-02-01,US,Food Preparation & Service,0
2020-02-01,US,Mathematics,0
2020-02-01,US,Administrative Assistance,0
2020-02-01,US,Industrial Engineering,0
2020-02-01,US,Legal,0
2020-02-01,US,Physicians & Surgeons,0
2020-02-01,US,Media & Communications,0
2020-02-01,US,Sales,0
2020-02-01,US,Driving,0
2020-02-01,US,Mining,0
2020-02-01,US,Retail,0
2020-02-01,US,Sports,0
2020-02-01,US,Chemical Engineering,0
2020-02-01,US,Mechanical Engineering,0
2020-02-01,US,Banking & Finance,0
2020-02-01,US,Installation & Maintenance,0
2020-02-01,US,Medical Information,0
2020-02-01,US,Medical Technician,0
2020-02-01,US,Project Management,0
2020-02-01,US,Scientific Research & Development,0
2020-02-01,US,Community & Social Service,0
2020-02-01,US,Therapy,0
2020-02-01,US,Aviation,0
2020-02-01,US,Customer Service,0
2020-02-01,US,Civil Engineering,0
2020-02-01,US,Nursing,0
2020-02-01,US,Military,0
2020-02-01,US,Beauty & Wellness,0
2020-02-01,US,Pharmacy,0
2020-02-01,US,IT Operations & Helpdesk,0
2020-02-01,US,Information Design & Documentation,0
2020-02-01,US,Childcare,0
2020-02-01,US,Education & Instruction,0
2020-02-01,US,Insurance,0
2020-02-01,US,Marketing,0
2020-02-01,US,Dental,0
2020-02-01,US,Logistic Support,0
2020-02-01,US,Loading & Stocking,0
2020-02-01,US,Accounting,0
2020-02-01,US,Management,0
2020-02-01,US,Security & Public Safety,0
2020-02-01,US,Real Estate,0
2020-02-01,US,Cleaning & Sanitation,0
2020-02-01,US,Veterinary,0
2020-02-01,US,Agriculture & Forestry,0
2020-02-01,US,Electrical Engineering,0
2020-02-01,US,Hospitality & Tourism,0
2020-02-01,US,Construction,0
2020-02-01,US,Software Development,0
2020-02-01,US,Production & Manufacturing,0
2020-02-01,US,Social Science,0
2020-02-01,US,Uncategorized,0
2020-02-02,US,Human Resources,0.878857485269169
2020-02-02,US,Architecture,-0.268870742879901
2020-02-02,US,Arts & Entertainment,-1.05783489866536
2020-02-02,US,Personal Care & Home Health,1.37903062259177
2020-02-02,US,Food Preparation & Service,-0.159760359460814
2020-02-02,US,Mathematics,-0.169830169830154
2020-02-02,US,Administrative Assistance,-0.159760359460814
2020-02-02,US,Industrial Engineering,-0.219517062462582
2020-02-02,US,Legal,-0.149551345962107
2020-02-02,US,Physicians & Surgeons,0.0998003992015883
2020-02-02,US,Media & Communications,-0.149357761625013
2020-02-02,US,Sales,-0.0200521355524286
2020-02-02,US,Driving,-0.8805778173543
2020-02-02,US,Mining,-1.27706275566198
2020-02-02,US,Retail,0.727052408361106
2020-02-02,US,Sports,-0.229724330803038
2020-02-02,US,Chemical Engineering,-0.149611011370443
2020-02-02,US,Mechanical Engineering,-0.0299371320227393
2020-02-02,US,Banking & Finance,-0.199740337561161
2020-02-02,US,Installation & Maintenance,-0.139944022391048
2020-02-02,US,Medical Information,-0.109813317360485
2020-02-02,US,Medical Technician,-0.0699230846069265
2020-02-02,US,Project Management,-0.139692676112557
2020-02-02,US,Scientific Research & Development,-0.179604869287564
2020-02-02,US,Community & Social Service,0.0299341448812607
2020-02-02,US,Therapy,0.0498603909054651
2020-02-02,US,Aviation,0.81048629177507
2020-02-02,US,Customer Service,0.0900180036007114
2020-02-02,US,Civil Engineering,0.119772432378484
2020-02-02,US,Nursing,-0.110011001100108
2020-02-02,US,Military,0.667796272301402
2020-02-02,US,Beauty & Wellness,-0.149760383386577
2020-02-02,US,Pharmacy,0.230115057528768
2020-02-02,US,IT Operations & Helpdesk,-0.229655516724914
2020-02-02,US,Information Design & Documentation,0.209769253820791
2020-02-02,US,Childcare,-0.289710289710277
2020-02-02,US,Education & Instruction,0.0698742263924856
2020-02-02,US,Insurance,0.119688809096341
2020-02-02,US,Marketing,-0.0499151442547641
2020-02-02,US,Dental,-0.0995619275189097
2020-02-02,US,Logistic Support,-0.448922585794087
2020-02-02,US,Loading & Stocking,-0.329407067278908
2020-02-02,US,Accounting,-0.119904076738608
2020-02-02,US,Management,0.00996909580299743
2020-02-02,US,Security & Public Safety,-0.0299610506341752
2020-02-02,US,Real Estate,-0.099740674246962
2020-02-02,US,Cleaning & Sanitation,-0.20974830203756
2020-02-02,US,Veterinary,-0.199820161854336
2020-02-02,US,Agriculture & Forestry,-0.0996313639533786
2020-02-02,US,Electrical Engineering,-0.209455415918625
2020-02-02,US,Hospitality & Tourism,-0.0698881789137351
2020-02-02,US,Construction,-0.309196090165575
2020-02-02,US,Software Development,-0.388833499501495
2020-02-02,US,Production & Manufacturing,-0.169847137576185
2020-02-02,US,Social Science,0.479904019196176
2020-02-02,US,Uncategorized,0.949620151939223
2020-02-03,US,Human Resources,2.14528038315707
2020-02-03,US,Architecture,-0.188585607940439
2020-02-03,US,Arts & Entertainment,-1.99238206856139
2020-02-03,US,Personal Care & Home Health,3.04464102036619
2020-02-03,US,Food Preparation & Service,-0.119688809096352
2020-02-03,US,Mathematics,-0.299251870324191
2020-02-03,US,Administrative Assistance,0.209539014168847
2020-02-03,US,Industrial Engineering,-0.199064397332538
2020-02-03,US,Legal,0.149224035017914
2020-02-03,US,Physicians & Surgeons,0.548190969799656
2020-02-03,US,Media & Communications,-0.148676776687484
2020-02-03,US,Sales,0.0603500301750159
2020-02-03,US,Driving,-1.47937689820711
2020-02-03,US,Mining,-1.07730673316708
2020-02-03,US,Retail,0.683394532843717
2020-02-03,US,Sports,-0.269138755980858
2020-02-03,US,Chemical Engineering,0.369372067485285
2020-02-03,US,Mechanical Engineering,0.348709773836808
2020-02-03,US,Banking & Finance,-0.00998103603152556
2020-02-03,US,Installation & Maintenance,0.150000000000006
2020-02-03,US,Medical Information,0.149566257852229
2020-02-03,US,Medical Technician,0.149700598802394
2020-02-03,US,Project Management,0.0995421063109792
2020-02-03,US,Scientific Research & Development,-0.209100866275025
2020-02-03,US,Community & Social Service,0.617837568510216
2020-02-03,US,Therapy,0.298448070035806
2020-02-03,US,Aviation,2.42703841139305
2020-02-03,US,Customer Service,0.550605666232862
2020-02-03,US,Civil Engineering,0.93737534902274
2020-02-03,US,Nursing,-0.0300180108064874
2020-02-03,US,Military,1.41251367750921
2020-02-03,US,Beauty & Wellness,-0.189488381370295
2020-02-03,US,Pharmacy,-2.84227381905525
2020-02-03,US,IT Operations & Helpdesk,-0.0698115089258877
2020-02-03,US,Information Design & Documentation,0.638403990024927
2020-02-03,US,Childcare,-0.409385921118333
2020-02-03,US,Education & Instruction,0.339118292439644
2020-02-03,US,Insurance,0.547481584710341
2020-02-03,US,Marketing,0.179390073749253
2020-02-03,US,Dental,0.407109522391025
2020-02-03,US,Logistic Support,-0.587473862391719
2020-02-03,US,Loading & Stocking,-0.229357798165142
2020-02-03,US,Accounting,0.119832234871176
2020-02-03,US,Management,0.218622677134062
2020-02-03,US,Security & Public Safety,0.319297545400121
2020-02-03,US,Real Estate,0.318503035732065
2020-02-03,US,Cleaning & Sanitation,-0.0499101617089326
2020-02-03,US,Veterinary,-0.179766303805051
2020-02-03,US,Agriculture & Forestry,0.158777413912881
2020-02-03,US,Electrical Engineering,-0.0597133757961776
2020-02-03,US,Hospitality & Tourism,0.0897397547113155
2020-02-03,US,Construction,-0.258809476408517
2020-02-03,US,Software Development,-0.606120826709067
2020-02-03,US,Production & Manufacturing,0.169745381927089
2020-02-03,US,Social Science,1.25037511253376
2020-02-03,US,Uncategorized,2.30253278606467
2020-02-04,US,Human Resources,3.02547770700636
2020-02-04,US,Architecture,-0.504201680672278
2020-02-04,US,Arts & Entertainment,-3.34554569996144
2020-02-04,US,Personal Care & Home Health,4.36231129619988
2020-02-04,US,Food Preparation & Service,-0.278940027894004
2020-02-04,US,Mathematics,-0.616854044373694
2020-02-04,US,Administrative Assistance,0.159489633173848
2020-02-04,US,Industrial Engineering,-0.792785650579719
2020-02-04,US,Legal,-0.0297383029341791
2020-02-04,US,Physicians & Surgeons,0.268416343572908
2020-02-04,US,Media & Communications,-0.572556762092791
2020-02-04,US,Sales,-0.151240169389
2020-02-04,US,Driving,-1.48818208345491
2020-02-04,US,Mining,-0.898113960682556
2020-02-04,US,Retail,0.980797026636382
2020-02-04,US,Sports,-0.776042184857229
2020-02-04,US,Chemical Engineering,1.05157736604908
2020-02-04,US,Mechanical Engineering,0.367902953166954
2020-02-04,US,Banking & Finance,-0.42850024912805
2020-02-04,US,Installation & Maintenance,0.0399560483468342
2020-02-04,US,Medical Information,0.0498156819766837
2020-02-04,US,Medical Technician,-0.00996313639534119
2020-02-04,US,Project Management,-0.228174603174602
2020-02-04,US,Scientific Research & Development,-0.456621004566204
2020-02-04,US,Community & Social Service,0.596540067607876
2020-02-04,US,Therapy,-0.158368801346132
2020-02-04,US,Aviation,3.35880933226067
2020-02-04,US,Customer Service,0.580348208925363
2020-02-04,US,Civil Engineering,0.746788808125065
2020-02-04,US,Nursing,-0.249800159872104
2020-02-04,US,Military,3.11133200795231
2020-02-04,US,Beauty & Wellness,-0.229220649790718
2020-02-04,US,Pharmacy,-2.88317148863749
2020-02-04,US,IT Operations & Helpdesk,-0.358208955223882
2020-02-04,US,Information Design & Documentation,0.666268894192523
2020-02-04,US,Childcare,-0.249451207343843
2020-02-04,US,Education & Instruction,0.468360737419027
2020-02-04,US,Insurance,0.92592592592593
2020-02-04,US,Marketing,0.0397693378405339
2020-02-04,US,Dental,0.475718533201186
2020-02-04,US,Logistic Support,-1.1020651310564
2020-02-04,US,Loading & Stocking,-0.398366696544161
2020-02-04,US,Accounting,-0.179390073749264
2020-02-04,US,Management,0.367136336574725
2020-02-04,US,Security & Public Safety,-0.336467095497284
2020-02-04,US,Real Estate,0.337837837837851
2020-02-04,US,Cleaning & Sanitation,-0.53720652606446
2020-02-04,US,Veterinary,-0.299670362601134
2020-02-04,US,Agriculture & Forestry,0.237623762376238
2020-02-04,US,Electrical Engineering,-0.218275622581621
2020-02-04,US,Hospitality & Tourism,0.129378980891715
2020-02-04,US,Construction,-0.506454816286006
2020-02-04,US,Software Development,-1.25494071146245
2020-02-04,US,Production & Manufacturing,-0.0298983456248791
2020-02-04,US,Social Science,1.61838161838161
2020-02-04,US,Uncategorized,3.62377032724353
2020-02-05,US,Human Resources,3.99880928755705
2020-02-05,US,Architecture,-0.493193923850854
2020-02-05,US,Arts & Entertainment,-3.77123116783418
2020-02-05,US,Personal Care & Home Health,5.6925996204933504
2020-02-05,US,Food Preparation & Service,-0.556217719507357
2020-02-05,US,Mathematics,-0.82382133995037
2020-02-05,US,Administrative Assistance,0.0895968143354908
2020-02-05,US,Industrial Engineering,-1.15521327014219
2020-02-05,US,Legal,-0.276625172890732
2020-02-05,US,Physicians & Surgeons,0.317775571002965
2020-02-05,US,Media & Communications,-0.67926757235675606
2020-02-05,US,Sales,-0.252959627643423
2020-02-05,US,Driving,-2.24664931057758
2020-02-05,US,Mining,-0.46981207516994
2020-02-05,US,Retail,1.39383776985957
2020-02-05,US,Sports,-0.952948183442515
2020-02-05,US,Chemical Engineering,1.7404426559356
2020-02-05,US,Mechanical Engineering,0.426671958721969
2020-02-05,US,Banking & Finance,-0.51741293532338
2020-02-05,US,Installation & Maintenance,-0.0399082111144478
2020-02-05,US,Medical Information,0.0797448165869241
2020-02-05,US,Medical Technician,-0.0896682275580374
2020-02-05,US,Project Management,-0.445280031664363
2020-02-05,US,Scientific Research & Development,-0.653530052480444
2020-02-05,US,Community & Social Service,0.59571088165209
2020-02-05,US,Therapy,-0.749506903353059
2020-02-05,US,Aviation,3.97624320515402
2020-02-05,US,Customer Service,0.579710144927525
2020-02-05,US,Civil Engineering,0.596896140071634
2020-02-05,US,Nursing,-0.379544546544153
2020-02-05,US,Military,4.42504216688162
2020-02-05,US,Beauty & Wellness,-0.896592946802144
2020-02-05,US,Pharmacy,-2.90493839527195
2020-02-05,US,IT Operations & Helpdesk,-0.367829804155484
2020-02-05,US,Information Design & Documentation,0.833250669576424
2020-02-05,US,Childcare,-0.0498653635184976
2020-02-05,US,Education & Instruction,0.687524910322845
2020-02-05,US,Insurance,1.41406094403504
2020-02-05,US,Marketing,0.0397219463753595
2020-02-05,US,Dental,0.604139843517881
2020-02-05,US,Logistic Support,-1.50197628458497
2020-02-05,US,Loading & Stocking,-0.428286852589643
2020-02-05,US,Accounting,-0.348154779667753
2020-02-05,US,Management,0.395569620253156
2020-02-05,US,Security & Public Safety,-1.04932823379424
2020-02-05,US,Real Estate,0.397258913496867
