date,state,indeed_job_postings_index
2020-02-01,ak,100
2020-02-02,ak,99.96
2020-02-03,ak,99.94
2020-02-04,ak,99.92
2020-02-05,ak,99.97
2020-02-06,ak,100.15
2020-02-07,ak,100.37
2020-02-08,ak,100.64
2020-02-09,ak,100.72
2020-02-10,ak,100.85
2020-02-11,ak,100.93
2020-02-12,ak,100.98
2020-02-13,ak,101
2020-02-14,ak,100.97
2020-02-15,ak,100.92
2020-02-16,ak,100.99
2020-02-17,ak,101.06
2020-02-18,ak,101.16
2020-02-19,ak,101.21
2020-02-20,ak,101.22
2020-02-21,ak,101.32
2020-02-22,ak,101.45
2020-02-23,ak,101.59
2020-02-24,ak,101.61
2020-02-25,ak,101.83
2020-02-26,ak,102.13
2020-02-27,ak,102.44
2020-02-28,ak,102.72
2020-02-29,ak,102.92
2020-03-01,ak,103.12
2020-03-02,ak,103.27
2020-03-03,ak,103.12
2020-03-04,ak,102.58
2020-03-05,ak,102.11
2020-03-06,ak,101.45
2020-03-07,ak,100.8
2020-03-08,ak,100.12
2020-03-09,ak,99.22
2020-03-10,ak,98.71
2020-03-11,ak,98.42
2020-03-12,ak,98
2020-03-13,ak,97.73
2020-03-14,ak,97.31
2020-03-15,ak,96.79
2020-03-16,ak,96.9
2020-03-17,ak,96.18
2020-03-18,ak,95.54
2020-03-19,ak,94.77
2020-03-20,ak,93.72
2020-03-21,ak,92.57
2020-03-22,ak,91.57
2020-03-23,ak,90.17
2020-03-24,ak,89.39
2020-03-25,ak,88.57
2020-03-26,ak,87.69
2020-03-27,ak,86.55
2020-03-28,ak,85.67
2020-03-29,ak,84.73
2020-03-30,ak,83.83
2020-03-31,ak,82.88
2020-04-01,ak,81.74
2020-04-02,ak,80.51
2020-04-03,ak,79.58
2020-04-04,ak,78.49
2020-04-05,ak,77.41
2020-04-06,ak,76.22
2020-04-07,ak,74.75
2020-04-08,ak,73.64
2020-04-09,ak,72.66
2020-04-10,ak,71.98
2020-04-11,ak,71.49
2020-04-12,ak,70.89
2020-04-13,ak,70.52
2020-04-14,ak,70.41
2020-04-15,ak,70.01
2020-04-16,ak,69.73
2020-04-17,ak,69.49
2020-04-18,ak,69.28
2020-04-19,ak,69.19
2020-04-20,ak,68.95
2020-04-21,ak,68.29
2020-04-22,ak,67.67
2020-04-23,ak,67.13
2020-04-24,ak,66.58
2020-04-25,ak,66.04
2020-04-26,ak,65.46
2020-04-27,ak,64.9
2020-04-28,ak,64.57
2020-04-29,ak,64.5
2020-04-30,ak,64.42
2020-05-01,ak,64.41
2020-05-02,ak,64.33
2020-05-03,ak,64.25
2020-05-04,ak,64.11
2020-05-05,ak,64.2
2020-05-06,ak,64.26
2020-05-07,ak,64.33
2020-05-08,ak,64.47
2020-05-09,ak,64.54
2020-05-10,ak,64.73
2020-05-11,ak,65.03
2020-05-12,ak,65.26
2020-05-13,ak,65.16
2020-05-14,ak,65.23
2020-05-15,ak,65.4
2020-05-16,ak,65.49
2020-05-17,ak,65.61
2020-05-18,ak,65.69
2020-05-19,ak,65.73
2020-05-20,ak,65.95
2020-05-21,ak,66.15
2020-05-22,ak,66.2
2020-05-23,ak,66.38
2020-05-24,ak,66.64
2020-05-25,ak,66.88
2020-05-26,ak,67.26
2020-05-27,ak,67.69
2020-05-28,ak,67.89
2020-05-29,ak,68.12
2020-05-30,ak,68.49
2020-05-31,ak,68.74
2020-06-01,ak,69.12
2020-06-02,ak,69.52
2020-06-03,ak,70.02
2020-06-04,ak,70.48
2020-06-05,ak,70.87
2020-06-06,ak,71.24
2020-06-07,ak,71.6
2020-06-08,ak,71.79
2020-06-09,ak,72.02
2020-06-10,ak,72.21
2020-06-11,ak,72.56
2020-06-12,ak,73.05
2020-06-13,ak,73.38
2020-06-14,ak,73.82
2020-06-15,ak,74.55
2020-06-16,ak,74.95
2020-06-17,ak,75.32
2020-06-18,ak,75.67
2020-06-19,ak,75.97
2020-06-20,ak,76.54
2020-06-21,ak,77.01
2020-06-22,ak,77.34
2020-06-23,ak,78.22
2020-06-24,ak,79.23
2020-06-25,ak,80.24
2020-06-26,ak,81.14
2020-06-27,ak,81.92
2020-06-28,ak,82.56
2020-06-29,ak,83.35
2020-06-30,ak,83.85
2020-07-01,ak,84.26
2020-07-02,ak,84.11
2020-07-03,ak,83.83
2020-07-04,ak,83.51
2020-07-05,ak,83.27
2020-07-06,ak,82.68
2020-07-07,ak,82.14
2020-07-08,ak,81.57
2020-07-09,ak,81.59
2020-07-10,ak,81.7
2020-07-11,ak,81.8
2020-07-12,ak,81.83
2020-07-13,ak,81.98
2020-07-14,ak,82.14
2020-07-15,ak,82.37
2020-07-16,ak,82.71
2020-07-17,ak,83.04
2020-07-18,ak,83.09
2020-07-19,ak,83.3
2020-07-20,ak,83.65
2020-07-21,ak,83.89
2020-07-22,ak,84.04
2020-07-23,ak,84.17
2020-07-24,ak,84.44
2020-07-25,ak,85.02
2020-07-26,ak,85.51
2020-07-27,ak,85.91
2020-07-28,ak,86.29
2020-07-29,ak,86.76
2020-07-30,ak,87.13
2020-07-31,ak,87.4
2020-08-01,ak,87.68
2020-08-02,ak,87.9
2020-08-03,ak,88.19
2020-08-04,ak,88.39
2020-08-05,ak,88.16
2020-08-06,ak,87.91
2020-08-07,ak,87.6
2020-08-08,ak,87.13
2020-08-09,ak,86.8
2020-08-10,ak,86.44
2020-08-11,ak,86.22
2020-08-12,ak,86.22
2020-08-13,ak,86.25
2020-08-14,ak,86.26
