date,state,% gap in trend over last year
2020-02-01,AK,0
2020-02-02,AK,-0.4
2020-02-03,AK,-0.4
2020-02-04,AK,-0.7000000000000001
2020-02-05,AK,-0.8
2020-02-06,AK,-0.7000000000000001
2020-02-07,AK,-0.6
2020-02-08,AK,-0.2
2020-02-09,AK,-0.1
2020-02-10,AK,-0.2
2020-02-11,AK,-0.1
2020-02-12,AK,0
2020-02-13,AK,0
2020-02-14,AK,-0
2020-02-15,AK,-0.1
2020-02-16,AK,0
2020-02-17,AK,0.1
2020-02-18,AK,0.5
2020-02-19,AK,0.6
2020-02-20,AK,0.7000000000000001
2020-02-21,AK,0.8999999999999999
2020-02-22,AK,1.2
2020-02-23,AK,1.5
2020-02-24,AK,1.6
2020-02-25,AK,2.1
2020-02-26,AK,2.7
2020-02-27,AK,3.4000000000000004
2020-02-28,AK,4.1000000000000005
2020-02-29,AK,4.5
2020-03-01,AK,4.9
2020-03-02,AK,5.2
2020-03-03,AK,5.2
2020-03-04,AK,4.3
2020-03-05,AK,3.2
2020-03-06,AK,2
2020-03-07,AK,0.8
2020-03-08,AK,-0.2
2020-03-09,AK,-1.7999999999999998
2020-03-10,AK,-3.1
2020-03-11,AK,-3.5999999999999996
2020-03-12,AK,-4.2
2020-03-13,AK,-4.8
2020-03-14,AK,-4.7
2020-03-15,AK,-4.9
2020-03-16,AK,-4.5
2020-03-17,AK,-4.8
2020-03-18,AK,-5.2
2020-03-19,AK,-5.6000000000000005
2020-03-20,AK,-6.1
2020-03-21,AK,-7.3999999999999995
2020-03-22,AK,-8.5
2020-03-23,AK,-9.700000000000001
2020-03-24,AK,-10.6
2020-03-25,AK,-11.5
2020-03-26,AK,-12.1
2020-03-27,AK,-13
2020-03-28,AK,-13.900000000000002
2020-03-29,AK,-14.799999999999999
2020-03-30,AK,-15.5
2020-03-31,AK,-16.7
2020-04-01,AK,-18
2020-04-02,AK,-19.6
2020-04-03,AK,-20.8
2020-04-04,AK,-21.5
2020-04-05,AK,-22.6
2020-04-06,AK,-23.9
2020-04-07,AK,-25.1
2020-04-08,AK,-25.8
2020-04-09,AK,-26.3
2020-04-10,AK,-27
2020-04-11,AK,-27.800000000000004
2020-04-12,AK,-28.499999999999996
2020-04-13,AK,-28.999999999999996
2020-04-14,AK,-29.2
2020-04-15,AK,-29.799999999999997
2020-04-16,AK,-30.4
2020-04-17,AK,-30.599999999999998
2020-04-18,AK,-30.9
2020-04-19,AK,-31.4
2020-04-20,AK,-31.900000000000002
2020-04-21,AK,-32.5
2020-04-22,AK,-33.1
2020-04-23,AK,-33.900000000000006
2020-04-24,AK,-34.9
2020-04-25,AK,-35.5
2020-04-26,AK,-36
2020-04-27,AK,-36.5
2020-04-28,AK,-36.8
2020-04-29,AK,-37.1
2020-04-30,AK,-37.1
2020-05-01,AK,-37
2020-05-02,AK,-37
2020-05-03,AK,-37
2020-05-04,AK,-37.2
2020-05-05,AK,-37.1
2020-05-06,AK,-36.7
2020-05-07,AK,-36.5
2020-05-08,AK,-36.4
2020-05-09,AK,-36
2020-05-10,AK,-35.8
2020-05-11,AK,-35.4
2020-05-12,AK,-34.9
2020-05-13,AK,-35.4
2020-05-14,AK,-35.4
2020-05-15,AK,-35.099999999999994
2020-05-16,AK,-35.099999999999994
2020-05-17,AK,-35
2020-05-18,AK,-34.9
2020-05-19,AK,-35.099999999999994
2020-05-20,AK,-34.9
2020-05-21,AK,-34.599999999999994
2020-05-22,AK,-34.5
2020-05-23,AK,-34.4
2020-05-24,AK,-34.2
2020-05-25,AK,-33.900000000000006
2020-05-26,AK,-33.6
2020-05-27,AK,-33.4
2020-05-28,AK,-33.300000000000004
2020-05-29,AK,-33.300000000000004
2020-05-30,AK,-33.2
2020-05-31,AK,-33.1
2020-06-01,AK,-33.2
2020-06-02,AK,-33.1
2020-06-03,AK,-32.9
2020-06-04,AK,-32.7
2020-06-05,AK,-32.5
2020-06-06,AK,-32.300000000000004
2020-06-07,AK,-32.300000000000004
2020-06-08,AK,-32.1
2020-06-09,AK,-32
2020-06-10,AK,-31.7
2020-06-11,AK,-31.6
2020-06-12,AK,-31.3
2020-06-13,AK,-30.8
2020-06-14,AK,-30.5
2020-06-15,AK,-30.099999999999998
2020-06-16,AK,-29.799999999999997
2020-06-17,AK,-29.599999999999998
2020-06-18,AK,-29.4
2020-06-19,AK,-29.2
2020-06-20,AK,-28.999999999999996
2020-06-21,AK,-28.7
2020-06-22,AK,-28.1
2020-06-23,AK,-27.400000000000002
2020-06-24,AK,-26.700000000000003
2020-06-25,AK,-25.8
2020-06-26,AK,-25.3
2020-06-27,AK,-24.5
2020-06-28,AK,-23.799999999999997
2020-06-29,AK,-23.200000000000003
2020-06-30,AK,-22.8
2020-07-01,AK,-22.5
2020-07-02,AK,-23
2020-07-03,AK,-23.3
2020-07-04,AK,-23.9
2020-07-05,AK,-24.4
2020-07-06,AK,-25
2020-07-07,AK,-25.5
2020-07-08,AK,-25.8
2020-07-09,AK,-25.6
2020-07-10,AK,-25.3
2020-07-11,AK,-25
2020-07-12,AK,-25
2020-07-13,AK,-24.9
2020-07-14,AK,-24.6
2020-07-15,AK,-24.5
2020-07-16,AK,-24.3
2020-07-17,AK,-24.099999999999998
2020-07-18,AK,-24.099999999999998
2020-07-19,AK,-23.799999999999997
2020-07-20,AK,-23.5
2020-07-21,AK,-23.3
2020-07-22,AK,-22.900000000000002
2020-07-23,AK,-22.5
2020-07-24,AK,-21.8
2020-07-25,AK,-21.099999999999998
2020-07-26,AK,-20.5
2020-07-27,AK,-19.8
2020-07-28,AK,-19.2
2020-07-29,AK,-18.6
2020-07-30,AK,-17.9
2020-07-31,AK,-17.5
2020-08-01,AK,-17.2
2020-08-02,AK,-17.1
2020-08-03,AK,-17
2020-08-04,AK,-16.8
2020-08-05,AK,-17.2
2020-08-06,AK,-17.8
2020-08-07,AK,-18.4
2020-08-08,AK,-18.8
2020-08-09,AK,-19
2020-08-10,AK,-19.1
2020-08-11,AK,-19.3
2020-08-12,AK,-19.400000000000002
2020-08-13,AK,-19.2
2020-08-14,AK,-19.2
2020-08-15,AK,-19.2
2020-08-16,AK,-19.2
2020-08-17,AK,-19.2
2020-08-18,AK,-19.2
2020-08-19,AK,-18.9
2020-08-20,AK,-18.9
2020-08-21,AK,-18.7
2020-08-22,AK,-18.5
2020-08-23,AK,-18.099999999999998
2020-08-24,AK,-17.9
2020-08-25,AK,-17.7
2020-08-26,AK,-17.5
2020-08-27,AK,-17.4
2020-08-28,AK,-17.299999999999997
2020-08-29,AK,-17.1
2020-08-30,AK,-16.900000000000002
2020-08-31,AK,-16.8
2020-09-01,AK,-16.900000000000002
2020-09-02,AK,-17.1
2020-09-03,AK,-17.2
2020-09-04,AK,-17.599999999999998
2020-09-05,AK,-17.9
2020-09-06,AK,-18.099999999999998
2020-09-07,AK,-18.4
2020-09-08,AK,-18.5
2020-09-09,AK,-18.6
2020-09-10,AK,-18.8
2020-09-11,AK,-18.7
2020-09-12,AK,-19
2020-09-13,AK,-19.1
2020-09-14,AK,-19.3
2020-09-15,AK,-19.8
2020-09-16,AK,-20.1
2020-09-17,AK,-20.4
2020-09-18,AK,-20.599999999999998
2020-09-19,AK,-20.7
2020-09-20,AK,-20.9
2020-09-21,AK,-21
2020-09-22,AK,-20.8
2020-09-23,AK,-20.3
2020-09-24,AK,-19.6
2020-09-25,AK,-19
2020-09-26,AK,-18.5
2020-09-27,AK,-17.9
2020-09-28,AK,-17.299999999999997
2020-09-29,AK,-16.6
2020-09-30,AK,-16.3
2020-10-01,AK,-16.2
2020-10-02,AK,-16.400000000000002
2020-10-03,AK,-16.3
2020-10-04,AK,-16.400000000000002
2020-10-05,AK,-16.7
2020-10-06,AK,-17.1
2020-10-07,AK,-17.1
2020-10-08,AK,-17
2020-10-09,AK,-16.7
2020-10-10,AK,-16.400000000000002
2020-10-11,AK,-16
2020-10-12,AK,-15.5
2020-10-13,AK,-15
2020-10-14,AK,-14.899999999999999
2020-10-15,AK,-15.299999999999999
2020-10-16,AK,-15.7
2020-10-17,AK,-16.5
2020-10-18,AK,-17
2020-10-19,AK,-17.5
2020-10-20,AK,-18
2020-10-21,AK,-18
2020-10-22,AK,-17.299999999999997
2020-10-23,AK,-16.7
2020-10-24,AK,-15.7
2020-10-25,AK,-15.1
2020-10-26,AK,-14.399999999999999
2020-10-27,AK,-14.000000000000002
2020-10-28,AK,-13.900000000000002
2020-10-29,AK,-14.000000000000002
2020-10-30,AK,-13.900000000000002
2020-10-31,AK,-14.099999999999998
2020-11-01,AK,-14.299999999999999
2020-11-02,AK,-14.6
2020-11-03,AK,-14.7
2020-11-04,AK,-14.899999999999999
2020-11-05,AK,-15.1
2020-11-06,AK,-15.4
2020-11-07,AK,-16
2020-11-08,AK,-16.2
2020-11-09,AK,-16.3
2020-11-10,AK,-16.5
2020-11-11,AK,-16.400000000000002
2020-11-12,AK,-16.2
2020-11-13,AK,-16.1
2020-11-14,AK,-15.4
2020-11-15,AK,-15.1
2020-11-16,AK,-14.499999999999998
2020-11-17,AK,-13.900000000000002
2020-11-18,AK,-13.4
2020-11-19,AK,-12.9
