date,cities,pct_chng_feb_1
2020-02-01,Hull,0
2020-02-01,York,0
2020-02-01,Derby,0
2020-02-01,Leeds,0
2020-02-01,Luton,0
2020-02-01,Stoke,0
2020-02-01,Wigan,0
2020-02-01,Dundee,0
2020-02-01,Exeter,0
2020-02-01,London,0
2020-02-01,Oxford,0
2020-02-01,Slough,0
2020-02-01,Belfast,0
2020-02-01,Bristol,0
2020-02-01,Burnley,0
2020-02-01,Cardiff,0
2020-02-01,Chatham,0
2020-02-01,Crawley,0
2020-02-01,Glasgow,0
2020-02-01,Ipswich,0
2020-02-01,Newport,0
2020-02-01,Norwich,0
2020-02-01,Preston,0
2020-02-01,Reading,0
2020-02-01,Swansea,0
2020-02-01,Swindon,0
2020-02-01,Telford,0
2020-02-01,Aberdeen,0
2020-02-01,Barnsley,0
2020-02-01,Basildon,0
2020-02-01,Bradford,0
2020-02-01,Brighton,0
2020-02-01,Coventry,0
2020-02-01,Plymouth,0
2020-02-01,Southend,0
2020-02-01,Worthing,0
2020-02-01,Aldershot,0
2020-02-01,Blackburn,0
2020-02-01,Blackpool,0
2020-02-01,Cambridge,0
2020-02-01,Doncaster,0
2020-02-01,Edinburgh,0
2020-02-01,Leicester,0
2020-02-01,Liverpool,0
2020-02-01,Mansfield,0
2020-02-01,Newcastle,0
2020-02-01,Sheffield,0
2020-02-01,Wakefield,0
2020-02-01,Birkenhead,0
2020-02-01,Birmingham,0
2020-02-01,Gloucester,0
2020-02-01,Manchester,0
2020-02-01,Nottingham,0
2020-02-01,Portsmouth,0
2020-02-01,Sunderland,0
2020-02-01,Warrington,0
2020-02-01,Bournemouth,0
2020-02-01,Northampton,0
2020-02-01,Southampton,0
2020-02-01,Huddersfield,0
2020-02-01,Peterborough,0
2020-02-01,Middlesbrough,0
2020-02-01,Milton Keynes,0
2020-02-02,Hull,-0.03
2020-02-02,York,0.32
2020-02-02,Derby,0.48
2020-02-02,Leeds,0.35
2020-02-02,Luton,0.13
2020-02-02,Stoke,-0.01
2020-02-02,Wigan,0.2
2020-02-02,Dundee,0.26
2020-02-02,Exeter,0.2
2020-02-02,London,0.01
2020-02-02,Oxford,-0.37
2020-02-02,Slough,0.32
2020-02-02,Belfast,-0.15
2020-02-02,Bristol,-0.09
2020-02-02,Burnley,-0.3
2020-02-02,Cardiff,0.18
2020-02-02,Chatham,0.75
2020-02-02,Crawley,0.19
2020-02-02,Glasgow,-0.05
2020-02-02,Ipswich,-0.03
2020-02-02,Newport,-0.01
2020-02-02,Norwich,0.19
2020-02-02,Preston,-0.58
2020-02-02,Reading,-0.2
2020-02-02,Swansea,0.37
2020-02-02,Swindon,0.58
2020-02-02,Telford,0.37
2020-02-02,Aberdeen,0.04
2020-02-02,Barnsley,0.37
2020-02-02,Basildon,-0.27
2020-02-02,Bradford,0.9
2020-02-02,Brighton,0.06
2020-02-02,Coventry,0.2
2020-02-02,Plymouth,0.81
2020-02-02,Southend,-0.04
2020-02-02,Worthing,0.11
2020-02-02,Aldershot,0.17
2020-02-02,Blackburn,-0.69
2020-02-02,Blackpool,0.03
2020-02-02,Cambridge,-0.06
2020-02-02,Doncaster,0.05
